Catalan	Walloon	probability
i	ɛ	1.0
j	-	1.0
ð	-	1.0
ŋ	-	1.0
ɣ	-	1.0
ʃ	ʃ	1.0
b	b	0.331
m	-	0.101
t	-	0.091
ə	a	0.201
ʎ	l	0.471
ʒ	-	0.21
ˈa	w_ˈɛ̃	0.061
ˈa	ˈɛ	0.11
ˈi	ˈẽ	0.131
ˈo	ˈøː	0.061
ˈu	ˈɔ̃	0.31
ˈɛ	ˈɛː	0.051
ˈɛ	j_ˈɛ	0.051
l	-	0.142
u	-	0.092
u	ɔ	0.762
ɲ	ɲ	0.582
ˈa	ˈiː	0.092
ˈu	ˈy	0.212
ˈɔ	ˈoː	0.092
d	d	0.913
k	k	0.503
n	-	0.203
s	s	0.823
w	w_ˈɛː	0.133
ɡ	ʤ	0.063
ɾ	-	0.303
ˈa	ˈa	0.223
ˈe	ˈɛ̃	0.173
ˈi	ˈɛ	0.303
ˈo	ˈuː	0.093
ˈu	ˈu	0.073
ˈɔ	ˈuː	0.23
β	-	0.153
β	v	0.243
z	-	0.724
ɡ	-	0.14
ʒ	f	0.084
ˈi	ʒ_ˈẽ	0.094
ˈi	ˈiː	0.194
ˈo	ˈɔ	0.424
ˈu	ˈyː	0.144
ˈɛ	ˈɛ̃	0.154
β	p	0.604
k	-	0.05
p	p	0.995
r	-	0.355
r	ʀ	0.645
ˈa	ˈɛ̃	0.065
ˈa	ˈɑ̃	0.135
ˈɔ	ˈɔ	0.15
ˈɛ	ˈɔ	0.095
b	v	0.646
f	f	0.986
k	ʧ	0.446
w	w	0.66
z	s	0.276
ə	ɛ	0.096
ʒ	ʤ	0.706
ˈa	ˈe	0.186
ˈe	ˈiː	0.146
ˈu	ˈuː	0.26
ˈɛ	ˈɛ	0.276
n	n	0.797
s	ʃ	0.177
w	-	0.207
ə	-	0.327
ɾ	ʀ	0.697
ʎ	ˈa	0.497
ˈe	ˈɛ	0.187
ˈi	ˈi	0.277
ˈɔ	w_ˈa	0.207
ˈɔ	ˈɔ̃	0.217
l	l	0.858
u	ˈɔ	0.068
ɡ	k	0.188
ɡ	ɡ	0.608
ɲ	-	0.418
ˈa	ˈɔː	0.08
ˈe	j_ˈɛ	0.148
ˈo	ˈɔ̃	0.378
ˈɔ	ɔ	0.068
ˈɛ	ˈiː	0.078
m	m	0.899
t	t	0.909
u	uː	0.079
ə	j	0.329
ˈe	j	0.299
ˈɛ	-	0.059
ˈɛ	w_ˈɛ	0.219
