Czech	Czech	probability
ʧ	ʨ	1.0
ʦ	ʦ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʃ_c	ɕː	1.0
ʃ	-	1.0
ɟ	dʲ	1.0
ɛ_n	ɨ_n	1.0
ɛ_#>	ə_#>	1.0
z̥	z̥	1.0
v_j	vʲ	1.0
v_a	v_ə	1.0
uː	o	1.0
s_a	s_a	1.0
s_#>	s_#>	1.0
r̩	r	1.0
r̝̊	rʲ	1.0
r̝	rʲ	1.0
ou̯_ɦ	ɡʲ	1.0
ou̯	u	1.0
m̩	mʲ	1.0
l̩	ɫ	1.0
l_u	o	1.0
l_#>	ɫ_#>	1.0
j_ɛ	e	1.0
d̥	d̥	1.0
d_l	ɫ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_ɐ	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#_j	<#	1.0
<#_c	<#_tʲ	1.0
#>	ə_#>	1.0
ɦ	ɡ	0.833
k	k	0.821
x	x	0.75
r	r	0.75
n	n	0.733
d	d	0.722
j	j	0.714
ɛː	-	0.667
c	tʲ	0.667
b̥	b̥	0.667
b	b	0.667
s	s	0.656
z	z	0.643
l	ɫ	0.63
a	a	0.625
ɲ	nʲ	0.6
p	pʲ	0.583
m	m	0.579
v	v	0.56
t	tʲ	0.559
u	u	0.556
f	fʲ	0.5
f	f	0.5
u	ʊ	0.444
o	o	0.444
aː	a	0.444
t	t	0.441
v	vʲ	0.44
m	mʲ	0.421
p	p	0.417
ɲ	-	0.4
ɪ	ɨ_ˈ	0.4
ɪ	i	0.4
l	lʲ	0.37
iː	ɨ_j	0.366
o	ə	0.361
z	zʲ	0.357
s	sʲ	0.344
ɛː	e	0.333
c	d̥ʲ	0.333
b̥	b̥ʲ	0.333
b	bʲ	0.333
aː	-	0.333
ɛ	ɪ	0.315
j	-	0.286
ɛ	e	0.278
d	dʲ	0.278
n	nʲ	0.267
r	ɐ_r	0.25
a	ə	0.225
aː	o	0.222
o	ɐ	0.194
ɦ	-	0.167
x	ɡ̊	0.167
ɪ	ɪ	0.133
ɛ	ɵ	0.13
iː	ɪ_j	0.122
iː	ɨ	0.122
iː	j	0.122
ɛ	o_ˈ	0.111
k	kʲ	0.107
iː	e	0.098
x	xʲ	0.083
ɛ	-	0.074
iː	-	0.073
k	ʦ	0.071
ɪ	ʉ	0.067
ɛ	ə	0.056
