Piedmontese	Eastern Lombard	probability
ˈɛ_ŋ	ˈe	1.0
ˈɛ_t	ˈɛ_t	1.0
ˈɛ_j	ˈe	1.0
ˈə	ˈɛ	1.0
ˈø_j	ˈø_ʧ	1.0
ˈy_ŋ	ˈy	1.0
ˈu_ŋ	ˈo_n	1.0
ˈi_ŋ	ˈi	1.0
ˈi_v	ˈi	1.0
ˈi_j	j_ˈø	1.0
ˈe_j	ˈɛ	1.0
ˈa_ŋ	ˈa	1.0
ˈa_z	ˈa_s	1.0
ˈa_t	ˈa_t	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
y	y	1.0
w_s	l_s	1.0
t_a	t_a	1.0
t	t	1.0
s	s	1.0
r_s	r_s	1.0
p	p	1.0
m	m	1.0
l	l	1.0
j_t	ʧ	1.0
f	f	1.0
dː	d	1.0
b	b	1.0
a_r	a_r	1.0
a	a	1.0
r	r	0.929
e	e	0.91
k	k	0.909
n	n	0.898
ˈu	ˈu	0.795
d	d	0.771
z	z	0.758
j	j	0.757
u	o	0.702
ˈɛ	ˈɛ	0.679
ˈi	ˈi	0.621
ə	e	0.6
ˈɔ	ˈɔ	0.592
w	w	0.582
ˈy	ˈø	0.574
ŋ	n	0.563
ʤ	z	0.542
ˈø	ˈø	0.528
ʤ	ʤ	0.458
ˈy	ˈy	0.426
ˈe	ˈe	0.422
w	-	0.418
ə	-	0.4
v	-	0.381
i	i	0.38
i	e	0.342
ˈɛ	ˈe	0.321
ˈø	ˈɔ	0.321
ˈɔ	ˈo	0.319
v	ʋ	0.307
ˈe	ˈɛ	0.306
ŋ	ŋ	0.305
i	-	0.277
ˈe	ˈi	0.272
ˈi	ˈe	0.242
z	s	0.242
u	-	0.211
v	ˈi	0.156
v	f	0.156
ˈø	ø	0.151
j	e	0.141
ˈi	ˈɛ	0.137
ˈu	ˈo	0.133
ŋ	-	0.132
d	-	0.129
n	n_i	0.102
d	t	0.1
k	-	0.091
e	ˈi	0.09
ˈɔ	-	0.089
u	u	0.087
j	-	0.075
ˈu	-	0.073
r	d	0.071
