Štokavian	Ukrainian	probability
âː	ɔ	1.0
d	d	1.0
eː	ɐ	1.0
ěː	ɐ	1.0
iː	e_j	1.0
î	ˈɪ	1.0
îː	ˈɪ	1.0
ǒ	ɔ	1.0
r̂ː	r	1.0
r̩̂	ˈɛ_r	1.0
r̩̂ː	r	1.0
r̩̂	ˈɛ_r	1.0
x	x	1.0
ɲ	nʲ	1.0
ʎ	lʲ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
a	ɐ	0.211
ê	ˈɛ	0.1
ê	ˈɔ	0.121
ě	e	0.131
k	kʲ	0.051
ô	ˈɔ	0.371
ô	ˈi	0.421
p	pʲ	0.071
s	s	0.751
t	tʲ	0.301
û	<#_w	0.181
z	zʲ	0.081
ʋ	ʋ	0.561
b	b	0.922
e	ˈɑ	0.102
ě	ɔ	0.242
j	j	0.112
o	ɔ	0.832
r	r	0.812
s	sʲ	0.232
a	ˈɔ	0.103
a	-	0.173
a	ˈɑ	0.423
e	ɛ	0.523
o	ˈɔ	0.053
ûː	ˈu	0.823
ɡ	j_#>	0.133
ʋ	w	0.153
a	ˈa	0.064
â	ˈɔ	0.44
êː	ˈi	0.934
l	ɔ_ɫ	0.104
m	m	0.834
ɡ	ɦ	0.84
ʋ	ʋ_j	0.074
ʋ	ʋ_e	0.124
ʦ	ʦʲ	0.594
â	ɐ	0.065
i	e	0.625
o	ɫ	0.115
ôː	ˈɔ	0.095
ôː	ˈi	0.905
e	i	0.076
êː	j_ˈɑ	0.066
m	mʲ	0.166
n	nʲ	0.346
â	ˈɛ	0.197
ě	ɛ	0.627
i	ˈɪ	0.337
l	ɫ	0.687
n	n_e	0.227
ûː	ˈɔ_ʍ	0.177
ʦ	-	0.117
â	ˈɑ	0.298
b	bʲ	0.078
j	-	0.888
n	n	0.428
ô	ɔ	0.208
r	rʲ	0.188
ʋ	ʋʲ	0.088
e	ˈi	0.299
ê	ˈi	0.779
k	k	0.889
l	lʲ	0.209
p	p	0.929
t	t	0.699
û	ˈɔ_ʋ	0.819
z	z	0.919
ʦ	ʦ	0.289
