Spanish	French	probability
a	a	0.474
a	-	0.359
a	l	0.066
a	e	0.066
b	v	0.653
b	b	0.189
b	-	0.158
d	d	0.805
d	-	0.149
e	ɑ̃	0.303
e	-	0.197
e	ɛ̃	0.161
e	ə	0.133
e	w	0.076
e	ɔ̃	0.064
f	f	1.0
i	-	0.525
i	i	0.355
i	w	0.083
j	-	0.425
j	j	0.324
j	ɑ̃	0.251
k	ʃ	0.519
k	k	0.316
k	-	0.054
l	l	0.966
m	m	0.739
m	-	0.221
n	n	0.641
n	-	0.228
n	d	0.111
o	e	0.219
o	ɔ̃	0.142
o	ɔ	0.128
o	i	0.126
o	o	0.12
o	ø	0.081
o	-	0.069
o	a	0.063
p	p	0.868
p	-	0.132
r	ʁ	1.0
s	s	0.855
s	-	0.145
t	t	0.76
t	-	0.24
u	i	0.438
u	u	0.32
u	ɛ	0.242
w	-	0.374
w	œ	0.298
w	y	0.146
w	j	0.104
w	w	0.078
x	j	0.599
x	ʒ	0.225
x	z	0.081
x	-	0.06
ð	-	0.815
ð	d	0.089
ð	v	0.059
ŋ	ɑ̃	0.5
ŋ	ɛ̃	0.5
ɟ͡ʝ	p_l	0.434
ɟ͡ʝ	l	0.389
ɟ͡ʝ	ʒ	0.177
ɡ	ɡ	0.655
ɡ	-	0.22
ɡ	ʃ	0.125
ɣ	ɡ	0.745
ɣ	-	0.255
ɲ	ɲ	0.44
ɲ	m	0.18
ɲ	n	0.133
ɲ	ɛ̃	0.116
ɲ	-	0.102
ɾ	ʁ	0.82
ɾ	-	0.163
ʝ	l	0.795
ʝ	-	0.165
ʧ	-	0.807
ʧ	t	0.193
ˈa	e	0.349
ˈa	ɛ	0.293
ˈa	a	0.214
ˈa	-	0.104
ˈe	ɛ	0.319
ˈe	-	0.286
ˈe	w_a	0.126
ˈe	i	0.12
ˈi	i	0.697
ˈi	ɛ̃	0.135
ˈo	œ	0.3
ˈo	ɔ	0.16
ˈo	u	0.158
ˈo	ɔ̃	0.114
ˈo	ø	0.109
ˈo	ɥ	0.059
ˈu	y	0.5
ˈu	w	0.26
ˈu	u	0.084
ˈu	ɥ	0.06
β	v	0.552
β	-	0.242
β	b	0.171
θ	s	0.407
θ	-	0.364
θ	z	0.171
