Lengadocian	Lengadocian	probability
β_ɔ	v_ɐ	1.0
ˈɛ_ʧ	j_u	1.0
ˈɛ_n	ˈẽ	1.0
ˈɛ_l	ʎ_u	1.0
ˈu_#>	ˈɐ̃_w̃_#>	1.0
ˈi_ɔ	ˈi_ɐ	1.0
ˈe_j	ˈe	1.0
ˈa_ɲ	ˈɐ_ɲ	1.0
ˈa_w	ˈo_w	1.0
ˈa_n	ˈɐ̃	1.0
ˈa_#>	ˈɐ̃_w̃_#>	1.0
ʤ_e	u	1.0
ʤ	ʒ	1.0
ʎ	ʎ	1.0
ʀ_t	ɾ_t	1.0
ʀ_k	ɾ_k	1.0
ʀ_#>	ɾ_n_u_#>	1.0
ɾ_ɔ	ɾ_ɐ	1.0
ɾ_j	ɾ_ˈɐ	1.0
ɲ	ɲ	1.0
ɥ_ˈɛ	ˈo	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ɔ	ɐ	1.0
ŋ	-	1.0
ð	ð	1.0
y	-	1.0
u_n	õ	1.0
t_ɔ	t_ɐ	1.0
s_p	ʃ_p	1.0
s_k	ʃ_k	1.0
s_e	s_ɨ	1.0
s_#>	ʃ_#>	1.0
p_l	ʃ	1.0
nː	m_j	1.0
mː	m	1.0
lː	-	1.0
l_ˈu	ˈo_ɾ	1.0
l_s	ɫ_s	1.0
l_#>	#>	1.0
k_l	ʃ	1.0
j_ˈe	ˈe	1.0
j_#>	j_#>	1.0
f	f	1.0
e_n	ẽ	1.0
e_m	ũ	1.0
e_#>	#>	1.0
<#_ʀ	<#_ʁ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_i	1.0
m	m	0.943
p	p	0.929
a	ɐ	0.913
ɾ	ɾ	0.909
ʀ	ɾ	0.857
k	k	0.851
ˈy	ˈu	0.8
d	d	0.8
ɥ	ˈo	0.778
ˈa	ˈa	0.767
ʧ	t	0.75
<#_ˈa	<#_ˈa	0.714
ˈi	ˈi	0.667
ʦ	ʃ	0.667
z	z	0.625
u	u	0.625
n_#>	t_u_#>	0.625
ˈu_n	ˈo	0.6
ˈɛ	ˈɛ	0.564
t	t	0.56
β	β	0.556
ˈe	ˈe	0.533
b	v	0.529
#>	u_#>	0.528
i	u	0.5
l	l	0.485
ɾ_e	ɾ_ɨ	0.455
ˈu	ˈo	0.452
β	v	0.444
ˈɔ	ˈɔ	0.444
n	-	0.429
b	b	0.412
ˈɔ	ˈo	0.407
ˈu_n	ˈõ	0.4
s	ʃ	0.391
z	-	0.375
n_#>	t_ɨ_#>	0.375
ɾ_e	ˈe_ɾ	0.364
s	s	0.348
ʦ	s_u	0.333
j	ˈɐ	0.333
j	j	0.333
j	-	0.333
e	ɨ	0.308
n	ɲ	0.286
n	n	0.286
<#_ˈa	<#_ˈo	0.286
ˈu	ˈɔ	0.258
ʧ	j_t	0.25
i	ĩ	0.25
i	i	0.25
#>	ɾ_#>	0.247
e	u	0.231
w	-	0.227
ɥ	-	0.222
ˈɛ	j	0.205
ˈe	-	0.2
d	-	0.2
u	ɔ	0.188
ɾ_e	ɾ	0.182
w	w	0.182
w	v	0.182
w	u	0.182
ˈe	ˈɐ_j	0.167
ˈu	ˈu	0.161
t	ð_ɨ	0.16
t	ð	0.16
#>	ɨ_#>	0.157
e	-	0.154
l	ɫ	0.152
ˈɔ	-	0.148
ʀ	ʁ	0.143
w	v_ɨ	0.136
ˈu	ˈõ	0.129
ˈɛ	ˈẽ	0.128
u	ɐ̃	0.125
l	ʎ	0.121
t	-	0.12
e	ˈe_ɾ	0.115
e	j̃	0.115
k	ɣ_u	0.106
ˈy	ˈũ	0.1
ˈy	-	0.1
ˈe	ˈɐ	0.1
ˈa	ˈɐ̃	0.1
ˈi	ˈĩ	0.091
ˈi	ɾ	0.091
ˈi	-	0.091
ɾ	-	0.091
w	v_u	0.091
l	u	0.091
l	-	0.091
s	s_ɨ	0.087
s	p	0.087
s	j_ʃ	0.087
a	ɐ̃	0.087
e	ˈe	0.077
p	-	0.071
ˈa	ˈɐ	0.067
u	o	0.062
ˈi	ˈi_ɲ	0.061
l	ɾ	0.061
b	-	0.059
m	-	0.057
ˈɛ	ˈe	0.051
ˈɛ	-	0.051
