Old West Norse	Hessian	probability
ˈɔː	ˈu	1.0
ˈɑ_ŋ	ˈɛ̃ː	1.0
ˈɑ_r	ˈɑː	1.0
ˈøː_nː	ˈĩː	1.0
ˈøː	-	1.0
ˈo_n	ˈõː	1.0
ˈiː_u	ˈoĩ̯	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ˈiː	ˈai̯	1.0
ˈeː_r̥	ˈiː_ɐ	1.0
ˈeː	-	1.0
ˈa	ˈɑ	1.0
ʦ	t	1.0
ʝː	ɣ̊	1.0
ɾ	æ̆_t	1.0
ɡː	-	1.0
ɟː	-	1.0
ɟ	ɡ̊	1.0
ɑː	ɛː	1.0
ɑ_ð	ɑ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	i	1.0
ç	h	1.0
x_w	v	1.0
u	-	1.0
tː_r̥	ʃ_t	1.0
tʰ	ʦ	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_c	ʃ	1.0
r̥ː	æ̆	1.0
r̥	æ̆	1.0
r_i	æ̆	1.0
pː	f	1.0
pʰ	f	1.0
n̥	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
l̥	l	1.0
lː	l	1.0
l_j	l_ˈi	1.0
l	l	1.0
kː	ŋ_ɡ̊	1.0
j_ˈɔ	ˈæː	1.0
j_ˈɑ	ˈæ	1.0
j_ˈuː	ˈiː	1.0
j_ˈoː	ˈiː	1.0
j_ɑ	ə	1.0
i_r	æ̆	1.0
h	h	1.0
f_r̥	b̥	1.0
f	f	1.0
e	n	1.0
cː	ɡ̊	1.0
cʰ	kʰ	1.0
a	ə	1.0
n	n	0.89
ˈi	ˈi	0.879
s	s	0.858
v	v	0.802
ˈɔ	-	0.78
ɑ	ə	0.775
i	-	0.775
ð	d̥	0.769
d	d̥	0.767
θ	d̥	0.725
p	f	0.701
ˈo	ˈɔ	0.684
ˈɛi̯	ˈaː	0.653
k	ʃ	0.648
b	b̥	0.63
ˈɛː	-	0.623
kʰ	kʰ	0.623
ˈe	-	0.617
ˈy	ˈi	0.598
ˈuː	ˈau̯	0.598
ˈoː	ˈuː	0.574
ˈøy̯	-	0.562
ˈɑu̯	ˈaː	0.559
ˈyː	ˈoi̯	0.544
tː	t	0.505
ˈɛ	ˈe	0.5
ˈɛ	ˈa	0.5
j	ˈi	0.5
j	-	0.5
tː	ʦ	0.495
ɡ	ʃ	0.483
r	ɐ	0.478
ˈɑ	ˈɑ	0.465
ˈyː	-	0.456
ˈøy̯	ˈaː	0.438
ˈu	ˈu	0.414
nː	n	0.412
ˈy	-	0.402
ˈuː	-	0.402
r	ʀ	0.397
nː	-	0.389
ɣ	ʃ	0.382
ˈɛː	ˈeː	0.377
kʰ	k	0.377
ɣ	ʒ̊	0.37
b	p	0.37
k	x	0.352
ˈɛi̯	ˈãː	0.347
t	s	0.347
ˈu	-	0.338
ɡ	-	0.314
ˈɑː	ˈoː	0.306
p	v̥	0.299
ˈɑu̯	ˈoː	0.294
ˈɑː	-	0.287
θ	t	0.275
ˈu	ˈo	0.248
ɣ	ɣ̊	0.248
ˈe	ˈɛ	0.239
d	t	0.233
t	z̥	0.232
ð	-	0.231
ɑ	-	0.225
i	æ̆	0.225
ˈɔ	ˈa	0.22
ˈoː	ˈu	0.213
ˈoː	-	0.213
ɡ	k	0.203
ˈɑ	ˈa	0.202
nː	ˈe_n	0.199
ˈɑː	j	0.19
t	ʦ	0.189
t	d̥	0.174
ˈɑː	ˈɑ_x	0.165
ˈo	ˈu	0.158
ˈo	ˈoː	0.158
ˈɑu̯	oː	0.147
ˈe	ˈi	0.144
ˈɑ	ˈɛ	0.134
ˈi	-	0.121
ˈɑ	ˈɑː	0.116
s	ʃ	0.113
v	b̥	0.11
n	ə	0.11
r	ˈɑː	0.1
v	f	0.088
ˈɑ	ˈaː	0.083
t	t	0.058
ˈɑː	ˈẽː	0.051
