Zeelandic	Zeelandic	probability
ˈɪə̯_n	ˈeː	1.0
ˈɒː	ˈa	1.0
ˈɑu̯	ˈa_l	1.0
ˈæi̯	ˈeː	1.0
ˈoː	-	1.0
ˈiːə̯	ˈeː	1.0
ˈiː_ɾ	ˈaɪ̯_ɑ	1.0
ˈeː_t	ˈɛ_s	1.0
ʋ	ʋ	1.0
ɾ_ə	ˈaː	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ə_ɾ	ɑ	1.0
ə_n	ə	1.0
ə_#>	#>	1.0
ŋ_k	ç	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x_ə_#>	k_#>	1.0
x_#>	ɡ̊_#>	1.0
w	-	1.0
t_ə	s	1.0
s_x	ʃ	1.0
s_#>	ʃ_#>	1.0
s	ʃ	1.0
p_ə	f_ə	1.0
n_ə	ə	1.0
n_d	n	1.0
l	l	1.0
k_ə	x	1.0
k_#>	#>	1.0
j	j	1.0
iː	eː	1.0
i	ɪ	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_ɾ	1.0
<#_x	<#_ɡ	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
#>	ə_#>	1.0
m	m	0.909
n	n	0.857
z	s	0.783
v	f	0.783
ˈɪə̯	ˈeː	0.778
ˈyː	ˈaʊ̯	0.769
ˈɪ	ˈɪ	0.722
ˈɑ	ˈa	0.706
ə	ə	0.694
ˈiː	ˈiː	0.692
ˈuː	ˈuː	0.667
v̥	b̥	0.667
k	k	0.652
ˈi	ˈaɪ̯	0.615
ˈu	ˈʊ	0.6
<#_ˈɑ	<#_ˈa	0.6
p	f	0.556
ˈʏ	-	0.5
ˈøː	ˈʊ	0.5
ˈøː	-	0.5
ɾ	ɾ	0.486
p	p	0.444
ˈɔ	ˈʊ	0.429
ˈeː	-	0.429
ˈʊə̯	ˈoː	0.412
ˈæ	ˈɛ	0.4
ˈu	ˈuː	0.4
t	s	0.4
<#_ˈɑ	<#_ˈɛ	0.4
ˈi	ˈɪ	0.385
x	x	0.357
t	t	0.343
ˈɛː	ˈoː	0.333
ˈɔ	ˈɔ	0.333
ˈuː	ˈiː	0.333
v̥	f	0.333
ˈʊə̯	ˈɔː	0.294
ˈɑ	ˈɔː	0.294
ˈeː	ˈɪ	0.286
ˈeː	ˈɛ	0.286
ɾ	ɑ	0.286
k	ç	0.261
ˈʏ	ˈɛ	0.25
ˈʏ	ˈaː	0.25
ə	-	0.25
ˈɛː	ˈɔː	0.238
ˈɛː	ˈa	0.238
ˈyː	ˈaɪ̯	0.231
ˈɪə̯	-	0.222
z	ʃ	0.217
x	ɣ	0.214
x	ç	0.214
x	-	0.214
ˈæ	ˈɛː	0.2
ˈɛː	ˈɛː	0.19
ˈʊə̯	-	0.176
ˈɪ	ˈaɪ̯	0.167
ˈiː	ˈeː	0.154
ˈiː	ˈaɪ̯	0.154
ˈɔ	-	0.143
t	ʦ	0.143
ˈæ	ˈɔː	0.133
ˈæ	ɾ	0.133
ˈæ	-	0.133
v	ʋ	0.13
ˈʊə̯	h	0.118
t	d	0.114
ˈɪ	ˈa	0.111
ˈɔ	ɾ	0.095
m	ə_m	0.091
v	f_ˈɛ	0.087
k	x	0.087
n	-	0.086
ɾ	ˈɛː_ɑ	0.057
ɾ	ˈaː	0.057
ɾ	d_ɑ	0.057
ɾ	-	0.057
n	ˈeː	0.057
ə	ɑ	0.056
