Doculect,Classification
Proto-Balto-Slavic,Balto-Slavic
Old Prussian,Balto-Slavic > West Baltic
Lithuanian,Balto-Slavic > East Baltic
Samogitian,Balto-Slavic > East Baltic
Latgalian,Balto-Slavic > East Baltic
Latvian,Balto-Slavic > East Baltic
Proto-Slavic,Balto-Slavic > Proto-Slavic
Russian,Balto-Slavic > Proto-Slavic > Slavic > East Slavic
Belarusian,Balto-Slavic > Proto-Slavic > Slavic > East Slavic > Ruthenian
Ukrainian,Balto-Slavic > Proto-Slavic > Slavic > East Slavic > Ruthenian
Polish,Balto-Slavic > Proto-Slavic > Slavic > West Slavic > Lechitic
Kashubian,Balto-Slavic > Proto-Slavic > Slavic > West Slavic > Lechitic
Lower Sorbian,Balto-Slavic > Proto-Slavic > Slavic > West Slavic > Sorbian
Upper Sorbian,Balto-Slavic > Proto-Slavic > Slavic > West Slavic > Sorbian
Czech,Balto-Slavic > Proto-Slavic > Slavic > West Slavic > Czech-Slovak
Slovak,Balto-Slavic > Proto-Slavic > Slavic > West Slavic > Czech-Slovak
Slovenian,Balto-Slavic > Proto-Slavic > Slavic > South Slavic > Southwest Slavic > Slovenian
Štokavian,Balto-Slavic > Proto-Slavic > Slavic > South Slavic > Southwest Slavic > Štokavian-Čakavian
Čakavian,Balto-Slavic > Proto-Slavic > Slavic > South Slavic > Southwest Slavic > Štokavian-Čakavian
Old Church Slavonic,Balto-Slavic > Proto-Slavic > Slavic > South Slavic > Southeast Slavic
Macedonian,Balto-Slavic > Proto-Slavic > Slavic > South Slavic > Southeast Slavic
Bulgarian,Balto-Slavic > Proto-Slavic > Slavic > South Slavic > Southeast Slavic
