Westphalian	Westphalian	probability
ˈɪɛ̯_l	l	1.0
ˈɪə̯	-	1.0
ˈɒː	ˈoː	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈyːœ̯	ˈɪ	1.0
ˈyː	ˈaɪ̯	1.0
ˈyə̯	ˈɛ	1.0
ˈuːə̯	ˈʊ_ɐ	1.0
ˈoː	ˈuː	1.0
ˈiɛ̯	-	1.0
ˈeː_n_#>	ˈaː_#>	1.0
ˈa_n_#>	ˈoː_#>	1.0
ʋ_#>	b̥_#>	1.0
ʋ	v	1.0
ʃ_t	ʃ_d̥	1.0
ʃ	ʃ	1.0
ɪ_ç	i	1.0
ɪ	ɪ	1.0
ɡ_n	ŋ	1.0
ɡ	-	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x_t	x_d̥	1.0
x	ɡ̊	1.0
v̥	b̥	1.0
v_n_#>	m_#>	1.0
v_#>	b̥_#>	1.0
t_ˈɛː	t	1.0
t_ə	s	1.0
t_#>	s_#>	1.0
p_#>	f_#>	1.0
n_n	n_a	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
k_ə	n	1.0
k_#>	#>	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
aɪ̯_n	eː	1.0
<#	<#_ˈɒ	1.0
#>	n_#>	1.0
ɐ	ɐ	0.938
r	r	0.923
s	s	0.909
n	n	0.898
b	b̥	0.895
d	d̥	0.833
ˈa	ˈɒ	0.826
ˈɔː	ˈoː	0.786
ˈɪɛ̯	ˈɛ	0.75
ˈiː	ˈaɪ̯	0.75
ˈaɪ̯	ˈiː	0.714
ˈɪ	ˈɪ	0.68
v	v	0.68
ˈʏ	ˈɪ	0.667
ˈøː	ˈiː	0.667
ˈuː	ˈaʊ̯	0.667
ˈeː	ˈaː	0.625
ç	ç	0.625
k	ɡ̊	0.615
ˈʊ	ˈʊ	0.6
ˈɔ	ˈɒ	0.6
p	b̥͡v̥	0.6
ˈaʊ̯	ˈuː	0.583
ˈɛ	ˈɛ	0.571
t	ʦ	0.533
ˈuə̯	ˈʊ	0.5
ˈuə̯	-	0.5
ə	a	0.5
z	s	0.5
z	-	0.5
ˈɛ	-	0.429
ˈaʊ̯	ˈaː	0.417
ˈɔ	ˈɔ	0.4
p	f	0.4
ˈeː	-	0.375
ç	ɡ̊	0.375
ə	-	0.357
ˈʏ	-	0.333
ˈøː	-	0.333
ˈuː	-	0.333
ˈaː	ˈɔ	0.333
ˈaː	ˈɒ	0.333
ˈaː	ˈoː	0.333
ˈɪɛ̯	ˈeː	0.25
k	x	0.231
ˈɔː	-	0.214
ˈʊ	ˈɔ	0.2
ˈʊ	ˈaʊ̯	0.2
t	z̥	0.2
t	d̥	0.2
ˈɪ	ˈiː	0.16
k	ç	0.154
ˈaɪ̯	ˈɛː	0.143
ˈaɪ̯	ˈeː	0.143
ə	n	0.143
ˈa	ˈoː	0.13
ˈiː	ˈiː_ɐ	0.125
ˈiː	ˈiː	0.125
v	β	0.12
v	v_ˈɔ	0.12
b	-	0.105
d	ɾ	0.1
s	-	0.091
ˈɪ	ˈaɪ̯	0.08
ˈɪ	-	0.08
v	m	0.08
r	r_ˈaɪ̯	0.077
n	a	0.068
t	ʃ_d̥	0.067
d	d̥_ˈɔ	0.067
ɐ	ɾ_ɐ	0.062
