North Frisian	Proto-Germanic	probability
ˈʏ	ˈu	1.0
ˈɛː	ˈe	1.0
ˈɛi̯_#>	ɣ_ɑ_z_#>	1.0
ˈɛi̯	ˈɛː	1.0
ˈɛ_tʲ	ˈɔː_t	1.0
ˈɛ	-	1.0
ˈɔu̯_n	ˈɛː_n	1.0
ˈɔ_r	ˈu_r	1.0
ˈɔ	ˈu	1.0
ˈœi̯_f	ˈɔː	1.0
ˈœ_nʲ	ˈɑ_n	1.0
ˈøː_j	ɣ	1.0
ˈøː	ˈuː	1.0
ˈyː_dʲ	ˈɑu̯_ð	1.0
ˈyː	ˈuː	1.0
ˈuː_l	ˈɑ_l	1.0
ˈeː_l	ˈe_l	1.0
ˈai̯	j	1.0
ˈa_r	ˈe_r	1.0
ə_v_#>	β_ɑ_z_#>	1.0
ə_n	n	1.0
ə_l	l_ɑ	1.0
ŋ	ŋ_ɡ	1.0
x_t	x_t	1.0
x	x	1.0
w	ɣ	1.0
v_ə	i	1.0
s_t	s_t	1.0
s	s	1.0
r_ˈuː	r_ˈɑu̯	1.0
r_ˈiː	r_ˈiː	1.0
r_n	r_n	1.0
p_#>	p_ɑ̃_#>	1.0
nʲ	n	1.0
m_#>	m_ɑ_z_#>	1.0
m	m	1.0
lʲ_#>	l_d_ɑ_z_#>	1.0
lʲ	l	1.0
l_#>	lː_ɑ_z_#>	1.0
j_ˈa	ˈɑ	1.0
i	ɑ	1.0
dʲ	ð_ɑ	1.0
d_ə	ɣ_j	1.0
<#_ˈɔu̯	<#_ˈu	1.0
<#_ˈuː	<#_ˈɑu̯	1.0
<#_ˈeː	<#_ˈɑ	1.0
<#_ɡ	<#_ɣ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_h	<#_x	1.0
<#_f	<#_ɸ	1.0
<#_b	<#_b	1.0
l	l	0.939
k	k	0.882
<#_v	<#_w	0.842
t	t	0.833
<#_d	<#_d	0.833
ˈɒ	ˈɑ	0.8
ˈɒː	ˈɑ	0.778
r	r	0.762
j	ɣ	0.75
tʲ	t_ɑ	0.714
p	p_ɑ	0.714
d_#>	ð_ɑ̃_#>	0.714
s_#>	s_#>	0.7
d	θ	0.667
r_#>	r_#>	0.615
ə_#>	n_ɑ̃_#>	0.611
ˈʊ	ˈu	0.6
ˈaː	ˈi	0.6
ʃ	k	0.6
z	s	0.6
t_#>	t_ɑ_z_#>	0.583
ˈuː	ˈɑu̯	0.571
v	w	0.571
ə	ɑ_n	0.519
n	n	0.517
ˈeː	ˈɑ	0.5
ˈa	ˈi	0.5
f_#>	β_ɑ̃_#>	0.5
f_#>	β_ɑ_z_#>	0.5
<#_t	<#_θ	0.5
<#_t	<#_t	0.5
<#_j	<#_l	0.5
<#_j	<#_j	0.5
ˈɔː	ˈu	0.455
ˈœ	ˈɔː	0.455
ˈuː	ˈɑ	0.429
v	β	0.429
n_#>	n_ɑ_z_#>	0.429
ˈi	ˈiː	0.421
ˈi	ˈi	0.421
#>	ɑ̃_#>	0.402
ˈaː	ˈu	0.4
ʃ	s_k	0.4
z	t_ɑ	0.4
ə_#>	ɔːː_#>	0.389
r_#>	r_ɑ_z_#>	0.385
d	ð	0.333
s_#>	s_ɑ̃_#>	0.3
<#	<#_s	0.3
ˈiː	ˈeu̯	0.29
tʲ	t	0.286
p	p	0.286
n_#>	ɸ_#>	0.286
n_#>	n_#>	0.286
d_#>	ð_i_z_#>	0.286
ˈɔː	ˈɑ	0.273
ˈɔː	ˈe	0.273
ˈœ	ˈɑ	0.273
ˈœ	ˈu	0.273
ˈiː	ˈɑi̯	0.258
ˈeː	ˈe	0.25
ˈeː	-	0.25
ˈa	ˈɑ	0.25
ˈa	ˈu	0.25
t_#>	t_#>	0.25
j	ˈe	0.25
n	n_d	0.241
<#	<#_ˈɑ	0.233
ˈɒː	-	0.222
ˈɒ	-	0.2
#>	ɑ_z_#>	0.195
t_#>	t_u_z_#>	0.167
t	tː	0.167
<#_d	<#_θ	0.167
<#	<#_x	0.167
ˈi	ˈe	0.158
<#_v	<#_xʷ	0.158
#>	z_#>	0.149
ˈʊ	ˈɑ_ŋ	0.133
ˈʊ	ˈɑ	0.133
ˈʊ	ˈe	0.133
<#	<#_ˈɑi̯	0.133
ə	-	0.13
ˈiː	ˈɑu̯	0.129
r	r_ˈu	0.119
k	x	0.118
ə	ɑ	0.111
n	nː_i	0.103
<#	<#_w	0.1
ˈiː	ˈɑi̯_w	0.097
ˈiː	ˈi	0.097
ə	u	0.074
r	r_ˈi	0.071
n	x_u	0.069
n	nː	0.069
<#	<#_ɣ	0.067
ˈiː	ˈe_xʷ	0.065
ˈiː	-	0.065
#>	i_z_#>	0.063
l	l_i	0.061
#>	ɔ̃ː_#>	0.057
ə	ɛː	0.056
ə	ɔː	0.056
ə	e	0.056
