Catalan	Portuguese	probability
b	v	0.61
b	b	0.329
b	-	0.052
d	d	0.834
d	-	0.088
f	f	0.952
i	i	0.348
i	ɨ	0.299
i	j	0.19
i	ĩ	0.162
j	j	0.453
j	-	0.349
j	ˈi	0.198
k	k	0.84
k	ɣ	0.147
l	-	0.273
l	ɫ	0.25
l	l	0.167
l	w	0.117
l	ɾ	0.081
l	u	0.051
m	m	0.918
m	-	0.077
mː	m	1.0
n	n	0.378
n	-	0.223
n	t	0.216
n	ɲ	0.091
n	ˈẽ	0.056
p	p	0.889
p	ʃ	0.065
r	ɾ	0.691
r	ʁ	0.3
s	s	0.565
s	ʃ	0.372
t	t	0.618
t	ð	0.177
t	-	0.12
t	j_t	0.051
u	u	0.506
u	ɔ	0.205
u	õ	0.078
u	-	0.061
u	ˈɔ	0.058
w	-	0.298
w	w	0.236
w	v	0.129
w	u	0.102
w	s_u	0.099
w	ˈu	0.051
z	-	0.447
z	z	0.328
z	ð	0.226
ð	ð	1.0
ŋ	ɲ	0.337
ŋ	ɡ	0.258
ŋ	k	0.149
ŋ	-	0.129
ŋ	ˈĩ	0.127
ə	ɐ	0.631
ə	-	0.19
ə	ɨ	0.109
ɡ	ɡ	0.786
ɡ	-	0.168
ɣ	ɣ	0.941
ɲ	ɲ	0.7
ɲ	-	0.172
ɲ	n	0.128
ɾ	ɾ	0.838
ɾ	-	0.121
ʃ	-	0.559
ʃ	j_ʃ	0.416
ʎ	l	0.707
ʎ	ʎ	0.271
ʒ	ʒ	0.733
ʒ	-	0.228
ʤ	ɣ	0.831
ʤ	ʃ	0.169
ʧ	j	0.63
ʧ	s	0.282
ʧ	ʃ	0.088
ˈa	ˈa	0.531
ˈa	ˈɐ̃	0.275
ˈa	ˈɐ	0.134
ˈe	ˈɛ	0.266
ˈe	ˈɐ	0.239
ˈe	ˈẽ	0.235
ˈe	ˈe	0.131
ˈe	-	0.063
ˈi	ˈi	0.668
ˈi	ˈe	0.096
ˈi	ˈɐ	0.095
ˈi	ˈĩ	0.073
ˈo	ˈo	0.527
ˈo	w̃	0.126
ˈo	ˈɔ	0.106
ˈo	ˈõ	0.088
ˈu	ˈu	0.715
ˈu	ˈo	0.112
ˈu	ˈũ	0.097
ˈu	ˈõ	0.053
ˈɔ	ˈo	0.553
ˈɔ	ˈɔ	0.278
ˈɔ	ˈõ	0.112
ˈɛ	ˈe	0.456
ˈɛ	ˈɛ	0.253
ˈɛ	-	0.126
ˈɛ	ˈɐ	0.062
β	β	0.64
β	v	0.36
