Swabian	Nynorsk Norwegian	probability
a	ɑ	0.916
a	-	0.07
b	b	0.656
b	ʋ	0.222
b	-	0.104
b̥͡f	p	0.809
b̥͡f	ʋ	0.191
d	d	0.335
d	-	0.327
d	tʰ	0.122
d	nː	0.082
d	t	0.072
d	ɕ	0.052
e	lː	0.761
e	-	0.239
eə̯	e	1.0
f	f	0.634
f	p	0.22
f	ʋ	0.082
h	h	0.87
h	j	0.075
h	-	0.055
i	ŋ	1.0
j	-	1.0
kʰ	kʰ	0.914
kʰ	ɕ	0.053
l	l	0.772
l	lː	0.125
l	-	0.07
m	m	0.889
m	-	0.067
n	n	0.715
n	-	0.148
n	nː	0.137
s	s	0.573
s	t	0.266
s	ʃ	0.08
s	-	0.055
t	-	0.357
t	d	0.357
t	ɕ	0.212
t	t	0.075
x	ʰtː	0.579
x	k	0.154
x	-	0.131
x	ɡ	0.098
ç	k	0.633
ç	ɕ	0.163
ç	s	0.107
ç	ʰtː	0.097
ŋ	ŋː	0.634
ŋ	ʰkː	0.19
ŋ	ɲ	0.16
ɡ	ɡ	0.571
ɡ	-	0.173
ɡ	j	0.143
ɡ	ɡː	0.069
ɪ	ɑ	1.0
ʁ	ɾ	0.917
ʃ	s	0.767
ʃ	ʃ	0.233
ʋ	ʋ	0.54
ʋ	-	0.147
ʋ	ˈʏ	0.112
ʋ	kʰ_ʋ	0.1
ʋ	v	0.073
ʌ	ɾ	0.572
ʌ	e	0.199
ʌ	ə	0.121
ʌ	-	0.058
ʌ	ɛ	0.05
ʕ	ɾ	0.843
ʕ	-	0.157
ʣ	tː	1.0
ʦ	tʰ	0.559
ʦ	t	0.212
ʦ	tː	0.099
ʦ	ɕː	0.099
ˈa	ˈɑ	0.625
ˈa	ˈɑː	0.186
ˈa	ˈɛ	0.065
ˈae̯	ˈiː	0.266
ˈae̯	ˈɛ	0.245
ˈae̯	ˈœʏ̯	0.132
ˈae̯	ˈoː	0.111
ˈae̯	ˈʉ	0.103
ˈae̯	ˈeː	0.067
ˈao̯	ˈʉː	0.633
ˈao̯	ˈæʉ̯	0.235
ˈao̯	nː	0.065
ˈaː	ˈɑː	0.429
ˈaː	ˈɑ	0.251
ˈaː	ˈoː	0.194
ˈaː	ˈæɪ̯	0.126
ˈe	ˈɪ	0.343
ˈe	ˈɛ	0.299
ˈe	-	0.226
ˈe	ˈɔ	0.069
ˈeə̯	ˈøː	0.511
ˈeə̯	ˈiː	0.253
ˈeə̯	ˈʉː	0.236
ˈeː	ˈoː	0.247
ˈeː	ˈœʏ̯	0.146
ˈeː	ˈæː	0.145
ˈeː	ˈʊ	0.142
ˈeː	ˈøː	0.141
ˈeː	ˈɪ	0.112
ˈeː	ˈɛ	0.067
ˈi	ˈɪ	0.325
ˈi	ˈiː	0.297
ˈi	ˈɔ	0.13
ˈi	ˈeː	0.079
ˈi	ˈœ	0.06
ˈiə̯	ˈʉː	0.405
ˈiə̯	ˈyː	0.318
ˈiə̯	ˈøː	0.277
ˈiː	ˈyː	0.419
ˈiː	ˈʉː	0.286
ˈiː	ˈeː	0.204
ˈiː	jː	0.091
ˈo	ˈʉ	0.562
ˈo	ˈʊ	0.148
ˈo	ˈɔ	0.113
ˈo	ˈoː	0.064
ˈoː	ˈæʉ̯	0.304
ˈoː	ˈeː	0.212
ˈoː	ˈoː	0.211
ˈoː	ˈʉ	0.104
ˈoː	ˈɔ	0.091
ˈoː	ˈœʏ̯	0.079
ˈu	ˈʏ	0.583
ˈu	ˈuː	0.199
ˈu	ˈʉ	0.129
ˈu	ˈœ	0.088
ˈuə̯	ˈuː	0.708
ˈuə̯	ˈøː	0.233
ˈuə̯	ˈʉː	0.059
ˈuː	ˈʉː	0.66
ˈuː	ˈuː	0.34
ˈɔ	ˈoː	0.385
ˈɔ	ˈʊ	0.32
ˈɔ	ˈʉː	0.16
ˈɔ	-	0.105
ˈɔe̯	ˈæɪ̯	0.807
ˈɔe̯	ˈuː	0.106
ˈɔe̯	ˈɛ	0.088
ˈɔə̯	ˈuː	1.0
ˈɔː	ˈoː	0.565
ˈɔː	ˈɑ	0.3
ˈɔː	ˈɑː	0.135
ˈəi̯	ˈiː	0.649
ˈəi̯	ˈyː	0.218
ˈəi̯	ˈɛ	0.081
ˈəi̯	ˈʏ	0.052
ˈɛ	ˈɛ	0.52
ˈɛ	ˈeː	0.086
ˈɛ	ˈøː	0.077
ˈɛ	ˈæː	0.063
ˈɛː	ˈeː	0.594
ˈɛː	ˈøː	0.203
ˈɛː	ˈœ	0.203
ˈɪ	ˈʏ	0.527
ˈɪ	ˈɪ	0.459
ˈʌ	ˈæ	0.5
ˈʌ	ˈʏ	0.5
