Spanish	Corsican	probability
a	a	0.865
a	-	0.072
b	v	0.601
b	b	0.234
b	-	0.128
d	d	1.0
e	e	0.5
e	-	0.139
e	a	0.104
e	u	0.102
e	i	0.093
e	ˈɛ	0.062
f	f	1.0
i	i	0.818
i	e	0.072
i	u	0.058
i	ˈi	0.052
j	-	0.534
j	j	0.313
j	ˈi	0.098
k	k	0.963
l	l	0.812
l	j	0.097
l	l_e	0.08
m	m	0.933
n	n	0.937
o	u	0.838
o	e	0.055
p	p	0.941
p	-	0.059
r	r	0.661
r	-	0.175
r	r_r	0.101
r	j	0.064
s	s	0.715
s	-	0.191
s	z	0.058
t	t	0.869
u	i	0.426
u	u	0.378
u	j	0.196
w	w	0.771
w	ˈɔ	0.132
w	ˈu	0.098
x	ɟ	0.251
x	ʎ	0.217
x	ʧ	0.141
x	c	0.14
x	-	0.137
x	k	0.074
ð	t	0.765
ð	d	0.118
ð	-	0.098
ŋ	ŋ	0.781
ŋ	-	0.219
ɟ͡ʝ	j	0.533
ɟ͡ʝ	c	0.229
ɟ͡ʝ	l	0.137
ɟ͡ʝ	ɟ	0.1
ɡ	ɡ	0.856
ɡ	z	0.092
ɡ	ɟ	0.053
ɣ	k	0.715
ɣ	ɡ	0.215
ɣ	-	0.07
ɲ	ɲ	0.568
ɲ	n_n	0.238
ɲ	ˈu	0.173
ɾ	r	0.578
ɾ	-	0.355
ʝ	l	0.843
ʝ	t	0.109
ʧ	t	1.0
ˈa	ˈa	0.948
ˈe	ˈɛ	0.571
ˈe	ˈe	0.116
ˈe	ˈa	0.092
ˈe	j	0.071
ˈe	-	0.066
ˈi	ˈi	0.774
ˈi	ˈɛ	0.074
ˈo	ˈo	0.457
ˈo	ˈɔ	0.419
ˈo	ˈu	0.086
ˈu	ˈu	0.887
β	v	0.481
β	p	0.312
β	-	0.106
β	b	0.071
θ	ʧ	0.363
θ	ʧ_e	0.203
θ	-	0.145
θ	ʦ	0.058
