Ukrainian	Bulgarian	probability
ˈu	ˈɤ	1.0
ˈi_ɦ	ˈɔ_k	1.0
ˈi_t	ˈa_t	1.0
ʧ_ɔ	ʧ	1.0
ʧ	t	1.0
ʦ	ʦ	1.0
ʋ_e	f	1.0
ʋ	v	1.0
ʊ	ɐ	1.0
ʃ	ʃ	1.0
ɪ	i	1.0
ɦ_ˈɔ	ɡ	1.0
ɔ_ɫ	ɫ	1.0
ɔ_tʲ	ɐ_t	1.0
ɔ_r	r	1.0
ɔ_#>	ˈɔ_#>	1.0
ɐ_#>	ɐ_#>	1.0
ɐ	ɛ	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
tʲ	t	1.0
t_e	ɐ	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
rʲ	r	1.0
p	p	1.0
nʲ	n	1.0
m	m	1.0
lʲ_#>	ɫ_#>	1.0
kʲ	k	1.0
k	k	1.0
j_ˈɑ	ɛ	1.0
j_#>	#>	1.0
i	ɛ	1.0
d_#>	t_#>	1.0
d	d	1.0
b_#>	p_#>	1.0
b	b	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
r	r	0.92
ˈɑ	ˈa	0.833
ɦ	ɡ	0.818
ˈɪ	ˈi	0.8
ɫ	ɫ	0.75
n	n	0.727
ɛ	ɛ	0.714
ɔ	o	0.667
w	v	0.667
lʲ	lʲ	0.667
j	k	0.6
e	-	0.6
ʋʲ	v	0.571
ˈɛ	ˈɛ	0.5
ʋʲ	vʲ	0.429
j	-	0.4
ˈi	ˈa	0.348
w	f	0.333
lʲ	l	0.333
ˈi	ˈɔ	0.304
ˈɛ	ˈɤ	0.3
ˈɔ	ˈɤ	0.3
ɛ	ˈɛ	0.286
n	ɛ_n	0.273
e	ɐ	0.267
ˈi	ˈɛ	0.261
ɫ	l	0.25
ˈɪ	-	0.2
ˈɛ	ɐ	0.2
ˈɔ	ˈa	0.2
ˈɔ	o	0.2
ɦ	k	0.182
ˈɑ	ˈɛ	0.167
ˈɔ	ˈɛ	0.15
ˈɔ	ˈɔ	0.15
ɔ	-	0.143
e	ɛ	0.133
ɔ	ˈa	0.095
ɔ	ɛ	0.095
ˈi	ɛ	0.087
r	ˈɤ	0.08
