English	English	probability
θ	d	1.0
ˈɪ_ə	ɐ	1.0
ˈɜː	ˈoː_ɐ	1.0
ˈaɪ̯_#>	#>	1.0
ʧ	k	1.0
ʤ	ə	1.0
ʃ	ʃ	1.0
ɫ	l	1.0
ɜː	ˈʏ	1.0
əʊ̯	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð_ə	ɐ	1.0
ð	d	1.0
z	-	1.0
w_ˈe	v	1.0
v	v	1.0
s_#>	z̥_#>	1.0
m	m	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
b	b	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
f	f	0.964
n	n	0.944
ɹ	r	0.929
l	l	0.913
ə	ɐ	0.87
ˈæ	ˈa	0.833
w	v	0.833
t	t	0.825
ˈaʊ̯	ˈuː	0.818
p	p	0.818
ɡ	ɣ	0.8
k	k	0.769
θ_#>	d̥_#>	0.667
ˈʊ	ˈʊ	0.667
s	s	0.581
d	d̥	0.524
ˈɪ	ˈɪ	0.519
ˈɛ	ˈɒː	0.5
ˈɛ	-	0.5
ˈɔː	ɐ	0.5
ˈɒ	ˈɔ	0.5
ˈɒ	-	0.5
ˈeɪ̯	-	0.5
ɪ	ɪ_ç	0.5
ɪ	-	0.5
v_#>	f_#>	0.5
v_#>	#>	0.5
n_d	n_n	0.5
n_d	n	0.5
ˈɑː	ˈa	0.444
s	z	0.419
ˈuː	ˈaʊ̯	0.4
ˈuː	-	0.4
ˈaɪ̯	ˈiː	0.4
ˈəʊ̯	ˈɛɪ̯	0.385
ˈeɪ̯	ˈɒː	0.375
d	d	0.357
ˈɐ	ˈʊ	0.35
θ_#>	#>	0.333
ˈʊ	-	0.333
ˈɑː	ˈa_ɐ	0.333
ˈaɪ̯	ˈɪ	0.32
ˈɔː	ˈoː_ɐ	0.25
ˈɔː	-	0.25
ˈe	ˈɛ	0.238
ˈəʊ̯	ˈɔ	0.231
ˈəʊ̯	-	0.231
k	k_n	0.231
ˈiː	ˈɛɪ̯	0.226
ˈɑː	ˈaː	0.222
ˈɐ	-	0.2
ˈuː	ˈɛɪ̯	0.2
ˈaɪ̯	-	0.2
ɡ	j	0.2
ˈiː	ˈɔʏ̯	0.194
ˈe	ˈɛɪ̯	0.19
ˈe	ˈeo̯	0.19
ˈaʊ̯	-	0.182
p	b_m	0.182
ˈæ	-	0.167
w	w	0.167
ˈiː	-	0.161
ˈəʊ̯	ˈoː	0.154
ˈɐ	ˈʏ	0.15
ˈɪ	ˈʏ	0.148
ˈe	ˈeː	0.143
ˈe	-	0.143
ə	-	0.13
ˈiː	ˈɒː	0.129
ˈeɪ̯	ˈɛə̯	0.125
t	t_n	0.125
ˈɪ	ˈɛ	0.111
ˈɐ	ˈɔ	0.1
ˈɐ	ˈoː	0.1
ˈɐ	ˈaʊ̯	0.1
ˈiː	ˈiː	0.097
ˈiː	ˈeo̯	0.097
ˈe	ˈɪ	0.095
l	ˈɪ_l	0.087
ˈaɪ̯	ˈɛɪ̯_ŋ	0.08
ˈɪ	ˈyː	0.074
ˈɪ	ˈiː	0.074
ˈɪ	-	0.074
ɹ	-	0.071
d	-	0.071
ˈiː	ˈøː	0.065
n	n_n	0.056
