Auvergnat	Languedocien	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_b	1.0
<#_vʲ	<#_b	1.0
<#_w	<#_ˈɔ	1.0
<#_z	<#_ˈe	1.0
<#_ɒ	<#_a	1.0
<#_ə	<#_e	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʎ	<#_l	1.0
<#_ʤ	<#_ʤ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈɪ	<#_ˈe	1.0
a	a	1.0
ã_ŋ	a_n	1.0
b	β	1.0
d	ð	1.0
d_ʀ	d_ɾ	1.0
dʲ	d	1.0
e	e_#>	1.0
fʲ	f	1.0
i	i	1.0
j_#>	ʧ	1.0
j_ʀ	j_ɾ	1.0
j_ˈɔ	ɥ_ˈɔ	1.0
k_#>	k_#>	1.0
l	l	1.0
l_#>	l_#>	1.0
l_ɔ	l_ɔ	1.0
l_ˈa	l_ˈa	1.0
m_#>	m_#>	1.0
m_b	m_b	1.0
n_ɔ	n_ɔ	1.0
s	s	1.0
t_ɔ	t_ɔ	1.0
t_ˈa	t_ˈa	1.0
u_l	u_l	1.0
v	β	1.0
w_#>	w_#>	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈɔ̃	ˈu	1.0
z	z	1.0
ŋ	ŋ	1.0
œ	a_w	1.0
ɡ	ɣ	1.0
ɪ	s	1.0
ɪ_k	s_k	1.0
ɪ_p	s_p	1.0
ʀ_ɔ	ɾ_ɔ	1.0
ʀ_ˈa	ɾ_ˈa	1.0
ʀ_ˈɪ	ɾ_ˈe	1.0
ʃ	-	1.0
ʎ	l	1.0
ʎ_#>	l_#>	1.0
ʎ_ɔ	ʎ_ɔ	1.0
ʤ	ʤ	1.0
ʤ_ɔ	ɣ_ɔ	1.0
ʧ	t	1.0
ʧ_ɔ	k_ɔ	1.0
ʧ_ə	ʤ_e	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_w	ˈa_w	1.0
ˈã	ˈa	1.0
ˈe_ʀ	ˈɛ_ʀ	1.0
ˈẽ_ŋ	ˈɛ_n	1.0
ˈi	ˈi	1.0
ˈi_#>	ˈi_#>	1.0
ˈĩ_ŋ_#>	ˈi_#>	1.0
ˈu	ˈu	1.0
ˈu_#>	ˈu_#>	1.0
ˈy	ˈy	1.0
ˈỹ	ˈy	1.0
ˈœ	ɥ_ˈɛ	1.0
ˈɔ	-	1.0
ˈɛ	ˈɛ	1.0
ˈɪ̃	ˈe	1.0
<#	<#_s	0.231
n	n	0.571
w	w	0.571
ɔ	ɔ_#>	0.821
m	m_b	0.222
u	-	0.333
ŋ_#>	#>	0.643
ʀ	ʀ	0.233
ʀ_#>	ʀ_t	0.333
<#	<#_ˈa	0.154
<#_ʧ	<#_k	0.824
w	-	0.214
w	ˈu	0.214
ə	e	0.324
ɲ	ɲ	0.4
<#	<#_e	0.615
s_#>	ʦ_#>	0.5
s_#>	s_#>	0.5
ɒ	e	0.25
ɒ	a	0.75
ˈa	ˈɛ	0.125
ˈa	ˈa	0.875
ˈe	ˈɛ_s	0.125
ˈe	j_ˈɛ	0.125
ˈe	ˈɛ	0.75
ˈe_j	j_ˈɛ	0.25
ˈe_j	j	0.25
ˈe_j	ˈa_j	0.5
ˈɪ	-	0.125
ˈɪ	ˈe	0.875
<#_ʧ	<#_t	0.176
ɲ	ɲ_#>	0.6
t	-	0.167
t	t_ɾ	0.417
t	t	0.417
u	u	0.667
ŋ_#>	n_#>	0.357
ʀ	-	0.067
ʀ	ɾ	0.7
ʀ_#>	ʀ_#>	0.667
m	m	0.778
ə	-	0.088
ə	e_#>	0.588
n	-	0.429
ɔ	-	0.179
