Standard Serbian	Belarusian	probability
ʨ	ʧ	1.0
ʧ	ʧ	1.0
ʎ	lʲ	1.0
ʋ_a	v_a	1.0
ʃ	ʂ	1.0
ɲ	nʲ	1.0
ɡ̊	x	1.0
x	x	1.0
t_i	ʦʲ	1.0
r̩ː	ɵ	1.0
r̩_̂	r	1.0
r̩	e	1.0
oː	o	1.0
o_̌	a	1.0
i_̂	ɨ_ˈ	1.0
eː_̌	a	1.0
e_̌	æ	1.0
d̥	d̥ʲ	1.0
aː_̌	a	1.0
a_̌	a_ˈ	1.0
a_r	r_ɨ	1.0
a_n	n_ɨ	1.0
ɡ	ɣ	0.97
̂	ˈ	0.91
r	r	0.839
e_̂	e_ˈ	0.731
ʋ	vʲ	0.721
̌	-	0.714
iː	ɨ	0.689
n	n	0.688
ʦ	ʦ	0.684
a_̂	o_ˈ	0.676
j	j	0.65
s	s	0.616
k	k	0.616
t	t	0.583
l	ɫ	0.581
z	z	0.578
p	pʲ	0.577
uː	u	0.569
ʒ	ʐ	0.552
o	o	0.549
m	mʲ	0.548
i	i	0.534
d	d	0.527
b	b	0.467
d	ʣʲ	0.458
m	m	0.452
ʒ	ʐ̊	0.448
aː	a	0.427
a	a	0.425
p	p	0.423
z	zʲ	0.422
t	ʦʲ	0.417
eː	æ	0.407
b	bʲ	0.391
s	sʲ	0.384
e	a	0.384
u	o	0.38
u	u	0.351
l	lʲ	0.35
j	-	0.35
a_̂	ˈ	0.324
ʦ	-	0.316
aː	o	0.315
n	nʲ	0.312
iː	i	0.311
̌	ˈ	0.286
ʋ	v	0.279
i	ɨ_ˈ	0.271
u	v_u	0.269
e_̂	ˈ	0.269
eː	e	0.258
aː	-	0.258
a	a_ˈ	0.257
uː	o	0.249
k	kʲ	0.237
e	-	0.203
e	e	0.2
i	i_ˈ	0.195
o	a	0.192
o	v_o	0.186
uː	ʉ	0.181
e	e_ˈ	0.175
eː	a	0.167
r	a_r	0.161
a	-	0.148
k	-	0.147
b	b̥	0.142
a	e	0.112
̂	-	0.09
eː	ɵ	0.084
eː	ɛ	0.084
o	ɫ	0.073
l	ʌ_ɫ	0.069
a	o_ˈ	0.058
