Ligurian	Valencian	probability
f	f	1.0
k	k	1.0
m	m	1.0
ɔː	u	1.0
ɲ	ɲ	1.0
ˈi	ˈi	1.0
ˈyː	ˈu	1.0
ˈɔ	ˈɒ	1.0
ˈɔː	ˈɒ	1.0
a	-	0.081
e	e_r	0.121
j	u	0.1
u	ɜ	0.131
w	u	0.081
ʤ	ʎ	0.611
ˈeː	ˈe	0.161
ˈy	ˈu	0.91
a	ɐ	0.402
d	d	0.922
e	w	0.052
i	e_s	0.062
i	i	0.412
j	d_ɾ	0.062
n	-	0.062
w	w	0.292
z	ʤ	0.672
ʃ	j_ʃ	0.152
ʤ	-	0.132
ʤ	ʤ	0.152
ˈaː	ˈa_r	0.442
ˈaː	ˈa	0.492
ˈe	ˈe	0.462
ˈuː	l_ˈo	0.132
ˈø	ˈu	0.562
ˈøː	ˈɒ	0.912
t	ð	0.13
w	u_ɾ	0.053
ŋ	n	0.723
ˈeː	ˈi	0.33
ˈiː	ˈi	0.873
ˈɛ	ˈe_j	0.713
a	ɞ	0.164
u	e	0.214
ɡ	ɡ	0.264
ʃ	<#_e	0.214
ʒ	m	0.194
ʒ	-	0.774
ˈu	-	0.054
ˈɛː	ˈa_t	0.064
ˈɛː	ˈa	0.294
a	a	0.135
e	ɜ	0.085
j	-	0.355
r	ɾ	0.5
t	-	0.055
u	ɐ	0.055
u	w	0.095
v	β	0.145
w	-	0.485
ʃ	f	0.155
ˈuː	ˈu	0.085
ˈuː	ˈo	0.405
p	p	0.996
r	-	0.06
r	r	0.416
z	-	0.256
ɡ	-	0.136
ˈu	ˈo	0.16
ˈu	ˈɒ	0.646
ˈɛː	ˈæ	0.616
e	ɞ	0.077
l	ʎ	0.897
t	t	0.727
u	u	0.167
v	v	0.787
ŋ	ɲ	0.057
ˈa	l_ˈa	0.107
ˈa	ˈa	0.87
ˈiː	ˈi_r	0.127
ˈɛ	ˈe	0.287
a	ɜ	0.218
d	-	0.078
e	e	0.558
j	ɾ	0.368
l	l	0.088
t	l_t	0.088
u	-	0.138
u	ɞ	0.158
z	z	0.058
ŋ	ŋ	0.148
ʃ	ʃ	0.48
ˈe	ˈæ	0.538
ˈø	ˈi	0.148
b	b	0.959
i	-	0.479
j	l	0.079
n	ɲ	0.059
n	n	0.879
s	s	0.919
v	-	0.069
w	ʎ	0.089
ɡ	ɣ	0.579
ˈeː	ˈæ	0.509
ˈu	ˈu	0.139
ˈuː	ˈɒ	0.329
ˈy	ˈo	0.09
ˈø	ˈo	0.29
