Lengadocian	Lengadocian	probability
ˈy	ˈu	1.0
ˈu_s	ˈo_j	1.0
ˈe_l	e̯ˈa	1.0
ʧ	p_t	1.0
ʎ_ɔ	e	1.0
ʎ	j	1.0
ʀ_t	r_t	1.0
ʀ_k	r_k	1.0
ɾ_e	r_u	1.0
ɲ	m_n	1.0
ɥ_ˈɛ	o̯ˈa	1.0
ɥ_ˈɔ	ˈo	1.0
ɥ	o̯ˈa	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ŋ	-	1.0
ð	t	1.0
z	-	1.0
y	u	1.0
w_#>	#>	1.0
t_s	ʦʲ	1.0
s_t	s_t	1.0
s_#>	#>	1.0
p	p	1.0
n_s	nʲ	1.0
n_d	n_e	1.0
n_#>	n_t_#>	1.0
n	n	1.0
mː	p	1.0
m_#>	m_e_#>	1.0
m	m	1.0
k_ɾ	k_r	1.0
k_a	k	1.0
k_#>	k_#>	1.0
j_ɾ	t	1.0
j_s	ʃ_t	1.0
i	-	1.0
f	f	1.0
e_s	s	1.0
e_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʀ	<#_r	1.0
<#_ɥ	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_a_w	<#_u	1.0
<#_a	<#	1.0
<#	<#_j	1.0
k	k	0.917
ɔ	ə	0.884
ɾ	r	0.857
u	u	0.857
ˈi	ˈi	0.852
ʀ	r	0.846
l_#>	r_#>	0.778
t	t	0.765
ˈa	ˈa	0.745
ˈɔ	ˈo	0.667
ˈu	ˈu	0.643
d	d	0.643
e	e	0.611
l	l	0.609
ˈɛ_l	kʲ	0.6
ʦ	ʧ_e	0.6
s	s	0.6
β	-	0.5
ɣ	ɡ	0.5
ɣ	k	0.5
w	w	0.5
b	v	0.5
ˈe	ˈe	0.483
ʤ	ʒ	0.455
j	-	0.429
a	a	0.417
ˈɛ_l	u_m	0.4
ʦ	ʦ	0.4
#>	e_#>	0.391
#>	r_e_#>	0.375
ʤ	-	0.364
d	z	0.357
ˈɔ	o̯ˈa	0.333
b	b	0.333
a	-	0.333
ˈɛ	ˈe	0.303
β	b	0.286
w	-	0.286
l	r	0.261
a	ɨ	0.25
l_#>	#>	0.222
β	p	0.214
w	l	0.214
j	ˈe	0.214
j	j	0.214
ʤ	ʤ	0.182
ˈe	ˈi	0.172
s	ʃ	0.167
ˈa	ˈɨ	0.157
ʀ	r_n	0.154
ˈɛ	ˈi	0.152
ˈɛ	j_ˈe	0.152
ˈu	ˈo	0.143
ɾ	e_r	0.143
u	o	0.143
j	e	0.143
e	i	0.139
l	j	0.13
t	ʦ	0.118
t	-	0.118
ɔ	e	0.116
ˈu	ˈu_n	0.107
ˈu	o̯ˈa	0.107
ˈe	e̯ˈa	0.103
ˈe	-	0.103
s	ʧ	0.1
#>	n_#>	0.094
ˈɛ	ˈa	0.091
ˈɛ	j_ˈa	0.091
ˈɛ	e̯ˈa	0.091
k	ʧ	0.083
e	ə	0.083
b	z_b	0.083
b	f_r	0.083
#>	ə_#>	0.078
ˈi	r	0.074
ˈi	-	0.074
ˈe	ˈe_ʤ	0.069
ˈe	e_d	0.069
s	ʃ_t	0.067
s	p	0.067
#>	k_#>	0.062
ˈɛ	j	0.061
ˈɛ	-	0.061
ˈa	ˈɨ_j	0.059
e	u	0.056
e	a	0.056
e	-	0.056
