Upper Sorbian	Russian	probability
bʲ	bʲ	1.0
e	ˈe	1.0
i	ɪ_j	1.0
j	j	1.0
kʲ	kʲ	1.0
mʲ	mʲ	1.0
n	n	1.0
pʲ	pʲ	1.0
w	ɫ	1.0
ɥ	vʲ	1.0
ɪ	ɨ_j	1.0
ɲ	nʲ	1.0
ʀ	r	1.0
ʀʲ	rʲ	1.0
ʒ	ʐ	1.0
ʤ	dʲ	1.0
ˈi	ˈi	1.0
ˈɪ	ˈɨ	1.0
β	v	1.0
m	mʲ	0.281
p	pʲ	0.331
t	t	0.981
z	z	0.641
ˈu	ʊ	0.1
ˈɔ	ɪ	0.071
ˈɔ	ˈe	0.151
ˈɔ	ˈo	0.371
ɛ	ˈe	0.052
ʃ	-	0.242
ʦ	ʨ	0.152
ˈe	ɪ	0.182
k	k_ɐ	0.053
l	ɫ	0.23
ˈɔ	ɐ	0.263
ˈɛ	ɪ	0.43
a	ˈa	0.664
d	dʲ	0.084
s	s	0.614
ʧ	tʲ	0.954
ˈɔ	ˈɵ	0.144
ˈɛ	ˈe	0.4
x	k	0.425
x	x	0.575
ɔ	ə	0.795
ˈa	ɪ	0.235
ˈa	ˈa	0.765
ˈo	ə	0.115
ˈo	ˈo	0.885
a	ə	0.336
d	d	0.916
s	sʲ	0.386
ɔ	ˈo	0.136
ɦ	ɡ_ˈo	0.096
ɦ	ɡ	0.856
ˈe	ˈo	0.16
l	lʲ	0.77
ɛ	ɪ	0.948
ʃ	ʂ	0.758
ʦ	ʦ	0.848
ˈe	ˈe	0.658
k	k	0.9
m	m	0.719
p	p	0.669
z	zʲ	0.359
ɔ	ɐ	0.069
ˈu	ˈu	0.9
ˈɛ	ˈo	0.169
