Logudorese	Logudorese	probability
ˈi_t	ʦ	1.0
ˈe_z	ɲ	1.0
ʦ	ʦ	1.0
ɡ	ɡ	1.0
ɛ̆	j	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ	-	1.0
ŋ_ɡ	ʤ	1.0
ŋ	ŋ	1.0
ð	t	1.0
z	-	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_u_#>	t_#>	1.0
r	r	1.0
o	u	1.0
nː	n	1.0
m	m	1.0
l_u_#>	#>	1.0
l	r	1.0
i	-	1.0
f_ˈi	ˈi	1.0
f	f	1.0
e	i	1.0
b_ˈɛ	ɔ	1.0
ă	w	1.0
a_#>	#>	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
a	ə	0.897
p	p	0.857
ˈo	ˈo	0.833
ɛ	i	0.806
s	s	0.765
d	d	0.75
ˈa	ˈa	0.739
k	k	0.733
ɣ	k	0.727
n	n	0.727
ʣ	ʎ	0.714
ɾ	r	0.692
ˈu	ˈu	0.688
u	u	0.688
j	k_ʎ	0.667
ˈe	ˈe	0.636
ˈɔ	o̯ˈa	0.615
t	t	0.6
β	p	0.5
β	-	0.5
ˈɛ	ˈa	0.5
ˈi	e̯ˈa	0.429
<#	<#_j	0.429
t	p_t	0.4
ˈe	ˈi	0.364
b	b	0.364
ˈi	ˈi	0.357
j	-	0.333
b	v	0.318
ˈu	ˈo	0.312
ʣ	ʒ	0.286
<#	<#_p	0.286
<#	<#_k	0.286
ɣ	ʦ	0.273
ˈa	ˈɔ	0.261
d	z	0.25
s	-	0.235
ˈɔ	ˈu	0.231
ˈɛ	ˈi	0.214
ˈɛ	ˈe	0.214
ˈi	ˈe	0.214
k	ʦ	0.2
u	i	0.188
n	-	0.182
ˈo	ˈu	0.167
ˈɔ	-	0.154
p	kʲ	0.143
b	z	0.136
ɾ	l	0.128
ɾ	-	0.128
u	-	0.125
a	-	0.103
n	j_n	0.091
b	ɡ	0.091
b	-	0.091
ɛ	w_ə	0.083
ˈɛ	ˈɛ	0.071
k	ʧ	0.067
ɛ	ˈi	0.056
ɛ	ə	0.056
ɾ	r_ˈa	0.051
