Provençal	Provençal	probability
ˈɔ	-	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈã	ˈa	1.0
ˈa_w	ˈɔ	1.0
ˈa_j	ˈa	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ɥ_ˈe	ˈɔ	1.0
ɥ	ˈɔ	1.0
y	u	1.0
w_ˈẽ	ˈo	1.0
w_ɾ	ɾ	1.0
w_t	t_ɛ	1.0
w_#>	i_#>	1.0
ũ	u	1.0
t_ɔ	t_a	1.0
s_ˈe	s_ˈɛ	1.0
p	p	1.0
m_#>	m_i_n_i_#>	1.0
m	m	1.0
lː	z_u	1.0
k_l	k_ɾ	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈe	ˈɛ	1.0
j_s	ʃ	1.0
j_#>	u_#>	1.0
ĩ	i	1.0
f	f	1.0
e_s	s	1.0
d_ɔ	ð_a	1.0
ã	a	1.0
a_s	a_s	1.0
a_d	a_ð	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʤ	1.0
<#_ɥ	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_i	1.0
<#_d	<#	1.0
<#_a	<#	1.0
<#	<#_a	1.0
ɔ	a	0.879
v	b	0.87
ɾ	ɾ	0.857
ˈi	ˈi	0.85
a	a	0.846
n	n	0.812
ɲ	n_ʤ	0.8
k	k	0.761
ˈy	ˈu	0.75
ˈu	ˈu	0.696
t	t	0.667
d	d	0.647
s	s	0.634
b	b	0.625
ˈẽ	ˈɛ	0.615
i	i	0.6
e	i	0.545
ˈɛ	ˈɛ	0.538
ˈe	ˈi	0.5
ʤ	ʤ	0.5
ɾ_e	ŭ	0.5
ɾ_e	u	0.5
z	ʒ	0.5
w_ˈe	ˈo	0.45
ˈũ	ˈo	0.444
#>	i_#>	0.443
ɡ	ɡ	0.429
ʀ	r	0.414
w_ˈe	ˈɔ	0.4
i	e	0.4
ŋ	n	0.395
#>	u_#>	0.392
l	l	0.391
u	ɔ	0.385
ˈɛ	ˈe	0.346
ˈũ	ˈu	0.333
ˈu	ˈɔ	0.304
ʀ	ɾ	0.276
l	-	0.261
ˈy	ˈu_ɾ	0.25
ʤ	i_ɣ	0.25
ʤ	-	0.25
z	z	0.25
z	-	0.25
w	u	0.24
w	l_u	0.24
ŋ	n_u	0.233
ˈẽ	ˈe	0.231
u	u	0.231
u	-	0.231
ˈũ	ˈɔ	0.222
ɡ	ɣ	0.214
ɡ	-	0.214
j	-	0.208
ɲ	ɲ	0.2
t	z	0.2
n	nː	0.188
ŋ	n_t	0.186
e	u	0.182
ˈe	ˈɛ	0.179
l	ɾ	0.174
l	ɖː	0.174
ʀ	-	0.172
b	β	0.167
ˈẽ	-	0.154
u	o	0.154
a	-	0.154
ˈi	-	0.15
w_ˈe	ɾ_ˈo	0.15
s	ʒ	0.146
ɾ	-	0.143
ɡ	w	0.143
t	t_ˈa	0.133
v	-	0.13
j	ˈe	0.125
j	ɭː	0.125
j	i	0.125
b	-	0.125
w	ˈɔ	0.12
w	ɾ	0.12
w	ɖː_u	0.12
d	ð	0.118
d	n	0.118
d	-	0.118
ŋ	ŋ	0.116
ˈɛ	-	0.115
e	a	0.114
#>	ɾ_i_#>	0.113
k	ɣ_u	0.109
ˈe	ɾ	0.107
e	-	0.091
ɔ	u	0.086
j	ˈa	0.083
j	ɣ_u	0.083
j	ɔ̆	0.083
j	j	0.083
j	d	0.083
b	β_ɛ	0.083
w	ɭː_u	0.08
w	l_i	0.08
s	ʦ	0.073
ˈe	ˈi_ð	0.071
ˈe	ɣ	0.071
ˈe	-	0.071
ŋ	nː	0.07
ʀ	ɾ_u	0.069
ʀ	t_i	0.069
e	ɛ	0.068
#>	z_ŭ_#>	0.052
