Westphalian	Middle English	probability
ˈɛː	ˈɛ_r	1.0
ˈɒː	ˈaː_r	1.0
ˈøː	ˈeː	1.0
ˈyːœ̯	ˈɔː	1.0
ˈyə̯	ˈu	1.0
ˈoː	ˈoː	1.0
ˈiː	ˈiː	1.0
ʃ_k	ʃ	1.0
ɪ_ç	iː	1.0
ɣ	ˈiː	1.0
ə	ə	1.0
ç	-	1.0
v̥	f	1.0
t_ʃ	i	1.0
r	r	1.0
p	p	1.0
n_t	n_t	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b	b	1.0
aɪ̯	eː	1.0
s	s	0.927
m	m	0.911
ˈeː	ˈɔː	0.861
ˈʊ	ˈu	0.852
ʋ	w	0.841
d̥	d	0.788
n	n	0.786
t	t	0.778
ˈuː	ˈuː	0.767
z	z	0.754
k	k	0.704
ˈaʊ̯	ˈɛː	0.689
l	l	0.672
ɡ	ə	0.668
ˈʏ	ˈi	0.66
ŋ	ŋ_ɡ	0.633
ˈɔː	ˈɛː	0.618
ˈɔ	-	0.612
ˈa	ˈa	0.602
ˈɪə̯	-	0.6
ˈyː	-	0.6
ʃ	ʃ	0.594
ˈuə̯	ˈu	0.593
d	θ	0.576
v	w	0.566
ˈɪɛ̯	ˈɛ	0.551
ˈaɪ̯	ˈeː	0.549
ˈiɛ̯	ˈɛ	0.526
ˈaː	ˈaː	0.511
ˈɔː_n	ˈoː_n	0.5
ˈɔː_n	n	0.5
ˈuːə̯	ˈɔ	0.5
ˈuːə̯	ˈu_r	0.5
ˈaː	ˈa	0.489
ˈɪ	ˈi	0.487
ˈiɛ̯	-	0.474
ˈaɪ̯	-	0.451
ˈɪɛ̯	-	0.449
ɐ	r	0.419
ˈuə̯	-	0.407
ʃ	s	0.406
ˈɛ	ˈɛ	0.401
ˈɪə̯	ˈi	0.4
ˈyː	ˈeː	0.4
ˈɔ	ˈɔː	0.388
ˈɔː	-	0.382
ɐ	ə_r	0.349
ˈʏ	ˈu	0.34
ˈɪ	ˈiː	0.337
ɡ	-	0.332
l	ɫ	0.328
ˈaʊ̯	-	0.311
x	ɡ	0.299
ˈa	ˈɔː	0.279
ˈɛ	ˈi	0.276
d	d_ə	0.254
z	s	0.246
x	x	0.235
ˈuː	-	0.233
k	ʧ	0.229
t	t_ə	0.222
v	v	0.218
d̥	θ	0.212
ŋ	ŋ	0.201
x	ç	0.195
ˈɛ	-	0.179
ŋ	n_ɡ	0.167
ʋ	f	0.159
x	ɡ_ˈoː	0.156
ˈʊ	ˈuː	0.148
ˈɛ	ˈæi̯	0.143
ɐ	ə	0.141
ˈeː	-	0.139
x	j	0.115
d	d	0.105
ˈɪ	-	0.1
ɐ	r_ə	0.092
n	n_d	0.09
m	m_b	0.089
v	f	0.077
ˈɪ	ˈeː	0.076
v	ˈɛː_v	0.074
s	k_s	0.073
n	-	0.07
k	ə	0.067
v	ʍ	0.065
d	ð	0.065
ˈa	ˈi	0.064
