Middle High German	Palatine German	probability
ˈɛ_h	ˈẽː	1.0
ˈɑ_s	ˈɑː_s	1.0
ˈøː	ˈeː	1.0
ˈøy̯	ˈɛː	1.0
ˈæː	ˈeː	1.0
ˈyː_n	ˈɑ̃ɪ̯	1.0
ˈyː	ˈaɪ̯	1.0
ˈyə̯_n	ˈĩː	1.0
ˈyə̯	ˈiː	1.0
ˈu_n	ˈõː	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈɑː	1.0
ˈiː	ˈaɪ̯	1.0
ˈeː	ˈeː	1.0
ˈe	ˈɛ	1.0
ʦː	ʣ̥	1.0
ʦ	ʣ̥	1.0
ʃː	ʃ	1.0
ʃ	ʃ	1.0
ɡ_ə	ɣ̊	1.0
ɡ_r	ɡ̊_r	1.0
ɛ_h	eː	1.0
ə_ɡ̊	ɪ_ʃ	1.0
ə_r	ɐ	1.0
ə_n	ə	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x_s	ɡ̊_s	1.0
tː	r	1.0
t_r	d̥_r	1.0
s̻ː	s	1.0
s̻	s	1.0
s_ˈɑ	s_ˈɑ	1.0
s_t	ʃ_d̥	1.0
s	s	1.0
rː	-	1.0
r_ə	ɐ	1.0
r_n	ɐ_n	1.0
p͡f	b̥	1.0
p	b̥	1.0
oː	ɑ	1.0
ou̯	ˈɑː	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	ɡ̊	1.0
kʰ_n	ɡ̊_n	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ɪ	1.0
fː	f	1.0
f	f	1.0
d̥	d̥	1.0
d_ə	r	1.0
d	d̥	1.0
b̥	b̥	1.0
v	f	0.959
ˈiə̯	ˈiː	0.945
w	β	0.874
t	d̥	0.861
n	n	0.841
ˈi	ˈɪ	0.836
ə	-	0.832
h	h	0.825
ˈuː	ˈau̯	0.818
ˈuə̯	ˈuː	0.791
ˈu	ˈu	0.784
b	b̥	0.763
ˈɑː	ˈoː	0.759
ˈo	ˈɔ	0.709
x	ʃ	0.691
ˈɛ	ˈɛ	0.684
ˈy	ˈɪ	0.659
r	ɐ	0.64
ˈɑ	ˈɑ	0.629
xː	ʃ	0.57
k	kʰ	0.555
ɡ	ɡ̊	0.539
ˈei̯	ˈɛː	0.529
ɡ̊	ʃ	0.504
k	ɡ̊	0.445
xː	x	0.43
r	r	0.36
ˈy	ˈɛ	0.341
ɡ̊	-	0.331
x	x	0.309
ˈɑ	ˈɑː	0.272
ɡ	-	0.267
ˈei̯	ˈeː	0.237
ˈei̯	-	0.234
ˈɛ	ˈɛː	0.227
ˈu	ˈɔ	0.216
ˈuə̯	ˈu	0.209
b	β	0.201
ɡ	j	0.193
ˈɑː	-	0.19
ˈo	ˈoː	0.187
h	-	0.175
ɡ̊	ɣ̊	0.165
ə	ə	0.15
t	r	0.139
ˈuː	-	0.123
n	-	0.109
ˈo	ˈu	0.104
ˈi	ˈiː	0.094
ˈɛ	-	0.089
w	-	0.072
ˈi	-	0.07
ˈuː	ˈau̯̯	0.059
ˈiə̯	ˈi	0.055
w	β_ˈɑ	0.054
ˈɑ	-	0.053
ˈɑː	ˈo	0.051
n	ə	0.05
