Lombard	Logudorese	probability
#>	#>	0.952
<#	<#	1.0
a	a	0.869
a	e	0.06
ã	a	0.345
ã	ŋ	0.345
b	b	0.896
b	β	0.104
d	d	0.411
d	ð	0.359
d	ɣ	0.069
d	-	0.057
d	s	0.056
d	t	0.053
e	e	0.51
e	i	0.254
e	o	0.209
ẽ	e	0.144
f	f	0.687
f	-	0.161
f	β_u	0.123
i	i	0.583
i	e	0.398
ĩ	i	0.345
ĩ	j	0.345
j	r	0.317
j	-	0.287
j	u	0.178
j	i	0.152
j	j	0.065
j_ˈe	ˈe	0.524
k	k	0.73
k	ɣ_u	0.133
k	-	0.076
l	l	0.682
l	ɖ	0.145
l	r	0.092
l	-	0.071
m	m	0.818
m	m_e	0.066
m	-	0.06
m	n	0.058
n	n	0.861
n	r	0.105
o	u	0.574
o	o	0.301
p	p	0.897
p	p_u	0.1
r	r	0.949
s	s	0.703
s	ɣ_e	0.186
s	z_u	0.068
s_#>	#>	0.524
t	t	0.537
t	t_u	0.177
t	t_e	0.159
t	d	0.069
u	o	0.315
u	e	0.268
u	u	0.173
u	a	0.114
u	ˈe	0.114
v	b	1.0
w	b	1.0
y	o	1.0
z	ɣ	1.0
ɛ	i	0.871
ɛ	a	0.065
ɡ	ɡ	0.337
ɡ	ɣ	0.167
ɡ	m	0.126
ɡ	-	0.116
ɡ	b	0.091
ɡ	β	0.066
ɲ	n	0.776
ɲ	ɲ	0.183
ʃ	s	0.715
ʃ	k	0.28
ʋ	b	0.583
ʋ	-	0.191
ʋ	β	0.126
ʋ	j	0.054
ʋ	ˈu	0.054
ʤ	ɡ	0.422
ʤ	-	0.232
ʤ	b	0.186
ʤ	k	0.123
ʦ	k	0.336
ʦ	-	0.193
ʦ	ŋ	0.193
ʦ	ʦ	0.139
ʦ	z	0.101
ʧ	k	0.418
ʧ	k_r	0.209
ʧ	t_e	0.149
ʧ	ð	0.063
ʧ	ɣ_u	0.063
ʧ	t	0.056
ʧ	ɣ_e	0.052
ˈa	ˈa	0.657
ˈa	ˈa_r	0.255
ˈa	r_ˈa	0.057
ˈaː	ˈa	0.761
ˈaː	ˈa_ð	0.184
ˈãː	ˈa_n	0.848
ˈãː	ˈa	0.152
ˈe	ˈi	0.51
ˈe	ˈe	0.417
ˈe	i	0.067
ˈe_j	ˈe	1.0
ˈeː	ˈi	0.667
ˈeː	ˈe	0.333
ˈẽː	ˈe_n	0.538
ˈẽː	ˈi	0.422
ˈi	ˈi	0.692
ˈi	ˈu	0.132
ˈi	ˈi_ʣ	0.093
ˈi	e	0.075
ˈĩː	ˈi_n	0.85
ˈĩː	ˈi	0.093
ˈo	ˈo	1.0
ˈu	ˈu	0.605
ˈu	ˈo	0.385
ˈuː	ˈu	1.0
ˈũː	ˈo_n	0.74
ˈũː	ŋ	0.205
ˈy	ˈu	0.653
ˈy	ˈi	0.288
ˈy	u	0.06
ˈyː	ˈo	0.562
ˈyː	ˈu	0.416
ˈỹː	u	0.274
ˈø	ˈo	0.846
ˈø	ˈu	0.153
ˈøː	ˈo	1.0
ˈɔ	ˈo	0.649
ˈɔ	ˈa	0.178
ˈɔ	ˈe	0.075
ˈɔ	-	0.071
ˈɔ	w	0.051
ˈɛ	ˈe	0.943
ˈɛ	ˈi	0.057
ˈɛ̃ː	ˈe	1.0
ˈˈi	i	0.274
