Sichuanese	Sichuanese	probability
⁵⁵	˦	1.0
⁵³	˧˥	1.0
ɛ_²¹	æ_k̚	1.0
ɛ	ə_k̚	1.0
ɚ	ȵ_i	1.0
ə_n	e_ŋ	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
²¹_#>	#>	1.0
z	ȵ	1.0
w_²¹	u_˦	1.0
pʰ	-	1.0
o_⁵³	ɑ_˧˥	1.0
k	k	1.0
j_ɛ	e	1.0
j_ə	ɨ	1.0
j_a	i_e	1.0
e	-	1.0
a_w	ɑ_u	1.0
a_j	ʌ_i	1.0
<#_ʨʰ	<#	1.0
<#_ʦʰ	<#	1.0
<#_ŋ	<#_ʔ	1.0
<#_w	<#_m	1.0
<#_s	<#	1.0
<#_n	<#_l	1.0
<#	<#_ŋ	1.0
²¹	˦	0.935
²¹³	˥˩	0.808
j	i	0.8
w	u	0.75
o	u	0.7
ʨ	k	0.667
tʰ	tʰ	0.667
nʲ	-	0.667
kʰ	kʰ	0.667
n	n	0.649
f	p	0.625
ʨʰ	kʰ	0.6
t	d	0.6
p	p	0.6
m	m	0.6
ɥ	i_u	0.5
ɥ	-	0.5
y	ɨ_ʌ	0.5
y	ɦ_ɨ	0.5
x	ɦ	0.5
ʦʰ	ʨʰ	0.444
ʦ	ʦ	0.444
i	ɪ	0.438
ə	ə	0.417
ʨʰ	ʦʰ	0.4
x	h	0.4
u	u	0.4
t	t	0.4
p	pˠ	0.4
m	mˠ	0.4
z̩	ɨ	0.375
z̩	i_e	0.375
f	b	0.375
ʨ	kˠ	0.333
ʦʰ	ʦʰ	0.333
ʦ	ʈ	0.333
tʰ	d	0.333
s	ɕ	0.333
nʲ	ɳ	0.333
kʰ	kʰˠ	0.333
a	ɑ	0.333
u	ɨ	0.3
u	u_o	0.3
o	ɑ	0.3
ə	ɨ_u	0.25
z̩	i_ɪ	0.25
w	w	0.25
ʦʰ	ɖ	0.222
ʦ	-	0.222
s	ʥ	0.222
s	i	0.222
j	ŋˠ	0.2
n	m	0.189
i	i	0.188
i	e_i	0.188
i	e	0.188
a	ʉ_ɐ	0.182
ə	ɪ	0.167
ə	ɨ	0.167
a	a	0.152
a	ɛ	0.121
a	ɐ	0.121
²¹³	˧˥	0.115
s	ʃˠ	0.111
s	ʃ	0.111
x	hˠ	0.1
a	ʌ	0.091
²¹³	-	0.077
²¹	o_k̚	0.065
n	ŋ	0.054
n	æ_ŋ	0.054
n	u_n	0.054
