Swedish	Middle High German	probability
ˈʊ	ˈu	1.0
ˈɪ	ˈi	1.0
ˈɛ_tː	ɛ	1.0
ˈɑː	ˈɑ	1.0
ˈœː_r	r	1.0
ˈæ	ˈɛ	1.0
ˈa	ˈɑ	1.0
ʊ	n	1.0
ʈː	r_ʦ	1.0
ʈ	t	1.0
ʂ	r_s	1.0
ɳ	r_n	1.0
ɪ	i	1.0
ɛ_l	ə_l	1.0
ɛ	ə	1.0
ɖ	r_t	1.0
ɕ	-	1.0
ɔ	h_ə	1.0
v_ɛ	b_ə	1.0
t_ɛ	t_ə	1.0
sː	s	1.0
rː	rː	1.0
pː	f	1.0
pʰ	p͡f	1.0
m	m	1.0
kʰ	kʰ	1.0
jː	-	1.0
j_ˈʉː	t_ˈiə̯	1.0
h	h	1.0
f	v	1.0
b	b	1.0
l	l	0.939
r	r	0.907
n	n	0.863
ˈiː	ˈiː	0.855
mː	m	0.79
ɡ	ɡ	0.761
ˈuː	ˈuə̯	0.733
v	w	0.713
p	f	0.69
s	s	0.675
tʰ	d	0.654
ŋː	ŋ_ɡ	0.653
s_k	ʃː	0.631
ŋ	-	0.609
ˈeː	ˈei̯	0.601
ˈæː	-	0.596
k	x	0.584
ɡː	kː	0.576
ɧ	ʃ	0.572
a	ə_n	0.557
ˈyː	ˈyː	0.549
ˈʏ	-	0.548
ˈɛː	ˈɛ	0.536
d	t	0.519
t	s̻	0.515
lː	lː	0.5
lː	l	0.5
kː	ŋ_k	0.5
kː	xː	0.5
ˈoː	ˈɑː	0.482
ˈʉː	ˈiə̯	0.467
ˈɛː	-	0.464
ˈʉː	ˈuː	0.459
ˈʏ	ˈy	0.452
ˈyː	ˈiə̯	0.451
ˈœ	-	0.45
ɧ	s	0.428
tː	x_t	0.426
ɡː	ə	0.424
k	xː	0.416
ˈæː	ˈɛ	0.404
ˈøː	-	0.402
ˈɔ	-	0.399
ŋ	ɡ̊	0.391
a	ə	0.386
s_k	ʃ	0.369
nː	n_d	0.352
ŋː	ŋ	0.347
tʰ	ʦ	0.346
ˈɵ	ˈu	0.339
ˈɛ	ˈɛ	0.337
d	d̥	0.337
ˈɔ	ˈu	0.327
nː	nː	0.327
nː	n	0.321
tː	ʦː	0.293
tː	s̻ː	0.281
ˈɔ	ˈo	0.274
ˈuː	ˈo	0.267
t	s̻ː	0.258
ˈɛ	ˈɑ	0.251
ɡ	ɡ̊	0.239
ˈøː	ˈoː	0.233
ˈeː	ˈɛ	0.231
j	h	0.23
t	t	0.227
j	l	0.225
j	-	0.221
s	ʃ	0.214
mː	mː	0.21
ˈoː	ˈɑ	0.209
ˈɵ	ˈy	0.206
ˈœ	ˈo	0.201
ˈœ	ˈi	0.201
ˈøː	ˈyə̯	0.188
j	ˈɛ	0.186
ˈɵ	ˈo	0.184
ˈɛ	-	0.177
v	b	0.17
ˈɛ	ˈe	0.169
p	p	0.155
p	fː	0.155
ˈœ	ˈu	0.148
ˈiː	ˈi	0.145
d	d	0.143
j	ɡ̊	0.138
ˈøː	ˈou̯	0.137
n	-	0.137
ˈoː	-	0.119
ˈeː	-	0.117
v	f	0.116
ˈoː	ˈo	0.11
ˈɵ	ˈuː	0.104
ˈɵ	-	0.104
ˈoː	ɑː	0.08
ˈʉː	ˈo	0.073
ˈɛ	ˈei̯	0.066
ˈɵ	w_ˈo	0.063
l	ə_l	0.061
s	t	0.058
s	ʃ_w	0.054
ˈeː	tː	0.05
