Kashubian	Polish	probability
ˈ	-	1.0
ʤ	ɡ_j	1.0
ʣ	ʥ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɾ	r	1.0
ɲ	ɲ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɞ_ˈ	ɛ	1.0
ɔ	ɔ	1.0
z̥	-	1.0
w_ʉ	u	1.0
v	v	1.0
u̯ɛ	ɔ	1.0
t	t	1.0
r	r	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j	j	1.0
f	f	1.0
e	ɛ	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
k	k	0.96
w	w	0.953
a	a	0.921
ɛ	ɛ	0.905
ɞ	a	0.866
x	x	0.75
u	u	0.72
i	ɨ	0.713
ʦ	ʨ	0.705
ʧ	ʈ͡ʂ	0.679
r̝	ʐ	0.673
z	z	0.65
s	s	0.554
ã	ɛ_w̃	0.504
s	ɕ	0.446
ə	ɨ	0.409
õ	ɔ_w̃	0.392
z	ʑ	0.35
r̝	ʐ̊	0.327
ʧ	k	0.321
ã	ɛ_ɲ	0.312
õ	ɔ_n	0.304
õ	ɔ	0.304
ʦ	ʦ	0.295
u	ɔ	0.28
ə	ɛ	0.25
x	-	0.25
ə	i	0.203
i	i	0.19
ã	ɛ_ŋ	0.185
ɞ	-	0.134
ə	u	0.099
i	-	0.097
ɛ	-	0.095
a	-	0.079
