Gascon	Brazilian Portuguese	probability
nː	m	1.0
ɣ	ɡ	1.0
a	ɐ	0.051
e	ˈe_h	0.081
e	i	0.211
i	i	0.641
m	-	0.071
t	ʧ_i	0.061
u	-	0.191
ɡ	ɡ	0.91
ʃ	-	0.561
ʦ	j_ʃ	0.931
ˈe	ˈe	0.531
ˈi	ˈi	0.621
j	j	0.562
r	h	0.532
w	u	0.142
w	w	0.422
ð	d	0.902
ɾ	ɾ	0.72
ˈu	ˈɐ̃	0.122
ˈu	ˈo	0.512
e	u	0.123
j	j̃	0.103
l	l	0.553
w	-	0.303
z	-	0.323
ŋ	j̃	0.093
ɲ	j̃_u	0.103
ˈe	ˈi	0.053
ˈi	ˈĩ	0.263
ˈɛ	ˈɛ	0.893
a	a	0.934
e	e	0.444
k	ɡ	0.054
t	t_u	0.144
ŋ	w̃	0.754
ɔ	ɐ	0.964
ʎ	ʎ	0.354
ʒ	ʒ	0.954
ˈe	ˈĩ	0.064
ˈɔ	ˈo	0.514
b	b	0.315
b	v	0.685
h	f	0.985
s	ʃ	0.35
s	s	0.595
w	j	0.055
ŋ	-	0.105
ˈy	ˈu	0.415
l	-	0.406
n	-	0.436
n	n	0.496
p	p	0.96
r	ɦ	0.336
t	d_u	0.056
ɲ	j̃	0.876
ˈa	ˈa	0.286
ˈɔ	ˈɔ	0.486
β	b_ɾ	0.086
β	b	0.606
d	d	0.907
t	t_ɾ	0.077
t	t	0.277
t	-	0.317
z	z	0.677
ʎ	ʎ_u	0.617
ˈe	ˈẽ	0.317
ˈu	ˈɔ	0.117
ˈy	ˈo	0.057
ˈɛ	ˈe	0.107
d	ʤ	0.058
e	-	0.118
k	-	0.068
k	ɡ_u	0.068
w	v_i	0.078
ð	-	0.098
ɾ	-	0.258
ˈa	ˈɐ̃	0.408
ˈi	ˈe	0.108
ˈu	ˈu	0.158
β	v	0.308
i	ĩ	0.359
j	-	0.319
k	k	0.779
m	m	0.929
n	h	0.069
u	o	0.809
ɡ	-	0.09
ʃ	ʃ	0.439
ʦ	s_u	0.069
ˈa	ˈa_h	0.209
ˈu	ˈõ	0.09
ˈy	ˈũ	0.509
