Campidanese	Campidanese	probability
ˈɔ_ɾ	ˈoː_r	1.0
ˈo_n	ˈoː_n	1.0
ʒ_i	k_ɛ̃ː	1.0
ʃ	s_k	1.0
ɾ_ˈo	ˈɔ_r	1.0
ɾ_u	r_ʊ̃ː	1.0
ɾ_a	r_ãː	1.0
ɲ	n_i	1.0
ɡ_w	ɡʷ	1.0
ɡ	ɡ	1.0
ɔ̆	-	1.0
ŋ	ŋ	1.0
z_ŭ_#>	s_#>	1.0
z	s	1.0
ŭ_#>	#>	1.0
s_i	s_ɪ	1.0
p	p	1.0
n_i	ɛ̃ː	1.0
m_i	m	1.0
l_i	ɫ_ɛ̃ː	1.0
k_w	kʷ	1.0
j	-	1.0
ĭ	-	1.0
i_n	ɪ_n	1.0
i_#>	#>	1.0
f	f	1.0
d	d	1.0
b_ˈi	w_ɪ	1.0
b_ɾ	w	1.0
ă	-	1.0
a_ð	a_t	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈi	<#_ˈɪ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
<#_a_r	<#_r	1.0
<#_a	<#_au̯	1.0
<#	<#_h	1.0
#>	ɛ̃ː_#>	1.0
m	m	0.955
n	n	0.929
ɖː	lʲː	0.818
ð	t	0.8
ɣ	k	0.762
ˈo	ˈɔ	0.727
u	ʊ̃ː	0.717
ˈe	ˈɛ	0.7
l	ɫ	0.682
nː	n	0.667
e	ɛ	0.667
ɾ	r	0.661
t	t	0.659
ɔ	oː	0.625
a	ãː	0.624
ˈɛ	ˈɛ	0.605
β	p	0.6
ˈi	ˈiː	0.6
ʒ	k	0.6
ɭː	lʲ_i	0.6
s	s	0.588
ɛ	ɛ	0.583
ʧ	k	0.545
ʤ	ɡ	0.529
b	b	0.529
ˈɔ	ˈɔ	0.5
ʦ	t_i	0.5
ʦ	t	0.5
o	ɔ	0.5
o	-	0.5
k	k	0.5
ˈa	ˈaː	0.456
ˈa	ˈa	0.456
ˈu	ˈʊ	0.452
b	w	0.441
ˈu	ˈuː	0.429
r	r	0.429
ɛ	-	0.417
β	b	0.4
ʒ	s_i	0.4
ɭː	lʲː	0.4
ɔ	ɔ	0.375
ˈɔ	ˈoː	0.367
ˈɛ	ˈeː	0.342
i	ɛ̃ː	0.336
ˈi	ˈɪ	0.333
nː	ɡ_n	0.333
e	-	0.333
r	rː	0.286
r	r_n	0.286
k	kː	0.286
ʧ	-	0.273
ɣ	k_ʊ	0.238
s	sː	0.235
l	lʲ	0.227
a	a	0.212
i	ɛ	0.191
ˈo	ˈoː	0.182
ʧ	kʷ	0.182
ɖː	-	0.182
i	r_ɛ	0.182
ʤ	j	0.176
ʤ	-	0.176
s	p_s	0.176
ˈe	ˈeː	0.15
t	tː	0.146
t	k_t	0.146
ɾ	ɫ	0.145
k	kʷ	0.143
ð	ɡ_ɪ	0.133
ʤ	d_i	0.118
u	ʊ	0.106
a	aː	0.106
ˈe	ˈɛ_k	0.1
ˈo	-	0.091
l	o_ɫ	0.091
ɾ	ɛ_r	0.081
ɾ	-	0.081
ˈu	ˈu	0.071
n	ŋ	0.071
k	kʰ	0.071
ˈɔ	r	0.067
ˈɔ	-	0.067
ð	tʰ	0.067
ˈa	-	0.059
i	-	0.055
