Saterland Frisian	Middle English	probability
ˈɛɪ̯_d	ˈa	1.0
ˈœː	ˈi_ŋ	1.0
ˈøː	ˈuː	1.0
ˈu	ˈuː	1.0
ˈoː_ɣ	ˈiː_ə	1.0
ˈiːu̯	ˈi	1.0
ˈiː_n	ˈiː_n	1.0
ˈeːu̯	ˈi	1.0
ˈaːu̯	ˈɛː	1.0
ˈaːi̯	ˈæi̯	1.0
ɪ	iː	1.0
ə_n	i	1.0
w	v	1.0
v_ə	v_ə	1.0
s_ˈɔː	s	1.0
s_ˈuː	s_ˈu	1.0
s_k	ʃ	1.0
p	p	1.0
n_t	n_t	1.0
l_j	l	1.0
k	k	1.0
j_ˈʊ	ˈi	1.0
j_ˈuː	ˈiː	1.0
j_ˈoː	ˈeː	1.0
j_ə	ə_n	1.0
i	eː	1.0
h	h	1.0
f	f	1.0
d_ə	r	1.0
b	b	1.0
t	t	0.979
s	s	0.951
m	m	0.945
r	r	0.942
v	w	0.869
ˈʊ	ˈu	0.839
ŋ	ŋ	0.831
d	d	0.823
ˈɪ	ˈi	0.807
ˈa	-	0.773
l	l	0.771
n	n	0.732
x	ç	0.607
ˈaː	-	0.559
ˈɔ	-	0.549
ə	ə	0.549
ˈɛɪ̯	ˈeː	0.52
z	z	0.519
ɣ̥	ʤ	0.506
ˈi	ˈiː	0.505
ɣ	-	0.501
ɣ̥	x	0.494
ˈeː	ˈɔː	0.482
z	-	0.481
ˈɛː	ˈi	0.459
ˈɔ	ˈa	0.451
ˈoːu̯	ˈoː	0.439
ɣ	ɡ	0.423
ˈɛː	ˈa	0.407
ˈuː	ˈuː	0.402
x	x	0.393
ˈoː	ˈɛː	0.381
ˈɛ	ˈɛ	0.356
ˈɛɪ̯	ˈɛː	0.346
ˈi	-	0.346
ˈɔː	ˈaː	0.332
ˈɔː	-	0.316
ˈiː	ˈiː	0.3
ˈaː	ˈa	0.289
ˈiː	ˈɛː	0.278
ˈɛ	-	0.276
ə	ə_n	0.256
ˈuː	ˈu	0.251
ˈeː	ˈeː	0.233
ˈuː	-	0.23
l	ɫ	0.229
ˈa	ˈa	0.227
ˈɔː	ˈɔ	0.224
ˈiː	ˈeː	0.221
ˈoːu̯	ˈɔː	0.214
ˈeː	ˈɛ	0.208
ˈiː	ˈɛ	0.201
ˈɪ	-	0.193
ˈoːu̯	-	0.186
ˈɛ	ˈi	0.184
ˈɛ	ˈa	0.184
ŋ	n_ɡ	0.169
ˈoː	-	0.167
ˈʊ	-	0.161
ˈoːu̯	ˈɔ	0.161
ˈoː	ˈɔː	0.153
ˈaː	ˈau̯	0.152
n	n_ə	0.15
ˈi	ˈeː	0.149
ˈoː	ˈeː	0.142
ˈɛː	-	0.134
ˈɛɪ̯	ˈɛ_r	0.133
ə	-	0.118
n	-	0.118
ˈuː	ˈoː_ð	0.116
d	θ	0.11
ˈɔː	ˈi	0.098
ˈoː	ˈa	0.088
ˈeː	ˈɔu̯	0.077
ɣ	v	0.077
v	ʍ	0.073
ˈoː	ˈæi̯	0.069
v	f	0.058
m	m_b	0.055
