Middle High German	Middle English	probability
ˈɑ_ɡ	ˈæi̯	1.0
ˈøː	ˈeː	1.0
ˈæː	ˈeː	1.0
ˈyə̯	ˈeː	1.0
ˈy_n	ˈi	1.0
ˈu_n	ˈuː	1.0
ˈoː	ˈɛː	1.0
ˈiː_t	ˈiː_d	1.0
ˈiə̯_ɡ	ˈiː	1.0
ˈi_r	ˈeː	1.0
ˈeː	ˈɔu̯	1.0
ʦː	-	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ɛ_h	eː	1.0
ə_ɡ̊	iː	1.0
ɑː	ˈɛː	1.0
ɑ	ə	1.0
x_s	k_s	1.0
w_ˈɛ	ˈu	1.0
v	f	1.0
tː	d	1.0
t_ˈiə̯	d_ˈeː	1.0
t_r	d_r	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ə	z_ə	1.0
s_t	s_t	1.0
s	s	1.0
rː	ˈiː	1.0
r_ə	r_ə	1.0
r_t	r_d	1.0
r_n	r_n	1.0
r	r	1.0
p͡f	p	1.0
p	p	1.0
oː	ə	1.0
ou̯	ˈɛː	1.0
mː	m	1.0
m	m	1.0
lː	-	1.0
l_ə	l_ə	1.0
k	k	1.0
j	j	1.0
i	iː	1.0
fː	p	1.0
d_ə	d_ə	1.0
n	n	0.986
ə	ə	0.888
w	w	0.88
ˈu	ˈu	0.871
ˈiː	ˈiː	0.839
ˈei̯	ˈɔː	0.812
ˈuə̯	ˈoː	0.806
h	h	0.806
x	ç	0.802
ŋ	ŋ	0.8
kʰ	k	0.786
t	d	0.781
f	p	0.766
nː_ə	n_ə	0.743
ˈe	ˈɛ	0.742
ˈou̯	ˈɛː	0.741
b	b	0.732
d	θ	0.716
ˈuː	ˈuː	0.691
ˈi	ˈi	0.661
ˈy	-	0.651
ˈɑː	ˈɛː	0.627
ˈiə̯	-	0.623
kː	ʤ	0.607
ʃ	ʃ	0.605
d̥	d	0.588
ˈɛ	ˈɛ	0.582
l	l	0.579
ɡ	ɡ	0.554
xː	k	0.544
ˈɑ	ˈa	0.525
ɡ̊	ɡ	0.515
ˈɑ_n	ˈɔː_n	0.507
ˈo	ˈɔ	0.496
ˈɑ_n	ˈoː	0.493
ɡ̊	x	0.485
xː	ʧ	0.456
ˈyː	ˈiː	0.412
ˈyː	ˈeː	0.412
d̥	θ	0.412
ʃ	s	0.395
kː	-	0.393
ˈiə̯	ˈeː	0.377
ˈɑː	-	0.373
l	ɫ	0.37
ˈy	ˈi	0.349
ˈo	ˈu	0.341
d	ð	0.284
b	v	0.268
ˈou̯	-	0.259
ˈe	-	0.258
nː_ə	n	0.257
f	v	0.234
ˈɑ	ˈaː	0.226
ˈi	ˈiː	0.226
t	t	0.219
kʰ	ʧ	0.214
ŋ	n	0.2
x	x	0.198
ɡ	-	0.197
ˈuə̯	ˈuː	0.194
h	-	0.194
ˈuː	ˈu	0.182
ˈyː	-	0.176
ˈɛ	ˈɛː	0.166
ˈo	-	0.163
ˈiː	ˈi	0.161
ˈei̯	-	0.148
ˈɛ	ˈi	0.145
ɡ	j	0.133
ˈu	ˈɔ	0.129
ˈuː	-	0.127
ɡ	ˈæi̯	0.116
ə	-	0.112
ˈɛ	-	0.107
ˈɑ	ˈɔː	0.106
w	ʍ	0.073
ˈi	ˈeː	0.07
ˈɑ	-	0.067
l	l_ˈɛː	0.052
