Old English	Old High German	probability
θ	d	1.0
ˈɑː_w	ˈeː	1.0
ˈɑː	ˈei̯	1.0
ˈɑ	ˈɑ	1.0
ˈæɑ̯	ˈɑ	1.0
ˈæ	ˈɑ	1.0
ˈy	ˈu	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ʧː	kː	1.0
ʤː	ɡ	1.0
ʤ	kː_ɑ	1.0
ʃ	s_k	1.0
ɫː	lː	1.0
ɫ_d	l_d	1.0
ɫ	l	1.0
ɣ̊	ɡ	1.0
ɣ	ɡ	1.0
ɡ_r	ɡ_r	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð	d	1.0
ç	x	1.0
z	s	1.0
xː	xː	1.0
x	x	1.0
v_ɑ	b_ɑ	1.0
u	-	1.0
tː	ʦː	1.0
t_ɑ	s̻ː_ɑ	1.0
s_t	s_t	1.0
s_l	s_l	1.0
s	s	1.0
rː	rː	1.0
r_ɣ̊	r_ɡ	1.0
r_n	r_n	1.0
r_e	r_i	1.0
pː	-	1.0
p_ɑ	f_ɑ	1.0
nː	nː	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
l	l	1.0
kː	kː	1.0
iːy̯	ɛ_h	1.0
i_ɑ	oː	1.0
h	h	1.0
f	f	1.0
eo̯	i	1.0
e_r	r	1.0
dː	tː	1.0
d_r	t_r	1.0
bː	b	1.0
b	b	1.0
a	o	1.0
r	r	0.969
d	t	0.965
ˈeo̯	ˈɛ	0.872
w	w	0.854
ˈi	ˈi	0.837
ˈæː	ˈɑː	0.797
ˈo	ˈo	0.761
v	b	0.742
ˈu	ˈu	0.727
ˈyː	-	0.703
ˈeːo̯	ˈio̯	0.664
ʧ	xː	0.635
ˈoː	ˈuo̯	0.615
e	ɑ	0.593
j	ɡ	0.521
i	ɑ	0.51
ˈiy̯	ˈɑ	0.5
ˈiy̯	-	0.5
p	f	0.499
i	i	0.49
o	ɑ	0.46
ˈeː	ˈuo̯	0.446
t	s̻	0.435
ɑ	ɑ	0.423
k	x	0.42
ˈe	ˈɛ	0.401
k	kʰ	0.397
ˈe	ˈe	0.379
ʧ	kʰ	0.365
ɑ	e	0.358
ˈæːɑ̯	ˈoː	0.334
e	i	0.322
ˈiːy̯	ˈoː	0.301
ˈiːy̯	-	0.301
ˈyː	ˈuː	0.297
p	p͡f	0.289
ˈæːɑ̯	ˈou̯	0.283
ˈu	ˈo	0.273
o	ɛ	0.271
o	-	0.269
v	f	0.258
ˈeː	ˈi_r	0.252
ˈo	ˈu	0.239
ˈiːy̯	ˈiu̯	0.233
j	-	0.223
ˈe	-	0.22
ˈoː	ˈɑː	0.217
t	t	0.21
ˈeːo̯	ˈiu̯	0.205
ˈæː	-	0.203
t	ʦ	0.198
ˈæːɑ̯	-	0.192
ˈeː	-	0.187
k	k	0.183
ˈoː	ˈɑ_n	0.169
j	ɡ_ɑ	0.167
ˈiːy̯	ˈɑː	0.166
t	s̻ː	0.157
ɑ	eː	0.156
ˈæːɑ̯	ˈɑ_h	0.154
ˈeːo̯	ˈiː	0.131
p	p	0.131
ˈeo̯	ˈi	0.128
w	-	0.128
ˈeː	ˈie̯	0.114
j	j	0.088
e	-	0.085
p	fː	0.081
ˈi	ˈɛ	0.072
ɑ	ə	0.063
