Sicilian	Sicilian	probability
ˈi_ɾ	i_d	1.0
ˈe	ˈe	1.0
ˈa_k	ˈa_ɡ	1.0
ʧː	ʧː	1.0
ʐː	rː	1.0
ʊ_#>	#>	1.0
ʈː	tː	1.0
ʈ	-	1.0
ʃ	i_ɬ	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_ɪ_#>	#>	1.0
ɾ_n	rː	1.0
ɲː	ɲː	1.0
ɲ	ɲː	1.0
ɪ_r	ˈi	1.0
ɪ_#>	#>	1.0
ɟː	ʎː	1.0
ɟ	ɡ_j	1.0
ɕ	ʦ	1.0
ŋ	ŋ	1.0
ç	f_j	1.0
z	z	1.0
w_s	ʦː	1.0
v_ɪ	β_i	1.0
u	u	1.0
tː	tː	1.0
t_ɪ	t_i	1.0
sː	sː	1.0
r_k	xː	1.0
o	o	1.0
n_ɕ	ɲː	1.0
n	n	1.0
mː	mː	1.0
m_u	m_u	1.0
lː	lː	1.0
l_ʊ	r_u	1.0
l_a	r_a	1.0
kː	kː	1.0
j_#>	j_#>	1.0
i_k	i_ɡː	1.0
fː	fː	1.0
f	f	1.0
dː	dː	1.0
d	d	1.0
cː	ʧː	1.0
c	p_j	1.0
bː	b	1.0
b	b	1.0
a_#>	#>	1.0
a	a	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʐ	<#_r	1.0
<#_ʃ	<#_i	1.0
<#_j	<#	1.0
<#_a	<#_a	1.0
<#	<#_i	1.0
ʊ	u	0.978
ˈa	ˈa	0.963
ɪ	i	0.953
m	m	0.842
ˈɔ	ˈɔ	0.8
p	p	0.8
k	k	0.8
ɡ	ɡ	0.778
l	l	0.741
ɖː	dː	0.727
s	s	0.722
s_k	xː	0.667
nː	nː	0.667
ˈɛ	ˈɛ	0.657
r	-	0.611
ˈo	ˈo	0.6
ʤ	ʤ	0.6
ʃː	ʃː	0.6
ɽ	t_r	0.6
w	-	0.6
ɪ_ɾ	ˈi	0.556
v	v	0.552
t	t	0.528
i	i	0.522
ɾ	r	0.5
j	ʤ	0.5
<#_ˈɔ	<#_ˈɔ	0.5
<#_ˈɔ	<#_ˈo	0.5
ˈi	ˈi	0.478
ɪ_ɾ	a_r	0.444
ˈu	ˈo	0.425
ˈu	ˈu	0.4
ˈo	ˈɔ	0.4
ʦː	ʦː	0.4
ʦː	-	0.4
ʤ	-	0.4
ʃː	-	0.4
ɽ	r	0.4
w	w	0.4
r	r	0.389
t	dː	0.333
s_k	x	0.333
nː	ˈu_m	0.333
ˈi	ˈe	0.304
j	j	0.3
ˈɛ	ˈe	0.286
ɖː	-	0.273
i	ˈi	0.261
v	β	0.241
ɾ	d	0.222
ɡ	-	0.222
v	b	0.207
ʦː	ʣ	0.2
k	ɡː	0.2
j	-	0.2
l	r	0.185
s	ɬ	0.167
m	mː	0.158
ɾ	j	0.139
ˈɔ	ˈo	0.133
ˈi	ˈɛ	0.13
i	-	0.13
s	sː	0.111
ˈu	ˈɔ	0.1
p	pː	0.1
p	bː	0.1
i	e	0.087
ɾ	-	0.083
t	d	0.083
ˈu	-	0.075
l	-	0.074
ˈɔ	-	0.067
ˈɛ	-	0.057
ɾ	a_r	0.056
t	-	0.056
