French	French	probability
ʁ_#>	#>	1.0
ɲ	ɲː	1.0
ɡ	ɡ	1.0
ɛ_ʁ	ˈa_rː	1.0
ɔ_ʁ	ˈɔ_l	1.0
œ_ʁ	ˈɔ_r	1.0
œ	ˈɔ	1.0
z	-	1.0
s_a	s_a	1.0
p	p	1.0
k	k	1.0
f_#>	u_#>	1.0
e_#>	ˈa_#>	1.0
d_ʁ	ˈi	1.0
d	nː_a	1.0
b	b	1.0
a_ʁ	ˈe	1.0
a_#>	#>	1.0
<#_ʁ	<#_r	1.0
<#_œ	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_ˈa	1.0
f	f	0.957
m	m	0.913
ʃ	k	0.684
v	v	0.68
ə	-	0.667
y	ˈu	0.636
#>	u_#>	0.625
ʁ	r	0.614
ɥ	ˈɔ	0.6
ɔ	ˈɔ	0.6
i	ˈi	0.548
ʒ	ɟ	0.545
n	n_a	0.5
<#	<#_ˈu	0.5
<#	<#_ˈo	0.5
t	t	0.471
s	s	0.467
a	a	0.441
j	-	0.412
ɥ	-	0.4
ɛ	ˈa	0.375
n	n	0.375
ɛ̃	ˈi_n	0.357
ɛ̃	ˈa_n	0.357
j	ˈe	0.353
#>	a_#>	0.348
ə	i	0.333
ɑ̃	ˈɛ_n	0.333
u	ˈu	0.318
ɔ̃	ˈɔ_n	0.308
ø	ˈɔ_k	0.3
ø	u	0.3
s	ʧ	0.3
t	s_t	0.294
o	ˈa_l	0.286
ʒ	-	0.273
u	u	0.273
e	s	0.273
l	j	0.241
t	tː	0.235
a	ˈa	0.235
w	ˈɛ	0.231
w	ˈi	0.231
u	ˈɔ	0.227
ɑ̃	n	0.222
ɛ	ˈɛ	0.219
o	ˈɛ_ɖː	0.214
o	ˈɔ	0.214
ʃ	k_a	0.211
l	l	0.207
a	-	0.206
ɔ	ˈo	0.2
ɔ	-	0.2
ø	ˈɔ_d	0.2
ø	ɖː_u	0.2
i	-	0.194
ɛ	ˈi	0.188
ʒ	j_u	0.182
y	ˈu_t	0.182
y	-	0.182
e	ˈa	0.182
e	u	0.182
e	i	0.182
l	ɖː_a	0.172
ɑ̃	ˈɛ	0.167
ɑ̃	ˈa	0.167
i	ˈe	0.161
ɛ	ˈe	0.156
ɔ̃	ˈo_n	0.154
ɔ̃	u_n	0.154
ɔ̃	u	0.154
ɔ̃	-	0.154
w	i	0.154
ɛ̃	ɲː_u	0.143
ɛ̃	n_u	0.143
o	ˈe_ɖː	0.143
o	-	0.143
l	ɖː	0.138
n	a	0.125
v	p	0.12
v	a_r	0.12
j	i	0.118
j	cː	0.118
w	ˈu	0.115
w	-	0.115
ɑ̃	ˈa_ŋ	0.111
ʃ	s_k	0.105
l	l_u	0.103
s	sː	0.1
i	tː_u	0.097
u	ˈɔ_j	0.091
u	ˈu_tː	0.091
e	ˈa_z	0.091
e	ˈa_i	0.091
m	mː	0.087
v	p_a	0.08
ɔ̃	ɔ	0.077
w	ˈe	0.077
w	i_d	0.077
ʁ	u	0.07
ʁ	l	0.07
l	ˈa	0.069
l	l_i	0.069
s	ʦ	0.067
s	-	0.067
ɛ	l	0.062
a	ˈɛ	0.059
a	u	0.059
