Romanian	Gascon	probability
kʲ	ʎ	1.0
v	b	1.0
ŋ	ŋ	1.0
ʃ	s	1.0
ʒ	ʒ	1.0
ʧʲ	-	1.0
ˈau̯	ˈa_w	1.0
ˈɨ	ˈa	1.0
b	b	0.621
ɡ	ɡ	0.731
ʤ	-	0.651
ʧ	z	0.301
a	a	0.522
d	d	0.502
e	ɔ	0.212
m	ɲ	0.12
o̯ˈa	w_ˈe	0.072
o̯ˈa	ˈu	0.212
p	β	0.092
s	-	0.092
ʦ	s	0.292
ˈa	ˈɛ	0.482
ˈu	ˈy	0.222
e̯ˈa	ˈe	0.903
f	h	0.983
m	-	0.113
n	n	0.543
o̯ˈa	ˈɔ	0.413
p	-	0.113
r	r	0.253
ˈo	ˈu	0.203
b	-	0.114
e	-	0.304
j	j	0.204
n	ŋ	0.214
o	-	0.764
r	β	0.084
r	ɾ	0.284
t	-	0.114
ə	a	0.124
ʦ	t	0.54
ˈe	ˈɛ	0.184
ˈi	ˈe	0.4
ˈi	ˈi	0.444
ˈu	<#_a	0.154
ˈu	ˈu	0.454
d	-	0.475
e	e	0.255
i	a	0.375
i	e	0.625
j	ʎ	0.075
j	l	0.395
l	l	0.565
w	ˈe_w	0.165
z	d	0.95
ə	ɔ	0.75
ʧ	-	0.195
ˈo	ˈy	0.065
b	β	0.266
j	-	0.326
l	-	0.086
o	a	0.236
o̯ˈa	w	0.256
r	-	0.356
s	s	0.896
ˈe	-	0.126
ˈi	-	0.156
ˈo	w	0.156
e	i	0.057
e̯ˈa	ˈɛ	0.097
t	ð	0.187
w	w	0.147
ə	-	0.107
ɡ	ɣ	0.187
ˈe	ˈe	0.657
ˈo	ˈɔ	0.517
a	ɔ	0.098
a	e	0.38
k	-	0.068
m	m	0.768
n	-	0.198
p	p	0.68
u	u	0.538
w	-	0.688
ʦ	ʦ	0.168
ʧ	s	0.48
ˈa	ˈa	0.518
k	ɣ	0.069
k	k	0.839
l	t	0.349
t	t	0.699
u	e	0.429
ʤ	ʒ	0.349
ˈu	<#_e	0.139
