Old English	Old English	probability
θ	θ	1.0
ˈɛ	ˈɛ	1.0
ˈɑː	ˈɑː	1.0
ˈɑ	ˈɑ	1.0
ˈæːɑ̯	ˈæːɑ̯	1.0
ˈæː	ˈæː	1.0
ˈæɑ̯	ˈæɑ̯	1.0
ˈæ	ˈæ	1.0
ˈyː	ˈyː	1.0
ˈy	ˈy	1.0
ˈuː	ˈuː	1.0
ˈu	ˈu	1.0
ˈoː	ˈoː	1.0
ˈo	ˈo	1.0
ˈiːy̯	ˈiːy̯	1.0
ˈiː	ˈiː	1.0
ˈiy̯	ˈiy̯	1.0
ˈi	ˈi	1.0
ˈeːo̯	ˈeːo̯	1.0
ˈeː	ˈeː	1.0
ˈeo̯	ˈeo̯	1.0
ˈe	ˈe	1.0
ʧː	ʧː	1.0
ʧ	ʧ	1.0
ʤː	ʤː	1.0
ʤ	ʤ	1.0
ʃː	ʃː	1.0
ʃ	ʃ	1.0
ɫː	ɫː	1.0
ɫ	ɫ	1.0
ɣ̊	ɣ̊	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɑ	ɑ	1.0
ŋ	ŋ	1.0
ð	ð	1.0
ç	ç	1.0
æːɑ̯	æːɑ̯	1.0
z	z	1.0
xː	xː	1.0
x	x	1.0
w	w	1.0
v	v	1.0
u	u	1.0
tː	tː	1.0
t	t	1.0
s	s	1.0
rː	rː	1.0
r_ɑ	r_ɑ	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r	r	1.0
pː	pː	1.0
p	p	1.0
o	o	1.0
nː	nː	1.0
n_t	n_t	1.0
n_e	n_e	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
l	l	1.0
kː	kː	1.0
k	k	1.0
j	j	1.0
iːy̯	iːy̯	1.0
iː	iː	1.0
i	i	1.0
h	h	1.0
f_r	f_r	1.0
f	f	1.0
eo̯	eo̯	1.0
e	e	1.0
dː	dː	1.0
d	d	1.0
bː	bː	1.0
b	b	1.0
a	a	1.0
