Eastphalian	Northern Low Saxon	probability
#>	#>	1.0
<#	<#	1.0
b	b	0.963
d	d	0.975
f	f	1.0
h	h	1.0
j	ɡ	0.459
j	ʒ	0.207
j	ç	0.157
j	ŋ	0.157
k	ɡ	0.513
k	kʰ	0.403
k	k	0.078
l	l	0.962
m	m	0.987
n	n	0.94
p	b	0.714
p	p	0.274
r	r	0.963
s	s	0.596
s	ʃ	0.399
t	d	0.642
t	t	0.16
t	tʰ	0.156
v	v	0.938
v	m	0.062
v_n	m	1.0
w	v	0.699
w	ˈʏ	0.297
x	x	1.0
z	z	0.69
z	s	0.242
z	-	0.063
ç	ç	0.851
ç	-	0.125
ŋ	ŋ	0.938
ŋ	n	0.063
ɐ	ɐ	0.852
ɐ	-	0.108
ɐ_t	d	0.5
ə	-	0.35
ə	ɐ	0.304
ə_#>	#>	1.0
ɡ	ɡ	0.25
ɣ	ɡ	0.659
ɣ	ç	0.152
ɣ	x	0.101
ɣ	-	0.08
ɪ	ɪ	0.683
ɪ	i	0.225
ʃ	ʃ	0.908
ʃ	s	0.091
ˈa	ˈa	0.955
ˈa_ɐ	ˈaː	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaː	ˈa	0.392
ˈaː	ˈaː	0.392
ˈaː	ˈoː	0.13
ˈeo̯	ˈaʊ̯	1.0
ˈeː	ˈeː	0.45
ˈeː	ˈɛ	0.153
ˈeː	ˈɛɪ̯	0.153
ˈeː	ˈøː	0.11
ˈeː	ˈaɪ̯	0.106
ˈiː	ˈiː	1.0
ˈoː	ˈaʊ̯	0.478
ˈoː	ˈøː	0.262
ˈoː	ˈɔː	0.173
ˈoː	ˈoː	0.061
ˈuː	ˈuː	0.866
ˈuː	ˈoː	0.072
ˈuː	ˈʊ	0.055
ˈyː	ˈyː	1.0
ˈøː	ˈɔʏ̯	1.0
ˈœ	ˈœː	0.683
ˈœ	ˈœ	0.225
ˈɒː	ˈoː	1.0
ˈɔ	ˈɔ	0.635
ˈɔ	ˈaʊ̯	0.18
ˈɔ	ˈʏ	0.088
ˈɔ	ˈʊ	0.085
ˈɔʏ̯	ˈɔʏ̯	1.0
ˈɛ	ˈɛ	0.556
ˈɛ	ˈeː	0.24
ˈɛ	-	0.117
ˈɛ	ˈɪ	0.066
ˈɛə̯	ˈa	0.5
ˈɛɪ̯	ˈaɪ̯	0.786
ˈɛɪ̯	ˈɛɪ̯	0.097
ˈɛɪ̯	ˈeɪ̯	0.064
ˈɛː	ˈeː	0.249
ˈɛː	ˈoː	0.249
ˈɛː	ˈaː	0.13
ˈɛː	ˈeɪ̯	0.086
ˈɛː	ˈøː	0.086
ˈɛː	ˈɛ	0.086
ˈɪ	ˈɪ	0.947
ˈʊ	ˈʊ	0.792
ˈʊ	ˈuː	0.13
ˈʊ	ˈaʊ̯	0.071
ˈʏ	ˈʏ	0.668
ˈʏ	ˈʊ	0.203
ˈʏ	ˈyː	0.093
