Afrikaans	Dutch	probability
b	b	1.0
d	d	1.0
f	v	0.701
f	f	0.299
i	i	1.0
j	j	1.0
k	k	0.825
k	χ	0.153
m	m	1.0
n	n	0.991
p	p	1.0
r	ɾ	0.989
s	s	0.566
s	z	0.404
t	t	0.918
v	ʋ	0.891
v	v	0.109
w	ʋ	0.922
w	w	0.078
ŋ	ŋ	0.75
ŋ	n	0.25
ə	ə	0.828
ə	-	0.12
ə	ɪ	0.052
ɦ	ɦ	1.0
ɫ	ɫ	1.0
ˈa	ˈɑ	0.951
ˈi	ˈi	0.96
ˈoːi̯	ˈoː	1.0
ˈu	ˈu	1.0
ˈuː	ˈu	1.0
ˈuːi̯	ˈu	1.0
ˈyː	ˈyː	1.0
ˈæ	ˈɪ	1.0
ˈæː	ˈɛ	1.0
ˈœ	ˈʏ	0.789
ˈœ	ˈɔ	0.211
ˈœi̯	ˈɛi̯	1.0
ˈœu̯	ˈɑu̯	1.0
ˈœɪ̯	ˈœy̯	1.0
ˈɑː	ˈaː	0.954
ˈɔ	ˈɔ	0.8
ˈɔ	ˈu	0.066
ˈɔ	ˈoː	0.053
ˈɔː	ˈɔ	0.816
ˈɔː	ˈaː	0.184
ˈə	ˈɪ	0.944
ˈə	ˈoː	0.056
ˈəɪ̯	ˈɛi̯	0.921
ˈəɪ̯	ˈeː	0.079
ˈɛ	ˈɛ	1.0
ˈɛː	ˈɛ	1.0
ˈɪ	ˈɪ	1.0
ˈɪø̯	ˈoː	0.856
ˈɪø̯	ˈøː	0.144
ˈɪə̯	ˈeː	1.0
ˈʊə̯	ˈoː	0.932
ˈʊə̯	ˈeː	0.051
χ	χ	0.989
