Saterland Frisian	Bokmål Norwegian	probability
a	-	0.5
a	ˈyː	0.5
b	b	0.916
b	-	0.076
d	d	0.608
d	-	0.163
d	tʰ	0.136
d	ɳ	0.081
f	f	0.842
f	ʋ	0.156
h	h	0.946
h	j	0.055
j	-	0.718
j	ˈiː	0.1
j	j	0.076
j	ɡ	0.074
j_ˈoː	ˈyː	0.822
j_ˈoː	ˈiː	0.107
j_ˈuː	ˈiː	0.45
j_ˈuː	ˈyː	0.329
k	k	0.599
k	kʰ	0.237
k	-	0.109
k	kː	0.046
l	l	0.867
l	lː	0.104
l	-	0.032
l_d	lː	1.0
m	m	0.768
m	mː	0.133
m	n	0.052
m	-	0.045
n	n	0.581
n	-	0.27
n	nː	0.111
n	ŋ	0.031
n_d	nː	0.872
n_d	n	0.109
n_t	n	0.74
n_t	nː	0.13
p	p	0.848
p	pʰ	0.072
p	-	0.053
r	ɾ	0.913
r	ˈøː_ɳ	0.039
r_j	ɾ	0.112
s	s	0.874
s	ʂ	0.045
s	sː	0.03
s	ç	0.029
s	ʃ	0.029
t	t	0.434
t	-	0.241
t	tʰ	0.137
t	ç	0.056
t	tː	0.049
t_v	tʰ	1.0
v	ʋ	0.725
v	-	0.273
v_ˈʊ	ˈʉ	1.0
w	ʋ	0.629
w	m	0.361
x	-	0.534
x	ɡ	0.111
x	s	0.096
x	ɡː	0.073
x	j	0.073
x_t	tː	1.0
z	s	0.77
z	ɾ	0.229
ŋ	ŋː	1.0
ŋ_k	kː	1.0
ə	ə	0.628
ə	-	0.336
ə	ʋ	0.031
ɣ	ɡ	0.465
ɣ	-	0.343
ɣ	j	0.116
ɣ	ɡː	0.067
ɪ	ə	0.488
ɪ	i	0.28
ɪ	-	0.168
ɫ	lː	0.232
ˈa	ˈɛ	0.784
ˈa	ˈøː	0.12
ˈaː	ˈeː	0.392
ˈaː	ˈɑ	0.341
ˈaː	ˈɛ	0.189
ˈaːi̯	ˈæɪ̯	0.74
ˈaːi̯	ˈɑː	0.13
ˈaːu̯	ɾ	0.176
ˈaːu̯	ˈuː	0.176
ˈeː	ˈæɪ̯	0.199
ˈeː	ˈøː	0.199
ˈeː	ˈeː	0.179
ˈeː	ˈɛ	0.081
ˈeː	ˈʉː	0.077
ˈeːu̯	ˈiː	0.482
ˈi	ˈiː	0.415
ˈi	ˈeː	0.167
ˈi	ˈæɪ̯	0.14
ˈi	-	0.11
ˈi	ˈæː	0.06
ˈiː	ˈiː	0.301
ˈiː	ˈɪ	0.218
ˈiː	ˈoː	0.165
ˈiː	ˈɛ	0.109
ˈiː	ˈɑ	0.062
ˈiː_d	ˈiː	0.232
ˈiːu̯	ˈeː	0.482
ˈoː	ˈøː	0.357
ˈoː	ˈɑ	0.188
ˈoː	ˈeː	0.106
ˈoː	ˈʉː	0.092
ˈoː	ˈoː	0.075
ˈoː_d	ˈøː	1.0
ˈoːu̯	ˈuː	0.432
ˈoːu̯	ˈɑ	0.25
ˈoːu̯	ˈoː	0.133
ˈoːu̯	ˈɔ	0.066
ˈoːu̯	ˈœ	0.066
ˈoːu̯_d	ˈuː	1.0
ˈu	ˈʉ	0.202
ˈu	ˈʉː	0.202
ˈuː	ˈʉː	0.552
ˈuː	ˈuː	0.124
ˈuː	ˈʊ	0.108
ˈuː	ˈʉ	0.066
ˈuː	-	0.066
ˈyː	ˈɛ	0.318
ˈyː	ˈʏ	0.153
ˈœː	ˈʊ	0.482
ˈɔ	ˈɑ	0.564
ˈɔ	ˈʉ	0.168
ˈɔ	ˈʉː	0.168
ˈɔ	ˈœ	0.077
ˈɔː	ˈɑ	0.32
ˈɔː	ˈɑː	0.237
ˈɔː	ˈɛ	0.141
ˈɔː	j	0.123
ˈɔː	ˈɔ	0.107
ˈɔːɪ̯	ˈɛ	1.0
ˈɛ	ˈɛ	0.43
ˈɛ	ˈɑː	0.222
ˈɛ	ˈoː	0.169
ˈɛ	ˈɑ	0.169
ˈɛɪ̯	ˈoː	0.209
ˈɛɪ̯	ˈyː	0.137
ˈɛɪ̯	ˈɛː	0.111
ˈɛɪ̯	ˈʉː	0.084
ˈɛɪ̯	ˈøː	0.081
ˈɛː	ˈʏ	0.314
ˈɛː	ˈɑ	0.178
ˈɛː	-	0.153
ˈɛː	ˈɑː	0.153
ˈɛː	ˈɪ	0.102
ˈɪ	ˈɪ	0.563
ˈɪ	ˈiː	0.121
ˈɪ	ˈʉː	0.093
ˈɪ	ˈɛ	0.068
ˈɪ	ˈœ	0.068
ˈʊ	ˈʉ	0.385
ˈʊ	ˈʊ	0.178
ˈʊ	ˈʏ	0.173
ˈʊ	ˈyː	0.114
ˈʊ	ˈœ	0.061
