Bellunese	Bellunese	probability
ˈɛ_r	ˈɛ_ʀ	1.0
ˈo_ŋ_#>	ˈu_#>	1.0
ˈe_ŋ_#>	ˈe_#>	1.0
ˈa_ŋ_#>	ˈa_#>	1.0
ʧ_o	ˈɛ_l	1.0
ʤ	ɡ_l	1.0
ŋ_t_#>	n_#>	1.0
w	-	1.0
v_e	w_ɾ	1.0
u	y	1.0
t_o	ʧ	1.0
s_#>	s_#>	1.0
r_ˈi	ɾ_ˈi	1.0
r_o	w_ʀ	1.0
p	p	1.0
o_#>	#>	1.0
m_e	nː	1.0
l_#>	#>	1.0
k_o	k_u	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
d_a	ð_ɔ	1.0
a_#>	#>	1.0
<#_θ	<#_s	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
m	m	0.958
ˈa	ˈa	0.917
ˈi	ˈi	0.905
r_#>	#>	0.903
l	l	0.9
f	f	0.895
b	b	0.882
n	n	0.84
s	s	0.8
ˈe	ˈe	0.793
θ	s	0.714
ɡ	ɣ	0.714
ˈu	ˈy	0.7
ð	ʤ	0.7
t	t	0.679
a	ɔ	0.677
<#	<#_a	0.667
r	ɾ	0.659
ˈo	ˈu	0.629
e	e	0.613
ˈɛ	ˈɛ	0.609
ɲ	ɲ	0.6
j	l	0.6
d	d	0.583
v	b	0.577
ˈɔ	ˈɔ	0.556
ʧ	l	0.5
ʧ	k_l	0.5
ɡ_o	ˈɔ_k	0.5
ɡ_o	k	0.5
z	z	0.5
i	i	0.5
i	-	0.5
#>	e_#>	0.5
o	u	0.407
ɲ	-	0.4
z	-	0.4
v	β	0.346
ŋ	ŋ	0.333
<#	<#_ɡ	0.333
ˈu	ˈu	0.3
ð	-	0.3
o	e	0.296
θ	t	0.286
ɡ	-	0.286
a	a	0.262
e	-	0.258
d	-	0.25
r	ʀ	0.244
ŋ	n	0.238
ˈe	ˈɛ	0.207
ŋ	-	0.19
#>	ɔ_#>	0.188
#>	s_#>	0.188
t	-	0.179
ˈɛ	j	0.174
d	ð	0.167
n	-	0.16
o	w	0.148
o	-	0.148
ˈo	ˈɔ	0.143
ŋ	m	0.143
t	ʧ	0.143
j	ˈɛ	0.133
j	ʤ	0.133
j	-	0.133
ˈɛ	-	0.13
#>	t_#>	0.125
b	-	0.118
ˈo	ɥ	0.114
ˈɔ	ˈu	0.111
ˈɔ	ˈa_w	0.111
ˈɔ	ˈa	0.111
ˈɔ	ɥ_ˈɛ	0.111
f	-	0.105
z	lː	0.1
s	ʦ	0.1
s	j_s	0.1
l	-	0.1
r_#>	e_#>	0.097
ˈi	j_ˈe	0.095
ŋ	ɲ	0.095
ˈɛ	j_ˈɛ	0.087
ˈa	ˈa_j	0.083
v	-	0.077
e	ɾ	0.065
e	j	0.065
a	ʎ_ɔ	0.062
ˈo	ˈy	0.057
ˈo	-	0.057
