Zeelandic	Ripuarian	probability
ˈɑu̯	ˈa_ɫ	1.0
ˈuːə̯	-	1.0
ˈiːə̯	ˈeː	1.0
ˈiː_w	ˈøʏ̯	1.0
ʋ	ʋ	1.0
ɾ_ə	n	1.0
ɾ_d̥	d̥	1.0
ɫ_ə	ɫ	1.0
ɪ	ɪ	1.0
ə_ɾ	ɐ	1.0
ə_ɫ	ɫ	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
w	-	1.0
s_x	ʃ	1.0
n_ə	n	1.0
n_d	ŋ	1.0
m	m	1.0
l	l	1.0
k_ˈæ	k_ˈe	1.0
k_ə	ɕ	1.0
iː	e	1.0
i	ə	1.0
d	d	1.0
b	b	1.0
z	z	0.893
s	ʃ	0.803
ɾ	ʀ	0.799
v	f	0.78
n	n	0.751
v̥	v̥	0.741
ˈuː	ˈoː	0.701
ˈɑ	ˈa	0.695
ˈiː	ˈeː	0.677
j	j	0.665
ˈu	ˈo	0.644
ɫ	l	0.637
ˈyː	ˈuː	0.62
ˈøː	-	0.619
k	k	0.604
x_t	ɕ	0.598
d̥	d̥	0.586
ˈɛː	ˈɔː	0.566
ˈɪ	ˈe	0.541
ə	ə	0.534
ˈeː	-	0.533
p	p	0.529
ˈɪə̯	ˈeː	0.525
ˈæi̯	ˈeː	0.507
ˈɒː	ˈa	0.5
ˈɒː	-	0.5
ˈæi̯	ˈeɪ̯	0.493
ˈæ	ˈɛ	0.482
t	s	0.482
p	f	0.471
ˈɔ	ˈo	0.461
d̥	ɡ̊	0.414
ˈʏ	ˈo	0.412
ə	-	0.408
x_t	x	0.402
ˈi	ˈɪ	0.383
ˈøː	ˈo	0.381
ɫ	ɫ	0.363
ˈu	ˈoː	0.356
ˈʏ	-	0.338
j	-	0.335
ˈʊə̯	ˈuː	0.333
x	j	0.329
ˈi	ˈe	0.323
t	t	0.305
ˈuː	ˈøː	0.299
ˈæ	-	0.298
ˈi	ˈiː	0.295
ˈeː	ˈɛː	0.278
v̥	ə_f	0.259
ˈɪə̯	ˈɛ	0.254
ˈyː	-	0.251
ˈʏ	ˈœ	0.25
x	ɣ	0.249
k	ɕ	0.236
ˈʊə̯	ˈoː	0.23
ˈɛː	-	0.226
x	ɣ̊	0.222
ˈɪə̯	-	0.221
v	v	0.22
ˈæ	ˈɛː	0.219
ˈɑ	ˈaː	0.218
n	ŋ	0.218
ˈɔ	-	0.214
t	ʦ	0.214
x	x	0.199
s	k_s	0.197
ˈɪ	ˈœ	0.192
ˈeː	ˈe	0.189
ˈiː	ˈyː	0.181
ˈɪ	ˈa	0.15
ˈiː	ˈiː	0.142
ˈɛː	ˈaː	0.139
ˈʊə̯	ˈɔʊ̯	0.128
ˈyː	ˈɔʊ̯	0.128
ˈʊə̯	ˈyː	0.119
ˈɔ	ˈʊ	0.119
ˈʊə̯	-	0.117
ɾ	-	0.111
ˈɔ	ˈɔ	0.109
z	ʃ	0.107
ˈɔ	ˈoː	0.098
k	x	0.093
ˈɑ	-	0.087
ˈɪ	-	0.083
ˈʊə̯	ˈy	0.072
ˈɛː	ˈiː	0.069
k	ɡ̊	0.066
ə	ɐ	0.058
