Brazilian Portuguese	Western Lombard	probability
e	e	1.0
f	f	1.0
h	-	1.0
k	k	1.0
l	l	1.0
m	m	1.0
n	n	1.0
o	u	1.0
p	p	1.0
t	t	1.0
z	z	1.0
ɦ	r	1.0
ʎ	-	1.0
ʒ	ʤ	1.0
ʧ	ʧ	1.0
ˈẽ	ˈẽː	1.0
ˈi	ˈi	1.0
ˈõ	ˈũː	1.0
s	s	0.51
ɡ	k	0.121
ʃ	-	0.191
ˈe	ˈɛ	0.411
ˈɛ	ˈɛ	0.61
a	ˈa	0.342
d	t	0.132
j̃	-	0.222
w	w	0.152
ɐ	n_a	0.122
ɾ	-	0.282
ˈe	ˈa	0.102
ˈe	-	0.232
ˈĩ	ˈi	0.172
b	b	0.53
ˈa	ˈa	0.703
ˈo	ˈu	0.323
ˈɔ	ˈɔ	0.513
d	d	0.844
s	ʧ	0.324
u	-	0.674
v	f	0.114
v	ʋ	0.844
ˈɐ̃	ˈa	0.644
j	ʧ_#>	0.245
ˈu	ˈyː	0.205
u	j	0.326
ˈɐ̃	ˈãː	0.356
b	ʋ	0.47
j	-	0.677
s	ʦ	0.167
ˈa	ˈaː	0.297
ˈo	ˈø	0.27
ˈu	ˈy	0.467
ˈɔ	ˈu	0.487
a	a	0.658
j	r_#>	0.078
j̃	ɲ	0.778
w	l	0.848
ɾ	r	0.718
ˈe	ˈe	0.208
ˈĩ	ˈĩː	0.828
ˈo	ˈøː	0.068
ˈu	ˈu	0.328
ɐ	-	0.139
ɐ	a	0.739
ɡ	ɡ	0.879
ʃ	s	0.809
ˈo	ˈɔ	0.299
ˈɛ	ˈe	0.39
