Kashubian	Russian	probability
e	ɪ	1.0
k	k	1.0
l	lʲ	1.0
n	n	1.0
r	r	1.0
u	-	1.0
u̯ɛ	ə	1.0
x	x	1.0
ɔ	ə	1.0
ə	ɪ	1.0
ɡ	ɡ	1.0
ɲ	nʲ	1.0
ʂ	-	1.0
ʃ	ʂ	1.0
ʐ	rʲ	1.0
ʒ	ʐ	1.0
ʣ	dʲ	1.0
ʤ	-	1.0
ˈi	ˈi	1.0
ˈõ	ˈu	1.0
ˈu	ˈo	1.0
a	ˈa	0.741
z	zʲ	0.81
ʦ	tʲ	0.831
ʧ	tʲ	0.221
ʧ	ʨ	0.281
ˈɔ	ˈo	0.681
i	ɨ_j	0.712
p	pʲ	0.632
t	t	0.82
ˈa	-	0.382
s	sʲ	0.483
w	-	0.053
w	ɫ	0.903
ˈə	ˈi	0.093
ˈɞ	ˈo	0.723
i	j	0.084
j	ɪ	0.974
m	m	0.614
v	v	0.384
ɛ	ɪ	0.554
ˈa	ˈa	0.254
ˈa	ˈe	0.364
ˈe	ˈe	0.764
d	dʲ	0.165
i	ɪ_j	0.205
u̯ˈɛ	ˈo	0.395
u̯ˈɛ	ɐ	0.605
ˈɛ	ˈɵ	0.105
d	d	0.606
m	-	0.386
v	vʲ	0.616
ɛ	ə	0.16
ɛ	ˈe	0.286
ˈe	ɪ	0.236
s	s	0.517
ʧ	-	0.497
ˈə	ˈɨ	0.907
ˈɛ	ˈe	0.737
ˈɞ	ˈa	0.277
d	-	0.228
p	p	0.368
t	tʲ	0.18
ˈɛ	ˈo	0.158
a	ə	0.259
z	z	0.19
ʦ	ʦ	0.169
ˈɔ	ɐ	0.319
