Old Prussian	Old Prussian	probability
ˈ	ˈ	1.0
ɡ	ɡ	1.0
z	z	1.0
v	v	1.0
u	u	1.0
t	t	1.0
s_a	s_a	1.0
s	s	1.0
r	r	1.0
p	p	1.0
o	o	1.0
n_s	n_s	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j	j	1.0
iː	iː	1.0
i	i	1.0
eːi̯	eːi̯	1.0
e	e	1.0
d	d	1.0
b	b	1.0
aːi̯	aːi̯	1.0
au̯	au̯	1.0
a	a	1.0
