Ripuarian	German	probability
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_ɡ	1.0
<#_k	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p͡f	1.0
<#_z	<#_z	1.0
<#_ʀ	<#_ʁ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʋ	<#_v	1.0
<#_ʦ	<#_ʦ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈeː	<#_ˈaɪ̯	1.0
<#_ˈɛː	<#_ˈɛ	1.0
<#_ˈɪ	<#_ˈɪ	1.0
<#_ˈʊ	<#_ˈʊ	1.0
d	d	1.0
d_ɐ	t_ɐ	1.0
d_ə	t_n	1.0
d̥	d̥	1.0
d̥_#>	t	1.0
f_#>	f_#>	1.0
j	j	1.0
j_ə	ɡ_n	1.0
k_#>	k	1.0
k_ə	k_n	1.0
l	l	1.0
l_#>	l_#>	1.0
l_d̥	l_t	1.0
l_ə	l	1.0
m	m	1.0
m_ə	m_ə_n	1.0
n_#>	n	1.0
n_d̥	n_d̥	1.0
n_ə	n_ə_n	1.0
p_#>	f_#>	1.0
s_#>	s	1.0
s_ə	s_n	1.0
t	t	1.0
t_#>	d̥_#>	1.0
v_ɐ	b_ɐ	1.0
v_ə	b_n	1.0
v̥_#>	b̥	1.0
x	x	1.0
ŋ_#>	n_#>	1.0
ŋ_ɡ̊	ŋ_#>	1.0
ɐ	ɐ	1.0
ɐ_#>	ɐ	1.0
ə_#>	n	1.0
ə_ɕ	ɪ_ç	1.0
ɡ̊_#>	d̥_#>	1.0
ɣ_ə	ɡ_n	1.0
ɪ	ɪ	1.0
ʀ	ʁ	1.0
ʀ_ə	ʁ_ə_n	1.0
ʃ_#>	ʃ_#>	1.0
ʋ	v	1.0
ʦ	ʦ	1.0
ʦ_#>	ɐ_ʦ_#>	1.0
ˈa_l	ˈa_l	1.0
ˈa_n	ˈa_n	1.0
ˈa_ŋ	ˈa_n	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaʊ̯_#>	ˈaʊ̯_#>	1.0
ˈe	ˈɪ	1.0
ˈe_ŋ	ˈɪ_n	1.0
ˈeɪ̯	ˈaɪ̯	1.0
ˈeɪ̯_#>	ˈaɪ̯_#>	1.0
ˈeː_#>	ˈiː	1.0
ˈiː_#>	ˈeː_#>	1.0
ˈiː_ɐ	ˈiː_ɐ	1.0
ˈoː_#>	ˈuː_#>	1.0
ˈœ	ˈʏ	1.0
ˈɔ_l	ˈɔ_l	1.0
ˈɛː_ɐ	ˈa_ɐ	1.0
n	n	0.571
ŋ	ŋ	0.571
ˈaː	ˈaː	0.571
ˈeː	ˈiː	0.421
ˈoː	ˈaʊ̯	0.091
ˈoː	ˈoː	0.091
<#_d	<#_tʰ	0.552
m_#>	m_ə	0.222
ɕ_#>	ç	0.692
n	ɐ_n	0.143
n	ˈoː_n	0.143
n	ɡ_n	0.143
ə	ə	0.333
ˈoː	ˈaː	0.273
ˈuː	ˈaʊ̯	0.533
ˈyː	ˈøː	0.333
ˈøː	ˈɔʏ̯	0.333
ˈɛ	ˈeː	0.133
ˈɛ	ˈaɪ̯	0.133
ˈɛ	ˈɪ	0.133
ŋ	n_d	0.214
ŋ	n	0.214
ɕ	ə	0.4
p	p	0.5
p	p͡f	0.5
s	z_ə	0.5
s	s	0.5
x_#>	x_t_#>	0.5
x_#>	x	0.5
ˈa	ˈaː	0.25
ˈa	ˈa	0.75
ˈeː	ˈɪ	0.105
ˈiː	ˈɛː	0.25
ˈiː	ˈaɪ̯	0.75
ˈɔ	ˈʊ	0.25
ˈɔ	ˈɔ	0.75
ˈɛː	ˈeː	0.375
ˈɛː	ˈɛ	0.625
ˈɪ	ˈiː	0.25
ˈɪ	ˈɪ	0.75
ˈʏ	ˈyː	0.5
ˈʏ	ˈɔʏ̯	0.5
ɕ	ɡ̊	0.6
ˈeː	ˈaɪ̯	0.316
ˈoː	ˈɔ_ɐ	0.136
ˈɛ	ˈɛ	0.6
ə	-	0.667
ˈo	-	0.167
ˈo	ˈɔ	0.167
ˈo	ˈʊ	0.667
ˈuː	ˈoː	0.467
ˈyː	ˈɔʏ̯	0.667
ˈøː	ˈyː	0.667
<#_d	<#_d	0.448
m_#>	m_#>	0.778
ɕ_#>	ç_t	0.308
ˈeː	ˈeː	0.158
ˈaː	ˈa	0.429
ˈoː	ˈuː	0.409
