Yiddish	American English	probability
b	b	0.78
b	v	0.133
b	f	0.081
b_n	v	1.0
d	d	0.384
d	θ	0.285
d	ð	0.227
d	-	0.091
f	f	0.744
f	p	0.176
f	pʰ	0.041
f	v	0.038
f_n	p	0.49
h	h	1.0
j	j	1.0
k	k	0.394
k	kʰ	0.183
k	ʤ	0.108
k	ʧ	0.108
k	-	0.072
l	l	0.488
l	ɫ	0.456
l	-	0.051
m	m	0.946
m	n	0.041
m	-	0.036
n	n	0.592
n	-	0.366
n_f	v	1.0
p	-	0.392
p	p	0.221
p	d	0.221
s	t	0.533
s	s	0.316
s	ɾ	0.134
s_n	t	1.0
t	d	0.729
t	t	0.161
t	ð	0.057
t	θ	0.038
t	tʰ	0.029
v	w	0.921
v	-	0.056
v	v	0.037
z	s	0.802
z	z	0.152
z	-	0.049
ŋ	ŋ	0.895
ŋ	-	0.095
ə	ɚ	0.582
ə	-	0.379
ə	i	0.037
ɛ	-	0.715
ɛ	ɪ	0.28
ɡ	-	0.472
ɡ	ɡ	0.407
ɡ	ŋ	0.061
ɡ	j	0.05
ɡ_l	ɫ	0.118
ɪ	-	1.0
ɪ_k	i	1.0
ʀ	ɹ	0.573
ʀ	-	0.352
ʀ	ɚ	0.071
ʁ	-	1.0
ʃ	s	0.563
ʃ	ʃ	0.432
ʃ_v	s	1.0
ʎ	ɫ	1.0
ʦ	tʰ	0.566
ʦ	t	0.427
ʧ	ʃ	0.49
ˈa	ˈæ	0.289
ˈa	ˈeɪ̯	0.222
ˈa	ˈɑ	0.189
ˈa	ˈɔ	0.079
ˈa	ˈoʊ̯	0.063
ˈaɪ̯	ˈaɪ̯	0.692
ˈaɪ̯	ˈi	0.134
ˈaɪ̯	ˈu	0.077
ˈaɪ̯	ˈɪ	0.062
ˈaɪ̯	ˈɛ	0.042
ˈi	ˈoʊ̯	0.49
ˈɔ	ˈɑ	0.188
ˈɔ	ˈi	0.157
ˈɔ	ˈɛ	0.137
ˈɔ	ˈoʊ̯	0.112
ˈɔ	ˈʌ	0.088
ˈɔ_ɡ	ˈeɪ̯	1.0
ˈɔ_ʀ	ˈɝ	1.0
ˈɔɪ̯	ˈaʊ̯	0.279
ˈɔɪ̯	ˈi	0.252
ˈɔɪ̯	ˈɛ	0.238
ˈɔɪ̯	ˈaɪ̯	0.139
ˈɔɪ̯	ˈeɪ̯	0.051
ˈɛ	ˈɛ	0.398
ˈɛ	ˈi	0.207
ˈɛ	ˈɪ	0.19
ˈɛ	ˈaɪ̯	0.056
ˈɛ	ˈɑ	0.056
ˈɛ_ɡ	ˈeɪ̯	1.0
ˈɛɪ̯	ˈoʊ̯	0.48
ˈɛɪ̯	ˈi	0.136
ˈɛɪ̯	ˈu	0.136
ˈɛɪ̯	ˈɑ	0.096
ˈɛɪ̯	ˈɛ	0.071
ˈɪ	ˈɪ	0.431
ˈɪ	ˈi	0.289
ˈɪ	ˈaɪ̯	0.185
ˈɪ	ˈɛ	0.056
ˈɪ	ˈɔ	0.034
ˈɪ_χ	ˈaɪ̯	0.118
ˈʊ	ˈʌ	0.414
ˈʊ	ˈʊ	0.196
ˈʊ	ˈu	0.104
ˈʊ	ˈaʊ̯	0.097
ˈʊ	ˈɑ	0.052
χ	-	0.388
χ	k	0.388
χ	ʧ	0.11
χ	f	0.077
χ_t	t	1.0
