Lombard	Emilian	probability
a	a	0.873
a	-	0.125
ã	a	0.361
ã	i	0.361
ã	ŋ	0.209
b	b	1.0
d	d	0.834
d	-	0.052
e	e	0.503
e	-	0.148
e	i	0.116
e	ˈa	0.116
e	a	0.077
ẽ	e	1.0
f	f	0.711
f	v	0.278
i	-	0.583
i	e	0.229
i	i	0.152
ĩ	i	0.683
ĩ	e	0.226
j	j	0.631
j	-	0.363
k	k	0.787
k	ɡ	0.17
l	l	0.92
l	-	0.08
m	m	0.916
n	n	0.879
n	ŋ_n	0.096
o	u	0.5
o	ˈa	0.5
p	p	0.977
r	r	0.844
r	r_e	0.061
s	s	0.745
s	z	0.157
s	-	0.069
t	t	0.802
t	d	0.084
t	ŋ_t	0.057
u	u	0.564
u	-	0.417
ũ	u	0.503
v	v	0.503
w	w	1.0
y	u	1.0
z	z	1.0
ɛ	a	0.191
ɛ	i	0.096
ɛ	e	0.064
ɡ	ɡ	0.796
ɡ	v	0.202
ɲ	ɲ	0.872
ɲ	ŋ	0.113
ʃ	z	0.392
ʃ	θ	0.343
ʋ	v	0.873
ʋ	-	0.071
ʋ	j	0.054
ʤ	ð	0.523
ʤ	ʤ	0.3
ʤ	ʧ	0.091
ʤ	ɲ	0.08
ʦ	θ	0.634
ʦ	ð	0.246
ʦ	t	0.084
ʧ	θ	0.323
ʧ	ʧ	0.244
ʧ	t	0.235
ʧ	z	0.054
ˈa	ˈaː	0.376
ˈa	ˈɛ	0.318
ˈa	ˈɛ_r	0.255
ˈaː	ˈɛ	0.907
ˈaː	ˈaː	0.081
ˈãː	ˈa_ŋ	0.921
ˈãː	ŋ	0.078
ˈe	ˈa	0.355
ˈe	ˈiː	0.27
ˈe	ˈɛ	0.151
ˈe	ˈæ	0.072
ˈe	ˈe	0.054
ˈeː	ˈa	0.594
ˈeː	ˈe	0.392
ˈẽː	ˈæ_ŋ	0.488
ˈẽː	ŋ	0.28
ˈẽː	ˈiː	0.116
ˈi	ˈe	0.452
ˈi	ˈiː_r	0.193
ˈi	ˈi	0.101
ˈi	ˈo	0.082
ˈi	ˈɔː_l	0.078
ˈi	ˈiː	0.068
ˈiː	ˈiː	0.503
ˈĩː	ˈe_ŋ	1.0
ˈo	ˈo	0.332
ˈo	ˈɔ	0.332
ˈu	ˈʌu̯	0.303
ˈu	ˈɔ	0.255
ˈu	ˈuː	0.148
ˈu	ˈʌ	0.129
ˈu	ˈɔː	0.085
ˈu	ˈaː	0.068
ˈuː	ˈʌ	0.574
ˈuː	ˈɛ	0.289
ˈũː	ˈo_ŋ	0.519
ˈũː	ˈʌ_ŋ	0.326
ˈũː	ŋ	0.124
ˈy	ˈo	0.627
ˈy	ˈuː	0.135
ˈy	ˈʌ	0.083
ˈy	ˈa	0.08
ˈy	ˈʌu̯	0.062
ˈyː	ˈuː	0.474
ˈyː	ˈʌu̯	0.331
ˈyː	ˈo	0.14
ˈỹː	ˈo	0.503
ˈø	ˈɔ	0.42
ˈø	ˈuː	0.311
ˈø	ˈɔː	0.118
ˈø	ˈo	0.088
ˈøː	ˈɔː	0.768
ˈøː	ˈuː	0.178
ˈɔ	ˈɔː	0.504
ˈɔ	ˈɔ	0.271
ˈɔ	ˈo	0.088
ˈɔ	ˈʌ	0.069
ˈɔ	ˈɛ	0.059
ˈɛ	ˈɛ	0.553
ˈɛ	ˈa	0.233
ˈɛ	ˈɛː	0.071
ˈɛ̃ː	ˈæ	1.0
ˈˈi	e	0.503
