Romagnol	Romagnol	probability
θ_#>	ʧ_#>	1.0
ˈɛ̃	ˈa	1.0
ˈɛə̯_l	ˈɛː	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɔə̯_l	ʎ	1.0
ˈõũ̯	ˈu_n	1.0
ˈou̯_t	ˈu_t	1.0
ˈeː_t	s	1.0
ˈe	-	1.0
ˈaː	l_ˈa	1.0
ˈa	ˈa	1.0
ʤ	ɡ	1.0
ɐ_v	ə_v	1.0
ɐ_r	r	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
z_#>	ʃ_#>	1.0
w	-	1.0
v_ɐ	f	1.0
u_j	ˈu	1.0
t_#>	ʨ_#>	1.0
s_ɐ	s_ə	1.0
r_ˈʌ̃	r_ˈɔ	1.0
r_#>	#>	1.0
r	r	1.0
p	p	1.0
o	-	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	l_#>	1.0
k_r	k_r	1.0
j̃	n	1.0
i	-	1.0
f	f	1.0
e	e	1.0
d_#>	t_#>	1.0
a	ə	1.0
<#_ˈeə̯	<#_ˈa	1.0
<#_ɐ	<#_ə	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ɐ	ə	0.884
d	d	0.84
b	b	0.833
n	n	0.829
t	t	0.821
ˈeː	ˈa_j	0.8
r_ɐ	r_ə	0.8
ɲ	ɲ	0.75
l	l	0.722
ʧ	ʎ	0.714
v	v	0.688
θ	ʧ	0.667
z	ʃ	0.667
u	u	0.667
ˈɛə̯	ˈɛ	0.643
ˈeə̯	ˈaː	0.625
ɡ	ɡ	0.615
s	s	0.606
v_#>	f_#>	0.6
k	ʨ	0.59
#>	r_#>	0.586
ˈou̯	ˈu	0.562
ˈɔə̯	ˈɔː	0.5
ˈo	ˈu	0.5
ɡ_#>	w_#>	0.5
ɡ_#>	#>	0.5
ˈou̯	ˈuː	0.438
ˈu	j_ˈɛ	0.429
ð	ʥ	0.429
k	k	0.41
ˈɔ	ˈɔ	0.4
ˈi	ˈiː	0.4
v_#>	#>	0.4
j	l	0.4
j	-	0.4
ɡ	-	0.385
ˈeə̯	ˈa	0.375
ˈʌ̃	ˈɔ	0.353
ˈɛ	ˈe	0.333
z	-	0.333
<#	<#_ˈa	0.333
<#	<#_ʥ	0.333
<#	<#_ə	0.333
s	ʃ	0.303
ˈɔ	ˈo	0.3
ˈɔ	-	0.3
ˈo	-	0.3
ˈẽ	ˈɛ	0.3
ˈẽ	ˈi	0.3
ˈʌ̃	w_n	0.294
ˈɛ	ˈiː	0.292
ˈu	ˈu	0.286
ˈu	ˈi	0.286
ʧ	k_l	0.286
ð	ʃ_ə	0.286
ð	-	0.286
#>	s_#>	0.276
ˈɔə̯	ˈɔ	0.25
ˈɔə̯	w	0.25
ˈi	ˈi	0.25
ɲ	-	0.25
ˈʌ̃	-	0.235
v	w	0.219
ˈɛə̯	ˈɛː	0.214
ˈẽ	ˈiː	0.2
ˈẽ	-	0.2
ˈeː	ˈɛ	0.2
r_ɐ	r	0.2
j	ʎ	0.2
θ	ʦ	0.167
θ	t	0.167
ˈɛ	ˈeː	0.167
u	o	0.167
u	-	0.167
l	ʎ	0.167
b	v	0.167
d	-	0.16
ˈi	ˈa_j	0.15
ˈɛə̯	j	0.143
ˈɛ	ˈa_j	0.125
ˈʌ̃	w	0.118
n	-	0.114
l	-	0.111
t	d	0.107
ˈo	ˈuɔ̯	0.1
ˈo	ˈi	0.1
ˈi	ˈiə̯	0.1
ˈi	r	0.1
v	-	0.094
s	s_ˈa	0.091
ˈɛ	-	0.083
t	-	0.071
#>	ʦ_#>	0.069
#>	i_#>	0.069
ɐ	-	0.058
n	ə	0.057
