Bokmål Norwegian	Old Frisian	probability
ˈɪ	ˈi	1.0
ˈœʏ̯	ˈɛː	1.0
ˈæ	-	1.0
ʋ_ə	ə	1.0
ʈː	r_t	1.0
ʈ	t	1.0
ɾ_ˈʏ	r	1.0
ɾ_ˈœ	r_ˈeː	1.0
ɪ	ə_x	1.0
ŋː	ŋ	1.0
ç	ʦ	1.0
tː_ə	t	1.0
tʰ	θ	1.0
t	t	1.0
sː	r_s	1.0
s_ˈɛ	s_ˈe	1.0
s_ə	z_ə	1.0
s	s	1.0
pː	p	1.0
pʰ	p	1.0
m	m	1.0
l	l	1.0
kː	ŋ_k	1.0
j_ˈæː	ˈe	1.0
h	h	1.0
f	f	1.0
b	b	1.0
n	n	0.942
ɾ	r	0.917
p	p	0.866
ˈʉ	ˈu	0.851
k	k	0.841
ə	ə	0.79
mː	m	0.757
ˈʊ	-	0.75
ˈyː	ˈi̯aː	0.742
ʋ	w	0.714
ˈʏ	ˈe	0.641
ˈæɪ̯	ˈɛː	0.64
tː	x_t	0.639
ˈʉː	ˈuː	0.602
lː	l	0.599
ˈiː	ˈiː	0.581
ɡː	ɡː	0.571
d	-	0.57
ɳ	r_n	0.568
ˈɛ	ˈe	0.554
j	-	0.528
ˈɑ	ˈa	0.523
nː	n_d	0.508
ˈæː	ˈeː	0.5
ˈæː	ˈe	0.5
ʂ	s_k	0.5
ʂ	s	0.5
ˈøː	ˈaː	0.497
ɡ	ɡ	0.49
j	h	0.472
ˈoː	ˈeː	0.469
ˈɑː	ˈa	0.432
ɳ	r	0.432
d	d	0.43
ɡː	-	0.429
ˈuː	ˈo	0.426
ˈɔ	ˈo	0.39
ˈeː	ˈi	0.386
ˈɔ	-	0.379
tː	tː	0.361
ˈæɪ̯	ˈe_j	0.36
ˈʏ	-	0.359
ˈɑː	ˈe	0.358
ˈuː	ˈoː	0.354
ˈeː	ˈɛː	0.354
ˈœ	-	0.343
lː	l_d	0.289
ɡ	-	0.285
ˈiː	ˈi	0.279
ˈɑ	ˈɔː	0.276
ˈeː	ˈa	0.26
ˈœ	ˈu	0.259
ˈyː	ˈi̯uː	0.258
ˈʊ	i	0.25
nː	nː	0.25
ˈoː	ˈaː	0.247
ˈʉː	-	0.246
mː	mː	0.243
nː	n	0.242
ˈɛ	ˈɛː	0.238
ˈɔ	ˈu	0.231
ɡ	ɣ	0.225
ˈœ	w_ˈe	0.223
ˈɑː	ˈe_d	0.211
ˈøː	ˈeː	0.211
ˈɛ	-	0.209
ˈoː	ˈɔː	0.184
ˈœ	ˈo	0.175
k	x	0.159
ˈøː	ˈaː_d	0.154
ˈuː	ˈoː_d	0.153
ˈʉː	ɣ	0.152
ˈʉ	-	0.149
ˈiː	-	0.139
ˈøː	ˈɛː	0.138
p	pː	0.134
ʋ	v	0.122
lː	lː	0.112
ˈɑ	-	0.101
ˈoː	-	0.101
ˈɑ	ˈe_t	0.1
ʋ	h_w	0.084
ʋ	ə	0.079
ə	-	0.078
ˈuː	-	0.067
ə	ɡ_ə	0.067
n	-	0.058
ɾ	-	0.055
