Old Church Slavonic	Standard Croatian	probability
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ_t	ʨ	1.0
ɯ_ˈ	i	1.0
ɪ_ˈ	a	1.0
ɪ_ʦ	ʦ	1.0
ɛ_ˈ	e_̂	1.0
ɑ_ˈ	a	1.0
æ_ˈ	j_e	1.0
z	z	1.0
x	x	1.0
v_ʊ	u	1.0
v	ʋ	1.0
t_ɑ	t_a	1.0
t	t	1.0
rʲ	r	1.0
r_ʊ	a_r	1.0
r	r	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m_ɪ	a_m	1.0
m	m	1.0
lʲ	ʎ	1.0
l_ɪ	u	1.0
k	k	1.0
d	d	1.0
b	b	1.0
a	a	1.0
s	s	0.954
ɔ_ˈ	o_̂	0.949
ɡ	ɡ	0.893
l	l	0.861
ˈ	̂	0.838
ɔ	oː	0.762
ɛ̃	eː	0.748
ɔ̃	uː	0.739
i	i	0.71
ʧ	ʧ	0.69
ɯ	i	0.689
ɪ	-	0.686
ɑ	a	0.686
u	uː	0.641
ɛ	e	0.629
æ	j_eː	0.554
l_ʊ	o	0.535
r_ɪ	r̩ː	0.51
ʊ	-	0.508
ʊ	a	0.492
r_ɪ	r̩	0.49
l_ʊ	uː	0.465
u	u	0.359
ɪ	a	0.314
ɑ	aː	0.314
ɯ	iː	0.311
ʧ	-	0.31
ɛ	eː	0.301
æ	j_e	0.275
ɔ̃	u	0.261
ɛ̃	-	0.252
ɔ	o	0.238
æ	-	0.171
i	iː	0.161
i	iː_̌	0.129
ɡ	-	0.107
ˈ	̌	0.081
ˈ	-	0.081
ɛ	-	0.07
l	uː	0.069
l	-	0.069
ɔ_ˈ	o	0.051
