Limburgish	Proto-Germanic	probability
#>	#>	0.854
<#	<#	0.973
b	b	0.986
d	θ	0.564
d	d	0.388
f	ɸ	0.584
f	β_ɑ	0.221
f	β	0.168
j	j	0.201
j	l	0.165
j	-	0.129
j	ð	0.129
j	ð_ɑ	0.113
j	t	0.085
j	i_z	0.069
j	ɔ̃ː	0.069
k	k	0.696
k	ɡ_ɑ	0.122
k	ɣ_j	0.077
l	l	0.594
l	l_ɑ	0.148
l	lː_ɑ	0.06
l_ə	l	1.0
m	m	0.727
m	m_ɑ	0.231
n	n	0.742
n	nː	0.106
p	p	0.842
p	pː	0.065
p	ɸ	0.064
s	s	0.472
s	s_k	0.203
s	s_t	0.113
s	s_ɑ̃	0.095
s	n_s	0.052
s	x_s	0.052
t	t	0.428
t	t_ɑ	0.138
t	ð_ɑ̃	0.093
t	d	0.072
t	θ	0.072
t	d_ɑ	0.067
t	θ_ɑ̃	0.063
v	ɸ	0.77
v	β	0.108
v	β_ɑ	0.059
w	l	0.493
x	x_t	0.278
x	ɣ_ɑ	0.231
x	x	0.143
x	z	0.127
x	ɣ	0.102
x	k	0.071
z	s	0.883
z	s_w	0.099
ŋ	ŋ	0.868
ŋ	n	0.11
ə	-	0.293
ə	n_ɑ̃	0.283
ə	i	0.137
ə	ɛː	0.058
ɡ	ɣ	0.493
ɣ	ɣ	0.953
ɣ	-	0.052
ɦ	x	0.967
ɪ	ɑ	0.66
ɪ	i	0.16
ɪː	ˈi	1.0
ʀ	r	0.825
ʀ	r_ɑ	0.057
ʃ	k	0.956
ʦ	ð	0.243
ˈaː	ˈɑ	0.921
ˈaː	ˈe	0.078
ˈeː	ˈe	0.423
ˈeː	ˈeu̯	0.262
ˈeː	ˈi	0.109
ˈeː	ˈɑ	0.074
ˈeː	ˈe_ð	0.065
ˈi	ˈɑi̯_w	0.272
ˈi	ˈe	0.201
ˈi	ˈi	0.122
ˈi	ˈĩː	0.092
ˈi	ˈɛː	0.092
ˈi	ˈeu̯	0.07
ˈi	ˈɑi̯	0.067
ˈiː	ˈiː	0.66
ˈiː	ˈi	0.163
ˈiː	ˈeu̯	0.084
ˈiː	ˈe	0.08
ˈoː	ˈu	0.538
ˈoː	ˈɔː	0.272
ˈoː	ˈuː	0.179
ˈu	ˈɑu̯	1.0
ˈuː	ˈuː	0.856
ˈuː	ˈɑu̯	0.087
ˈv	ɸ	1.0
ˈyː	ˈiu̯	0.241
ˈyː	ˈɔː	0.136
ˈyː	u	0.084
ˈyː	ˈɑu̯	0.084
ˈyː	ˈu	0.052
ˈæ	ˈɑ	0.776
ˈæ	ˈe	0.172
ˈæː	ˈe	0.488
ˈæː	ˈɑ	0.488
ˈøː	ˈɔː	0.534
ˈøː	ˈu	0.283
ˈøː	ˈɔ	0.127
ˈœ	ˈu	0.803
ˈœ	ˈɑ	0.052
ˈœi̯	ˈiu̯	0.594
ˈœi̯	ˈuː	0.193
ˈœi̯	ˈɑu̯	0.073
ˈœː	ˈu	1.0
ˈɑ	ˈɑ	0.928
ˈɑ	ˈe	0.071
ˈɑː	ˈɑ	1.0
ˈɒː	ˈɛː	0.528
ˈɒː	ˈɑ	0.397
ˈɒː	ˈe	0.062
ˈɔ	ˈu	0.877
ˈɔ	ˈɔː	0.092
ˈɔu̯	ɔ̃ː	0.574
ˈɔu̯	ˈɑu̯	0.283
ˈɔː	ˈɑu̯	0.534
ˈɔː	ˈu	0.45
ˈɛ	ˈi	0.289
ˈɛ	ˈiː	0.138
ˈɛ	ˈɑ	0.127
ˈɛ	ˈɑi̯	0.127
ˈɛ	ˈe	0.078
ˈɛi̯	ˈiː	1.0
ˈɛː	ˈɑi̯	0.822
ˈɛː	ˈi	0.087
ˈɛː	ˈe	0.055
ˈɛːi̯	j	0.361
ˈɛːi̯	jː	0.361
ˈɛːi̯	ˈɑi̯	0.205
ˈɪ	ˈɑ	0.232
ˈɪ	ˈi	0.202
ˈɪ	ˈiː	0.202
ˈɪ	ˈe	0.137
ˈɪ	ˈu	0.089
ˈɪ	ˈɔː	0.063
ˈɪː	ˈi	0.746
ˈɪː	ˈu	0.141
ˈɪː	ɑi̯	0.099
ˈʊ	ˈu	0.493
ˈʊː	ˈu	0.592
ˈʊː	ˈɔː	0.215
ˈʊː	-	0.064
ˈʊː	ˈɑ	0.062
ˈʊː	ˈɑi̯	0.06
ˈʏ	ˈu	0.574
ˈʏ	ˈi	0.283
ˈʏː	j	0.277
ˈʏː	ˈe	0.241
ˈʏː	ˈu	0.136
β	w	0.797
β	xʷ	0.164
