Palatine German	Saterland Frisian	probability
ˈɑ̃ː	-	1.0
ˈɑːɪ̯	ˈɔːɪ̯	1.0
ˈɑː_ɣ̊	ˈaːi̯	1.0
ˈɑː_d̥	d	1.0
ˈɑ_l	ˈoː_l	1.0
ˈõː	ˈuː_n	1.0
ˈoː_ɐ	ˈiː_r	1.0
ˈo	ˈɛ	1.0
ˈĩː	ˈɛɪ̯_n	1.0
ˈi	j	1.0
ˈẽː	k_ˈeː	1.0
ˈau̯̯	ˈɛɪ̯	1.0
ʣ̥	t	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɪ_ʃ	x	1.0
ɪ	ɪ	1.0
ɣ̊	ɣ_ə	1.0
ɑ	-	1.0
ɐ_ʣ̥	t	1.0
ŋ	ŋ	1.0
r_ɐ	r	1.0
m	m	1.0
l_d̥	l_d	1.0
l	l	1.0
kʰ	s	1.0
j	ˈoː_ɣ	1.0
h	h	1.0
eː	i	1.0
d̥_ˈoː	d_ˈoː	1.0
d̥_r	d_r	1.0
β	v	0.917
n	n	0.914
ˈau̯	ˈuː	0.886
f	f	0.886
r	r	0.838
ə	ə	0.757
ˈɑː	ˈoː	0.744
b̥	b	0.707
ˈeː	ˈeː	0.594
x	x	0.585
d̥	d	0.563
ˈuː	ˈoːu̯	0.546
ˈɪ	ˈɪ	0.522
s	s	0.507
ɐ	r	0.443
ʃ	s	0.437
d̥	t	0.437
x	k	0.415
ˈɑ	ˈɔː	0.413
ˈu	ˈʊ	0.413
ˈɛː	ˈeː	0.402
s	t	0.395
ɡ̊	ɣ	0.383
ˈaɪ̯	ˈi	0.376
ɡ̊	k	0.36
ʃ	x	0.348
ˈɔ	ˈoːu̯	0.337
ˈɔ	ˈʊ	0.336
ɐ	ə_r	0.324
ˈu	ˈuː	0.307
ˈoː	ˈoː	0.305
ˈu	-	0.281
ˈɑː	-	0.256
ˈɑ	ˈoːu̯	0.25
ˈiː	j	0.233
ˈɪ	ˈiː	0.227
ˈuː	ˈɛɪ̯	0.227
ˈuː	ˈuː	0.227
ˈiː	j_ˈoː	0.227
ʃ	s_k	0.215
ˈɛ	ˈa	0.199
ˈoː	ˈoːu̯	0.199
ˈɛ	ˈɛ	0.187
ˈiː	ˈi	0.185
ˈoː	ˈɛɪ̯	0.183
ˈaɪ̯	ˈiː	0.169
ˈɔ	ˈɔ	0.166
ˈɛː	ˈoː	0.162
ˈɛː	-	0.162
r	d	0.162
ˈɛː	ˈaː	0.161
ˈɔ	-	0.161
ˈoː	ˈuː	0.157
ə	j_ə	0.157
ˈoː	-	0.156
ˈaɪ̯	-	0.153
ˈɑ	ˈɔ	0.152
ˈeː	-	0.144
ˈɛ	ˈeː	0.143
ˈeː	ˈoː	0.141
ˈiː	ˈɛɪ̯	0.137
ɡ̊	j	0.135
ˈiː	ˈiː	0.132
ˈɪ	ˈɛː	0.129
b̥	ˈoː_f	0.124
ˈeː	ˈœː	0.122
ɡ̊	x	0.121
ˈɛ	ˈɔː	0.115
ˈɛː	ˈɛɪ̯	0.114
ˈau̯	ˈøː	0.114
ˈɛ	ˈɛː	0.108
ˈaɪ̯	ˈɛ	0.107
ˈaɪ̯	ˈuː	0.104
b̥	p	0.094
ˈɑ	ˈaː	0.092
ˈɑ	ˈa	0.092
ˈaɪ̯	j_ˈuː	0.092
ˈiː	-	0.086
ɐ	ˈɔː_r	0.086
f	p	0.085
β	w	0.083
b̥	-	0.075
ˈɪ	j_ˈʊ	0.074
ˈɛ	-	0.068
ˈɛ	ˈʊ	0.061
n	-	0.06
ˈɛ	ˈiː	0.057
s	z_ə	0.056
ɐ	d_ə	0.055
