Old High German	Yiddish	probability
ˈɛ_h	ˈɛ	1.0
ˈu_r	ˈɔ_ʀ	1.0
ˈou̯	ˈɔɪ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈio̯	ˈɪ	1.0
ˈi	ˈɪ	1.0
ˈeː	ˈɛɪ̯	1.0
ˈe	ˈɛ	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ɡ_ɑ	ɡ	1.0
ɡ_r	ɡ_ʀ	1.0
ɡ	ɡ	1.0
ɛ	ə	1.0
ɑ_ɡ	ɪ_k	1.0
ŋ	ŋ	1.0
xː_ɑ	χ	1.0
xː	χ	1.0
x_s	k_s	1.0
x	χ	1.0
v	v	1.0
u	-	1.0
t_ɑ	t_ə	1.0
s̻ː	s	1.0
s̻	s	1.0
s_ˈuː	z_ˈɔɪ̯	1.0
s_ˈi	z_ˈɪ	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
o	-	1.0
nː	n	1.0
n_t	n_d	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
l_ɑ	ɫ	1.0
l	ɫ	1.0
kː	k	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
fː	f_ə	1.0
f	f	1.0
eː	-	1.0
d_ɑ	d	1.0
b	b	1.0
n	n	0.979
t	t	0.976
r	ʀ	0.965
d	d	0.929
i	-	0.883
ˈei̯	ˈɛɪ̯	0.857
ˈɛ	ˈɛ	0.852
h	h	0.826
ˈo	ˈɔ	0.825
w	v	0.817
ˈuː	ˈɔɪ̯	0.765
ˈu	ˈʊ	0.713
ˈuo̯	ˈʊ	0.709
e	-	0.705
ˈɑː	ˈɔ	0.685
ˈoː	ˈɔɪ̯	0.676
ˈɑ	ˈa	0.669
ˈiu̯	ˈaɪ̯	0.613
ɑ	-	0.607
s	z	0.606
s	ʃ	0.394
ˈiu̯	ˈaɪ̯_ə	0.387
ɑ	ə	0.331
ˈoː	-	0.324
ˈɑː	-	0.315
e	ə	0.295
ˈɑ	ˈɔ	0.294
ˈuo̯	ˈɪ	0.291
ˈuː	-	0.235
ˈu	ˈɪ	0.192
w	-	0.183
ˈo	ˈʊ	0.175
h	-	0.174
ˈɛ	ˈa	0.148
ˈei̯	-	0.143
i	ə	0.117
ˈu	ˈɛ	0.095
d	t	0.071
ɑ	ʀ	0.062
