Saterland Frisian	Saterland Frisian	probability
ˈɛɪ̯_t	ˈu_t	1.0
ˈɔː_t	ˈaː_t	1.0
ˈœː	ˈoː	1.0
ˈøː	ˈœy̯	1.0
ˈyː	ˈi	1.0
ˈu	-	1.0
ˈoːu̯_n	n	1.0
ˈoːu̯_d	ˈoː_ɾ	1.0
ˈoː_l	ˈɑu̯	1.0
ˈiːu̯	ˈeː	1.0
ˈiː_r	ɾ	1.0
ˈiː_n	ˈɪ_n	1.0
ˈeːu̯	ˈeː	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ɪ	ə	1.0
ɣ_j	χ_ə	1.0
ɡ	-	1.0
ə_l	ə_ɫ	1.0
ŋ	ŋ	1.0
x_#>	#>	1.0
w	-	1.0
v_ˈiː	ʋ_ˈeː	1.0
v_ə	v̥	1.0
p	p	1.0
n_ə	n	1.0
n_#>	#>	1.0
m_ˈɔː	m_ˈɛ	1.0
m	m	1.0
l_ə_#>	ɫ_#>	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈuː	ˈyː	1.0
j_ˈoː	ˈi	1.0
j_ə	ə_n	1.0
i	i	1.0
h	ɦ	1.0
f_#>	v̥_#>	1.0
f	v	1.0
d_ˈoː	d_ˈoː	1.0
d_r	d_ɾ	1.0
d_#>	#>	1.0
b	b	1.0
<#_t	<#_d	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_j	<#_χ	1.0
<#	<#_d	1.0
#>	n_#>	1.0
t	t	0.964
n	n	0.951
l	ɫ	0.939
r	ɾ	0.936
v	ʋ	0.9
x	χ	0.895
k	k	0.879
ɣ	χ	0.875
ˈɪ	ˈɪ	0.867
ˈʊ	ˈɔ	0.769
s_#>	z̥_#>	0.75
ˈeː	ˈeː	0.722
ˈaː	ˈɑ	0.714
ˈi	ˈɛi̯	0.692
d	d̥	0.625
s_k	s_χ	0.615
ˈɛ	ˈɛ	0.6
z	z	0.6
j	j	0.6
ˈɔː	ˈaː	0.556
ˈɔ	-	0.556
s	z	0.556
ˈoː	ˈoː	0.522
ˈɛː	ˈʏ	0.5
ˈɔː_r	ˈɔ_ɾ	0.5
ˈɔː_r	ɾ	0.5
ˈa	ˈɛ	0.5
ˈa	ˈɑ	0.5
ˈuː	ˈœy̯	0.474
ˈɔː	ˈɑ	0.444
ˈɔ	ˈɔ	0.444
ˈoːu̯	ˈu	0.444
ˈuː	ˈoː	0.421
z	z̥	0.4
j	-	0.4
s_k	s	0.385
s	s	0.378
d	d	0.375
ə	ə_n	0.37
ˈɛɪ̯	ˈaː	0.333
ˈiː	ˈɛi̯	0.333
ə	-	0.296
ˈaː	ˈeː	0.286
ə	ə	0.284
ˈɛɪ̯	ˈu	0.267
ˈɛɪ̯	ˈi	0.267
ˈɛː	ˈɛ	0.25
ˈɛː	ˈɑ	0.25
ˈiː	ˈɪ	0.25
ˈiː	ˈaː	0.25
s_#>	#>	0.25
ˈʊ	-	0.231
ˈoːu̯	ˈɑ	0.222
ˈɛ	ˈɑ	0.2
ˈɛ	-	0.2
ˈoː	ˈeː	0.174
ˈiː	ˈɛ	0.167
ˈeː	ˈoː	0.167
ˈi	ˈɪ	0.154
ˈi	-	0.154
ˈɪ	-	0.133
ˈɛɪ̯	ˈaː_ɾ	0.133
ˈoː	ˈɑ	0.13
ˈoː	ˈaː	0.13
ɣ	v	0.125
ˈoːu̯	ˈɔ	0.111
ˈoːu̯	ˈoː_ɾ	0.111
ˈoːu̯	-	0.111
ˈeː	-	0.111
ˈuː	-	0.105
x	v̥	0.105
v	-	0.1
s	k	0.067
r	ə_ɾ	0.064
l	ˈɑu̯	0.061
k	s	0.061
k	-	0.061
