Scots	Faroese	probability
b	b̥	1.0
i	a	1.0
kʰ	kʰ	1.0
tʰ	tʰ	1.0
x	ʰtː	1.0
z	s	1.0
ŋ	ŋ_ɡ̊	1.0
ʍ	-	1.0
ˈo	ˈɔ	1.0
ˈəi̯	ˈʊ̯iː	1.0
ˈʌ	ˈʊ	1.0
ˈʌu̯	l̥	1.0
d	-	0.451
f	v_ʊ	0.141
h	-	0.111
j	-	0.891
k	k	0.401
n	n̥	0.091
r	ɹ_a	0.071
v	-	0.11
w	v	0.871
ð	-	0.231
ə	-	0.191
ˈɛ	ˈɔ	0.301
d	d̥_ʊ	0.102
d	d̥	0.42
w	ˈoː	0.082
ˈa	ˈa	0.322
ˈi	ˈa	0.132
ˈiː	a	0.192
ˈuː	ˈɪ_ɡ̊	0.422
ˈɪ	ˈɪ	0.502
k	-	0.163
m	m	0.533
n	n_a	0.073
p	p_ʊ	0.23
ə	ʊ	0.313
ˈeː	ˈɛːa̯	0.223
ˈi	ˈøː	0.223
ˈiː	ˈɔːi̯	0.103
ˈø	ˈɔːu̯	0.73
ˈɑː	ˈa	0.603
ˈɛ	ˈøː	0.13
ˈɪ	ˈɛ	0.053
θ	tʰ	0.793
p	ʰp	0.524
ˈi	ˈʉːu̯	0.134
ˈu	ˈʊ	0.314
ˈø	ˈɔ̯aː	0.094
θ	nː	0.164
m	m_a	0.115
r	ɹ	0.705
s	s	0.85
t	t_a	0.195
ɡ	ɡ̊ː	0.085
ɡ	-	0.245
ʃ	s_k	0.405
ʃ	ʃ	0.595
ˈa	ˈɛ	0.095
ˈe	ˈa	0.105
ˈi	ˈɔːu̯	0.085
ˈi	ˈœ	0.145
n	nː_a	0.066
n	n	0.556
p	p_a	0.246
s	ʃ	0.136
t	ʰt	0.166
ə	a	0.056
ə	ɪ	0.426
ˈe	ˈaːi̯	0.186
ˈeː	j	0.26
ˈi	ˈɔ̯aː	0.136
ˈɑː	ˈɔ	0.356
l	l̥	0.067
m	m_ʊ	0.267
n	-	0.087
r	-	0.167
t	t_ʊ	0.207
ɡ	ɡ̊	0.67
ˈa	ˈœ	0.17
ˈa	ɹ_#>	0.27
ˈe	ˈɛːa̯	0.237
ˈu	ˈʉːu̯	0.577
ˈuː	ˈʉːu̯	0.37
ˈø	ˈɔ	0.177
ˈɛ	ˈɛ	0.57
ˈɪ	ˈʊ	0.057
k	ʧ	0.108
k	k_ʊ	0.328
l	l_v	0.08
t	t	0.278
ˈa	a_#>	0.108
ˈe	ˈai̯	0.428
ˈiː	ˈʊ̯iː	0.228
ˈu	ˈʊ_ɡ̊	0.068
ˈɪ	ˈɔːu̯	0.068
ˈɪ	ˈiː	0.098
f	f	0.859
h	h	0.889
j	ˈɔ̯aː	0.109
l	l	0.779
n	n_ʊ	0.079
v	v	0.89
ð	w	0.769
ˈeː	ˈɔ̯aː	0.189
ˈeː	ˈa	0.329
ˈi	ˈɛːi̯	0.109
ˈiː	v̥_a	0.069
ˈiː	ˈɛːa̯	0.409
ˈuː	ˈʊ	0.209
ˈɪ	ˈɔ	0.119
