Bavarian	Bavarian	probability
ˈɑː	ˈɒː	1.0
ˈuɐ̯	ˈuə̯	1.0
ˈu_j	ˈuə̯_l	1.0
ˈou̯	ˈoː	1.0
ˈo_j	ˈu	1.0
ˈiː	-	1.0
ˈeɐ̯	ˈuə̯	1.0
ˈe_ʃ	s	1.0
ˈau̯	ˈyː	1.0
ˈa	-	1.0
ʦ	t	1.0
ʋ	ʋ	1.0
ʃ_#>	s_#>	1.0
ɡ̊_s	s	1.0
ɡ̊_r	ɦ_ɾ	1.0
ə	ə	1.0
ɑ	ə	1.0
ɐ	ɾ	1.0
ŋ_#>	ɦ_n_#>	1.0
ç	k	1.0
x_d̥	h_t	1.0
s_#>	t_#>	1.0
m	m	1.0
kʰ	k	1.0
i	ɪ	1.0
f_#>	p_#>	1.0
eɐ̯	iə̯	1.0
d̥_n	d_ə	1.0
d̥_a	ɾ	1.0
b̥͡v̥	p	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_ʦ	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
<#	<#_ɦ	1.0
f	v	0.926
l	l	0.905
n	n	0.902
r	ɾ	0.867
ˈiɐ̯	ˈiə̯	0.818
ŋ	ŋ	0.727
x	k	0.714
ˈɑ	ˈɑ	0.7
ˈoɐ̯	ˈɛː	0.667
ˈaː	ˈoː	0.625
j	w	0.615
ˈi	ˈɪ	0.579
ˈɒː	ˈɑ	0.545
s	z	0.533
ɡ̊	-	0.524
β	v̥	0.5
β	v	0.5
ˈoː	ˈoː	0.5
ˈoː	-	0.5
ʃ	s	0.5
ɡ̊_a	ɦ_ə	0.5
ɡ̊_a	k_n	0.5
ˈɒː	ˈɒː	0.455
ˈeː	-	0.455
ˈai̯	ˈi	0.444
d̥	d	0.441
a	ɾ	0.424
ˈe	ˈæ	0.412
#>	ɦ̥_#>	0.412
d̥	d̥	0.407
ˈaː	-	0.375
ˈeː	ˈeː	0.364
#>	n_#>	0.353
ˈoɐ̯	ˈeː	0.333
ˈo	ˈoː	0.316
ˈɑ	ˈɒː	0.3
ʃ	ʃ_h	0.3
x	k_ə	0.286
ˈai̯	ˈiə̯	0.278
ˈai̯	-	0.278
ŋ	n	0.273
a	n	0.273
ˈu	ˈɔ	0.267
ˈu	ˈu	0.267
ˈu	-	0.267
ɡ̊	ɦ_ə	0.238
ɡ̊	k	0.238
ˈe	ˈeː	0.235
ˈe	-	0.235
j	l	0.231
ˈo	ˈɔ	0.211
ˈo	ˈɑ	0.211
ˈi	ˈæ	0.211
ˈi	-	0.211
ˈu	ˈœ	0.2
ʃ	z	0.2
s	z̥	0.2
s	t	0.2
ˈiɐ̯	ˈuə̯	0.182
ˈeː	ˈiə̯	0.182
ˈo	ˈœ	0.158
j	j	0.154
d̥	t	0.153
a	ə_ɾ	0.152
r	-	0.133
ˈe	ˈɛ	0.118
#>	n_ə_#>	0.118
#>	k_#>	0.118
ˈo	ˈɒː	0.105
l	-	0.095
a	ə	0.091
f	p	0.074
s	s	0.067
a	-	0.061
