Old English	Bokmål Norwegian	probability
a	ə	1.0
b	b	0.936
b	tʰ	0.055
bː	-	1.0
d	d	0.674
d	-	0.233
d	s	0.064
dː	-	1.0
e	ə	0.741
e	-	0.18
eo̯	-	1.0
f	f	0.711
f	ʋ	0.218
h	h	0.819
h	j	0.095
h	-	0.085
i	i	0.354
i	ŋ	0.264
i	ə	0.183
i	-	0.136
i	ɪ	0.063
iː	i	1.0
iːy̯	ə	1.0
j	-	0.415
j	j	0.235
j	ɡ	0.202
j	ɡː	0.054
k	k	0.475
k	kʰ	0.398
k	lː	0.112
kː	kː	1.0
l	l	0.869
lː	lː	1.0
l̥	l	1.0
m	m	0.823
m	mː	0.073
mː	mː	1.0
n	n	0.741
n	nː	0.132
n	ŋ	0.068
n	-	0.059
nː	nː	1.0
o	-	0.505
o	ə	0.495
p	p	0.73
p	ɾ	0.127
p	-	0.113
pː	p	0.823
pː	pː	0.177
r	ɾ	0.862
r	ɳ	0.059
rː	ˈæː	0.632
rː	ɾ	0.368
r̥	ɾ	1.0
s	s	0.912
s	ʂ	0.05
t	t	0.49
t	tʰ	0.186
t	tː	0.102
t	-	0.096
t	d	0.066
tː	tː	1.0
u	ə	1.0
v	ʋ	0.562
v	-	0.355
v	d	0.083
w	ʋ	0.57
w	-	0.382
x	tː	0.572
x	-	0.194
x	s	0.187
z	s	1.0
ç	tː	0.646
ç	-	0.224
ç	k	0.13
ð	-	0.854
ð	nː	0.146
ŋ	ŋː	0.821
ŋ	ə	0.179
ɑ	ə	0.824
ɑ	-	0.176
ɡ	ɡ	0.616
ɡ	-	0.327
ɡ	j	0.057
ɣ	ɡ	0.412
ɣ	j	0.317
ɣ	-	0.271
ɫ	lː	0.511
ɫ	l	0.489
ʃ	ʃ	0.402
ʃ	s_k	0.316
ʃ	k	0.177
ʃ	f	0.105
ʃː	s	1.0
ʍ	ʋ	1.0
ʤ	ɡː	1.0
ʤː	-	1.0
ʧ	k	0.339
ʧ	kʰ	0.251
ʧ	ɕ	0.251
ʧ	-	0.08
ʧ	j	0.08
ʧː	kː	1.0
ˈe	ˈøː	0.319
ˈe	ˈɛ	0.193
ˈe	-	0.143
ˈe	ˈeː	0.1
ˈe	ˈɪ	0.062
ˈe	j	0.056
ˈeo̯	j	0.411
ˈeo̯	ˈæ	0.174
ˈeo̯	ˈɛː	0.174
ˈeo̯	ˈɛ	0.113
ˈeo̯	ˈʉː	0.097
ˈeː	ˈøː	0.227
ˈeː	-	0.199
ˈeː	ˈœ	0.196
ˈeː	ˈæː	0.151
ˈeː	ˈœʏ̯	0.092
ˈeː	ˈæɪ̯	0.079
ˈeːo̯	ˈyː	0.411
ˈeːo̯	ˈɛ	0.182
ˈeːo̯	ˈeː	0.143
ˈeːo̯	ˈʏ	0.117
ˈeːo̯	ˈiː	0.073
ˈeːo̯	ˈʉː	0.073
ˈi	ˈɪ	0.547
ˈi	ˈiː	0.116
ˈi	ˈʏ	0.076
ˈi	ˈœ	0.072
ˈi	ˈɛ	0.052
ˈiy̯	ˈiː	0.486
ˈiy̯	ˈɛ	0.254
ˈiy̯	ˈeː	0.162
ˈiy̯	ˈɔ	0.097
ˈiː	ˈiː	0.838
ˈiː	ˈɛ	0.083
ˈiː	ˈeː	0.08
ˈiːy̯	ˈiː	0.443
ˈiːy̯	ˈyː	0.271
ˈiːy̯	ˈøː	0.169
ˈiːy̯	ˈœ	0.116
ˈo	ˈuː	0.572
ˈo	ˈɔ	0.175
ˈoː	ˈuː	0.557
ˈoː	ˈoː	0.335
ˈoː	ˈɑ	0.109
ˈu	ˈʉ	0.717
ˈu	ˈɔ	0.112
ˈu	ˈœ	0.073
ˈu	ˈʊ	0.056
ˈuː	ˈʉː	0.813
ˈuː	ˈʉ	0.161
ˈy	ˈʏ	0.484
ˈy	ˈʊ	0.441
ˈy	ˈœ	0.076
ˈyː	ˈʉː	0.51
ˈyː	ˈœ	0.202
ˈyː	ˈɪ	0.114
ˈyː	-	0.111
ˈyː	ˈyː	0.062
ˈæ	ˈɑː	0.463
ˈæ	ˈɑ	0.248
ˈæ	ˈɛ	0.165
ˈæ	-	0.124
ˈæɑ̯	ˈɑ	0.819
ˈæɑ̯	ˈɑː	0.146
ˈæː	ˈoː	0.879
ˈæː	ˈɛ	0.069
ˈæːɑ̯	ˈoː	0.366
ˈæːɑ̯	ˈøː	0.358
ˈæːɑ̯	ˈœ	0.138
ˈæːɑ̯	ˈeː	0.09
ˈɑ	ˈɑ	0.785
ˈɑ	ˈɑː	0.215
ˈɑː	ˈæɪ̯	0.297
ˈɑː	ˈoː	0.294
ˈɑː	ˈɛ	0.199
ˈɑː	ˈeː	0.166
ˈɛ	ˈɛ	1.0
θ	tʰ	0.616
θ	d	0.218
θ	nː	0.111
θ	ɕ	0.055
