West Flemish	Bavarian	probability
b	b̥	1.0
d	d̥	0.842
d	-	0.08
d	t	0.077
f	b̥	0.573
f	-	0.355
f	p	0.064
h	-	0.416
h	x	0.359
h	ɡ̊	0.226
iə̯	eɐ̯	1.0
j	j	0.763
j	ˈoɐ̯	0.237
k	kʰ	0.464
k	x	0.294
k	ç	0.121
k	k	0.088
l	l	0.835
l	j	0.133
m	m	0.895
m	ŋ	0.105
n	n	0.909
n	-	0.091
p	f	0.832
p	p͡f	0.095
p	p	0.073
s	s	0.574
s	ʃ	0.426
t	s	0.306
t	t	0.271
t	d̥	0.208
t	ʦ	0.178
v	f	0.815
v	m	0.12
v	b̥	0.065
w	j	0.873
w	l	0.103
z	s	0.801
z	ʃ	0.103
z	h	0.078
ç	ɡ̊	1.0
ŋ	ŋ	0.937
ŋ	-	0.063
ə	a	0.518
ə	-	0.322
ə	ə	0.151
ɦ	ɡ̊	0.755
ɦ	-	0.189
ɦ	h	0.056
ɪ	i	1.0
ɾ	r	0.436
ɾ	ɐ	0.27
ɾ	a	0.243
ʃ	ʃ	1.0
ʋ	ʋ	0.854
ʋ	-	0.146
ˈeː	ˈeː	0.372
ˈeː	ˈe	0.185
ˈeː	ˈoɐ̯	0.107
ˈeː	ˈɛ	0.101
ˈeː	ˈai̯	0.078
ˈeː	ˈiː	0.078
ˈeː	ˈo	0.078
ˈi	ˈai̯	0.685
ˈi	ˈi	0.118
ˈi	ˈoɐ̯	0.118
ˈi	ˈeː	0.079
ˈiə̯	ˈai̯	0.408
ˈiə̯	ˈiɐ̯	0.18
ˈiə̯	ˈi	0.126
ˈiə̯	ˈeɐ̯	0.089
ˈiə̯	ˈa	0.086
ˈoː	ˈoɐ̯	0.304
ˈoː	ˈaː	0.217
ˈoː	ˈo	0.123
ˈoː	ˈou̯	0.076
ˈoː	ˈau̯	0.054
ˈoː	ˈe	0.05
ˈu	ˈu	0.367
ˈu	ˈau̯	0.349
ˈu	ˈo	0.283
ˈuə̯	ˈuɐ̯	0.619
ˈuə̯	ˈeɐ̯	0.245
ˈuə̯	ˈiɐ̯	0.084
ˈuə̯	ˈu	0.052
ˈyː	ˈau̯	0.779
ˈyː	ˈai̯	0.221
ˈæ	ˈe	0.382
ˈæ	ˈɛ	0.171
ˈæ	ˈi	0.152
ˈæ	-	0.127
ˈæ	ˈa	0.106
ˈøː	ˈu	0.572
ˈøː	ˈi	0.231
ˈøː	ˈoː	0.197
ˈœ	ˈu	0.336
ˈœ	ˈi	0.222
ˈœ	ˈo	0.209
ˈœ	ˈiɐ̯	0.143
ˈœ	ˈɛ	0.091
ˈɑ	ˈa	0.275
ˈɑ	ˈo	0.264
ˈɑ	ˈɔ	0.134
ˈɑ	ˈɒ	0.133
ˈɑ	ˈoɐ̯	0.091
ˈɑ	ˈoː	0.087
ˈɒː	ˈɔ	0.199
ˈɒː	ˈoː	0.122
ˈɒː	ˈe	0.102
ˈɒː	ˈoɐ̯	0.099
ˈɒː	ˈa	0.08
ˈɒː	ˈɛ	0.08
ˈɒː	ˈɒː	0.074
ˈɒː	ˈɒ	0.073
ˈɒː	ˈaː	0.068
ˈɒː	ˈɛː	0.068
ˈɔ	ˈu	0.505
ˈɔ	ˈɔ	0.202
ˈɔ	ˈo	0.105
ˈɔ	ˈɛ	0.092
ˈɔ	ˈa	0.068
ˈɛ	ˈai̯	0.254
ˈɛ	ˈe	0.19
ˈɛ	ˈi	0.19
ˈɛ	ˈiː	0.19
ˈɛ	ˈo	0.123
ˈɛ	ˈɛ	0.053
ˈɛː	ˈoɐ̯	0.542
ˈɛː	ˈɛ	0.213
ˈɛː	ˈɛː	0.178
ˈɪ	ˈi	0.783
ˈɪ	ˈɛ	0.107
ˈɪ	ˈʏ	0.077
