Logudorese	Brazilian Portuguese	probability
ˈɛ_n	ˈẽ	1.0
ˈɔ_n	ˈõ	1.0
ˈo_ɾ	ˈo_h	1.0
ˈo_ɣ	ˈo_ɡ	1.0
ˈo_n	ˈõ	1.0
ˈi_t	ˈi	1.0
ˈi_n	ˈĩ	1.0
ˈe_n	ˈẽ	1.0
ˈa_n	ˈɐ̃	1.0
ˈa_m	ˈɐ̃_m	1.0
ɾ_ʦ	w_s	1.0
ɾ_ɛ	h	1.0
ɾ_t	h_ʧ	1.0
ɲ	j̃	1.0
ɛ̆	-	1.0
ɛ_n	i	1.0
ɖː	l	1.0
ŋ	-	1.0
ŭ	-	1.0
s_t	ʃ_t	1.0
o	o	1.0
n_ʣ	j̃	1.0
n_ɛ	w̃	1.0
n_u	w̃	1.0
l_ˈa	ˈa	1.0
l_ɛ	w	1.0
k_ɾ	ʃ	1.0
k_ɛ	ˈe	1.0
k_a	k	1.0
j_a	ɐ	1.0
i_m	ũ	1.0
f_ɾ	ʃ	1.0
f	f	1.0
a_ð	a_d	1.0
m	m	0.917
u	u	0.869
d	d	0.86
p	p	0.821
ð	d	0.778
ɡ	ɡ	0.771
e	-	0.744
ʦ	s	0.743
a	ɐ	0.726
k	k	0.72
ɾ	ɾ	0.692
z	ʃ	0.667
ɣ_ɛ	j_ʃ	0.664
ɛ_ɾ	ˈe	0.633
ˈa	ˈa	0.623
t	t	0.61
nː	-	0.54
ˈɛ	ˈe	0.538
n_a	ɐ	0.538
b	v	0.532
r	h	0.531
ʣ	ʎ	0.502
m_b	ɡ	0.5
m_b	k	0.5
ɣ	ɡ	0.494
β	b	0.479
s	s	0.475
r	ɦ_n	0.469
ˈɛ	ˈɛ	0.462
n_a	j_ɐ	0.462
nː	n	0.46
ˈu	ˈu	0.448
l	-	0.446
ˈo	ˈo	0.442
ɔ	-	0.442
s	ʃ	0.421
n	j̃	0.42
i	-	0.408
ˈe	ˈe	0.368
ɛ_ɾ	ɾ	0.367
ˈi	ˈi	0.357
j	j	0.353
ˈe	ˈɛ	0.35
ɔ	u	0.35
j	ʎ	0.339
ɣ_ɛ	j	0.336
b	b	0.33
ˈɔ	ˈo	0.32
ˈo	ˈɔ	0.319
j	-	0.309
ˈi	ˈĩ	0.308
ˈɔ	ˈɔ	0.303
ɛ	i	0.3
ʣ	ʒ	0.295
l	w	0.293
i	e	0.291
t	ʧ	0.282
β	-	0.28
l	l	0.261
ʦ	-	0.257
e	ẽ	0.256
z	-	0.253
n	-	0.252
β	b_ɾ	0.241
ˈo	ˈõ	0.239
ˈi	ˈe	0.239
ˈu	ˈo	0.232
ɛ	e	0.23
ɡ	ʒ	0.229
k	s	0.223
ð	ʤ	0.222
ˈa	ˈɐ̃	0.221
ɣ	z	0.219
ˈe	ˈẽ	0.212
ɔ	o	0.208
ˈu	ˈũ	0.206
ˈɔ	-	0.204
ʣ	-	0.203
a	a	0.187
ɣ	-	0.186
i	i	0.185
ɛ	-	0.163
ɾ	ɦ	0.154
n	n	0.149
n	ˈɐ̃	0.145
d	ʤ	0.14
i	ĩ	0.115
ˈu	-	0.114
p	ʃ	0.109
t	-	0.107
s	-	0.104
ɣ	ʎ	0.101
ɛ	h	0.092
m	-	0.083
b	ʒ	0.081
ɾ	h	0.08
z	j	0.08
ɾ	-	0.075
ˈɔ	o	0.073
ˈe	ˈe_j	0.071
p	-	0.07
ˈɔ	ˈõ	0.069
ɛ	v_i	0.067
ˈa	a	0.061
k	ɡ	0.057
b	ɡ	0.057
ˈi	ˈẽ	0.055
u	v_u	0.052
