English	English	probability
θ_#>	d̥_#>	1.0
θ	d	1.0
ˈɜː	ˈuː	1.0
ˈɔː_n	ˈaː_ʀ	1.0
ˈaʊ̯_#>	ˈəʊ̯_#>	1.0
ˈaɪ̯_d	ˈæːɪ̯_t	1.0
ʤ	k	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɫ_d_#>	l_#>	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɪ	ə_ɕ	1.0
ɡ_ə	ɐ	1.0
ɡ	ɡ	1.0
ɜː	ʀ_ˈæːɪ̯	1.0
əʊ̯	ʑ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	-	1.0
tʰ	ʦ	1.0
t_#>	ʦ_#>	1.0
s_#>	z̥_#>	1.0
pʰ	pʰ	1.0
p_#>	f_#>	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	ɡ	1.0
h	h	1.0
f_#>	v̥_#>	1.0
f	f	1.0
d_ə	ɐ	1.0
b	b	1.0
<#_ˈɐ	<#	1.0
<#_n	<#_n	1.0
ɹ	ʀ	0.88
ə	ɐ	0.84
n	n	0.833
w	v	0.778
ˈɒ	-	0.667
ˈɑː	ˈaː	0.636
ˈɔː	-	0.625
ʧ	kʰ	0.6
ˈæ	ˈɑ	0.545
s	ʃ	0.515
ˈʊ	ˈo	0.5
ˈʊ	-	0.5
ˈɛ	ˈiː	0.5
ˈɛ	-	0.5
ˈaʊ̯	ˈæːʊ̯	0.5
t	t	0.5
p	p	0.5
p	f_ə	0.5
#>	ɐ_#>	0.5
s	z	0.485
d	d̥	0.462
ˈəʊ̯	ˈeː	0.444
ˈəʊ̯	-	0.444
d	d	0.436
ˈuː	n	0.429
t	s	0.421
ˈɐ	ˈo	0.4
ʧ	ɕ	0.4
k	ɕ	0.385
ˈɔː	ˈaː	0.375
ˈɒ	ˈaː	0.333
ˈeɪ̯	ˈaː	0.333
ˈiː	ˈɜɪ̯	0.3
ˈaʊ̯	-	0.3
v	v_ə	0.3
v	-	0.3
ˈuː	ˈu	0.286
ˈuː	-	0.286
ˈɪ	ˈə	0.276
ˈæ	-	0.273
#>	ɕ_#>	0.25
#>	z̥_#>	0.25
ˈɪ	ˈɑ	0.241
k	χ	0.231
k	k	0.231
ˈaɪ̯	ˈæːɪ̯	0.222
w	w	0.222
ˈɪ	ˈe	0.207
ˈɐ	ˈʊ	0.2
ˈaʊ̯	ˈɑʊ̯	0.2
v	ə_f	0.2
v	v	0.2
ˈɑː	ˈɛː_ɐ	0.182
ˈɑː	ˈɑ_l	0.182
ˈæ	n	0.182
ˈe	ˈəʊ̯	0.174
ˈe	ˈiə̯	0.174
ˈɪ	-	0.172
ˈiː	ˈaː	0.167
ˈiː	-	0.167
ˈeɪ̯	ˈoː_ə	0.167
ˈeɪ̯	ˈeː	0.167
ˈeɪ̯	ˈaː_χ	0.167
ˈeɪ̯	-	0.167
ə	-	0.16
k	k_ə	0.154
ˈaɪ̯	ˈɑɪ̯	0.148
ˈɐ	ˈɔ	0.133
ˈɐ	ˈɑʊ̯	0.133
ˈɐ	ˈu	0.133
ˈiː	ˈoː	0.133
ˈe	ˈə	0.13
ˈe	ˈeː	0.13
ˈe	-	0.13
ɹ	-	0.12
ˈəʊ̯	ˈaː	0.111
ˈaɪ̯	ˈə	0.111
ˈaɪ̯	ˈɑ	0.111
ˈaɪ̯	ˈiː_ɕ	0.111
ˈɪ	ˈi	0.103
ˈiː	ˈi	0.1
ˈe	ˈɛ	0.087
ˈe	ˈɑ	0.087
ˈe	ˈæ	0.087
n	ˈe_ŋ	0.083
n	n_ə	0.083
t	ʦ	0.079
ˈaɪ̯	ˈɜɪ̯_ə	0.074
ˈaɪ̯	ˈɜɪ̯	0.074
ˈaɪ̯	ˈuə̯_ɕ	0.074
ˈaɪ̯	-	0.074
ˈiː	ˈæːɪ̯	0.067
ˈiː	ˈeː	0.067
d	t	0.051
d	n	0.051
