Neapolitan	Megleno-Romanian	probability
e	i	1.0
f	f	1.0
kː	k	1.0
m	m	1.0
mː	m	1.0
nː	n	1.0
p	p	1.0
r	r	1.0
rː	r	1.0
sː	-	1.0
t	t	1.0
u	-	1.0
ʎː	ʎ	1.0
d	z	0.181
j	-	0.441
k	k	0.861
lː	-	0.091
lː	l	0.81
tː	p_t	0.541
ə	-	0.291
ɾ	-	0.071
ˈa	ˈa_l	0.051
ˈɔ	-	0.081
ˈɔ	ˈo	0.401
l	r	0.132
n	n	0.922
w	w	0.312
ə	u	0.132
ə	ə	0.32
ʃ	ʧ	0.072
ˈɔ	o̯ˈa	0.412
j	j	0.303
k	-	0.053
ɡ	-	0.163
ɾ	r	0.863
ʃ	s	0.303
ˈa	ˈɔ_j	0.063
ˈe	ˈe	0.33
ˈu	ˈo	0.433
i	i	0.894
s	ʃ	0.174
v	w	0.084
v	-	0.234
v	v	0.494
ŋ	n	0.854
ʃ	ʦ	0.624
ˈo	ˈu	0.564
ˈe	ˈi	0.125
ˈe	e̯ˈa	0.545
i	-	0.106
k	p	0.086
s	s	0.826
w	-	0.676
ŋ	b	0.146
ɾ	d	0.066
ˈi	ˈe	0.136
ˈi	ˈi	0.626
ˈo	o̯ˈa	0.436
ˈɔ	ˈu	0.106
ˈɛ	ˈa	0.336
ɡ	ɡ	0.837
ˈu	ˈu	0.567
ˈɛ	ˈe	0.277
ˈɛ	ˈi	0.387
j	z	0.118
j	ʎ	0.138
l	l	0.838
n	-	0.078
v	b	0.188
ə	i	0.258
ˈa	ˈɔ	0.268
ˈa	ˈa	0.618
ˈi	e̯ˈa	0.238
d	d	0.819
lː	r	0.099
tː	t	0.459
