Northern Low Saxon	Saterland Frisian	probability
aɪ̯	i	1.0
b	b	0.683
b	p	0.317
d	t	0.515
d	d	0.46
f	f	0.838
f	v	0.054
h	h	1.0
i	ɪ	1.0
k	k	1.0
kʰ	k	0.731
kʰ	s	0.269
l	l	0.886
l	ə_l	0.074
m	m	0.729
m	-	0.199
m	ə_n	0.072
n	n	0.74
n	-	0.247
p	p	1.0
pʰ	p	1.0
r	r	1.0
s	s	0.711
s	z	0.171
s	k_s	0.073
t	t	0.826
t	d	0.174
tʰ	t	1.0
v	v	0.96
x	x	0.845
x	ɣ	0.113
z	s	0.987
ç	x	0.688
ç	-	0.112
ç	ɣ	0.112
ç	k	0.087
ŋ	ŋ	0.731
ŋ	ɣ	0.133
ŋ	n	0.077
ŋ	z	0.058
ɐ	r	0.502
ɐ	ə_r	0.278
ɐ	d_ə	0.121
ə	ˈoːu̯	1.0
ɡ	k	0.499
ɡ	ɣ	0.352
ɡ	j	0.102
ɪ	ɪ	0.588
ɪ	-	0.214
ɪ	ə	0.197
ʃ	s	1.0
ʒ	j	1.0
ˈa	ˈoːu̯	0.254
ˈa	ˈɔː	0.232
ˈa	ˈaː	0.148
ˈa	ˈɔ	0.136
ˈa	ˈa	0.09
ˈaɪ̯	j	0.492
ˈaɪ̯	ˈɛɪ̯	0.172
ˈaɪ̯	ˈeː	0.145
ˈaɪ̯	ˈiː	0.051
ˈaʊ̯	ˈoː	0.56
ˈaʊ̯	ˈoːu̯	0.37
ˈaʊ̯	ˈuː	0.051
ˈaː	ˈoː	0.593
ˈaː	ˈiː	0.255
ˈaː	ˈɛː	0.152
ˈeɪ̯	ˈi	0.389
ˈeɪ̯	ˈeː	0.211
ˈeɪ̯	a	0.2
ˈeɪ̯	ˈaː	0.2
ˈeː	ˈa	0.242
ˈeː	ˈeː	0.199
ˈeː	ˈeːu̯	0.156
ˈeː	j	0.152
ˈeː	ˈiː	0.107
ˈeː	ˈɛɪ̯	0.094
ˈiː	ˈi	0.557
ˈiː	ˈiː	0.256
ˈiː	ˈɛɪ̯	0.118
ˈiː	k_ˈi	0.069
ˈoː	ˈoː	0.241
ˈoː	ˈɔː	0.221
ˈoː	ˈoːu̯	0.217
ˈoː	ˈɛɪ̯	0.094
ˈoː	ˈiː	0.09
ˈoː	ˈuː	0.075
ˈuː	ˈuː	0.63
ˈuː	ˈøː	0.08
ˈuː	j	0.078
ˈuː	ˈu	0.076
ˈuː	ˈɛɪ̯	0.076
ˈuː	ˈoːu̯	0.061
ˈyː	j_ˈuː	0.387
ˈyː	ˈuː	0.24
ˈyː	ˈyː	0.231
ˈyː	ˈu	0.142
ˈø	ˈɪ	0.714
ˈø	ˈɛ	0.286
ˈøː	ˈoː	0.53
ˈøː	ˈuː	0.447
ˈœ	ˈɛ	0.594
ˈœ	ˈeː	0.248
ˈœ	ˈɔː	0.157
ˈœː	ˈɔ	0.684
ˈœː	ˈa	0.316
ˈɔ	ˈɔ	0.382
ˈɔ	ˈɔː	0.265
ˈɔ	ˈoːu̯	0.146
ˈɔ	ˈa	0.109
ˈɔ	ˈʊ	0.098
ˈɔʏ̯	ˈɛɪ̯	0.398
ˈɔʏ̯	ˈeː	0.342
ˈɔʏ̯	ˈœː	0.13
ˈɔʏ̯	ˈuː	0.067
ˈɔʏ̯	ˈoː	0.063
ˈɔː	ˈʊ	1.0
ˈɛ	ˈɔː	0.366
ˈɛ	ˈɛ	0.329
ˈɛ	ˈaːi̯	0.159
ˈɛ	ˈeː	0.107
ˈɛɪ̯	ˈiː	0.578
ˈɛɪ̯	ˈaː	0.422
ˈɛː	ˈi	1.0
ˈɪ	ˈɪ	0.506
ˈɪ	ˈiː	0.201
ˈɪ	j_ˈʊ	0.091
ˈɪ	ˈɔː	0.057
ˈʊ	ˈʊ	0.574
ˈʊ	ˈuː	0.208
ˈʊ	ˈɔ	0.121
ˈʊ	ˈoːu̯	0.055
ˈʏ	ˈɛː	0.47
ˈʏ	ˈuː	0.163
ˈʏ	ˈʊ	0.108
ˈʏ	ˈɔ	0.102
ˈʏ	ˈyː	0.07
ˈʏ	ˈi	0.051
